target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CALCRL	XNZHJADQXXCSFV-OCCSQVGLSA-N	140	0.05877439955757237	0.0	0.0	CC(C)C(C=O)NC(=O)C(C(C)C)NC(=O)CNC(=O)OC(C)(C)C
CALCRL	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.05456785372018002	0.0	0.0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
CALCRL	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.050305027643810944	0.001	0.29796307836111546	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
CALCRL	SKSXYACZXYAMEU-UHFFFAOYSA-N	4.88	0.0475881556658725	0.001	0.29796307836111546	CC1=CC2=C(C=C1C)OC(=C3C=C(C=CC3=O)N)N2
CALCRL	HEFTZORMGMTRPG-UHFFFAOYSA-N	314	0.04757257651392798	0.002	0.41835730300213264	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)NC(=S)NC(=O)C2=CC=CC=C2)C(C)(C)C
CALCRL	QOYHHIBFXOOADH-UHFFFAOYSA-N	35.1	0.0456550938691417	0.002	0.41835730300213264	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
CALCRL	CAWGAZOGNAWLPB-UHFFFAOYSA-N	37.1	0.04518735813724023	0.002	0.41835730300213264	CCN1C2=C(C=C(C=C2)CN3CCN(CC3)CC4=CC(=C(C(=C4)OC)OC)OC)C5=CC=CC=C51
CALCRL	PQYOPBRFUUEHRC-MUJQFDPKSA-N	11.19	0.04508855849123386	0.001	0.29796307836111546	C1CCCC2CCN3CCCC(C3O2)CCCCCCC4CCN5CCCC(C5O4)CC1
CALCRL	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.04499743384881813	0.004	0.5339731285988484	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
CALCRL	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.04490238396752991	0.001	0.29796307836111546	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
CALCRL	RPVXVXVYQAUIQJ-UHFFFAOYSA-N	107.66	0.04428709575646474	0.003	0.4880182862002977	CCCCCCCCC(=O)OC1=CC=C(C=C1)C(=O)O
CALCRL	GRSZKDCOHSSIAJ-NTEUORMPSA-N	37.28	0.04399463948812716	0.0	0.0	C1=CC=C(C(=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3Cl)F
CALCRL	ZKZXNDJNWUTGDK-NSCUHMNNSA-N	112	0.043155094626504034	0.005	0.5664855018807571	C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNCC=CC3=CC=C(C=C3)Br
CALCRL	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.04242759124180835	0.002	0.41835730300213264	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
CALCRL	GJZBNSJPZKCNPU-UHFFFAOYSA-O	15.9	0.04105293009889165	0.01	0.6644404300776433	CN(C)C1=CC=C(C=C1)C=[NH+]C2=CC=CC=C2O
