target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CALHM6	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.05403745858671505	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
CALHM6	FZYOVNIOYYPUPY-AMSHPFMVSA-N	24.3	0.053025773884657415	0.0	0.0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
CALHM6	OJNHXCUBYFNKTH-RAXLEYEMSA-N	154.43	0.0425515861159073	0.0	0.0	COC1=CC=CC=C1C=C2C(=O)C3CCN2CC3
CALHM6	YEASPBADKSMHDK-UHFFFAOYSA-N	37	0.040118835639661725	0.001	0.29796307836111546	C1CCN(C1)C(=O)C2=CC(=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Br)[N+](=O)[O-]
CALHM6	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.03960360305640965	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
CALHM6	YPTKKTRAGNKREQ-UHFFFAOYSA-N	9.68	0.03903619164701591	0.002	0.41835730300213264	C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC=CC=C4I
CALHM6	AVAFAFDOURGYKI-UHFFFAOYSA-N	67.46	0.03896537398219549	0.0	0.0	C1CN(C2=CC=CC=C21)C3=NC(=NC=N3)N
CALHM6	XNILKVADCMYCQT-UHFFFAOYSA-N	200	0.038714712368199344	0.0	0.0	CC1=CC2=C(C=C1)N=CN=C2Cl
CALHM6	JZWGCONBFOFQTA-UHFFFAOYSA-N	27.7	0.03730994028542988	0.002	0.41835730300213264	C1=CC=NC(=C1)C(=NOC(=O)COC2=CC=C(C=C2)Cl)N
CALHM6	AMPFCEAVGZSZOT-UHFFFAOYSA-N	34.77	0.03722204349020581	0.003	0.4880182862002977	C1C(C2COC(C1=O)O2)N3C4=CC=CC5=C4C(=CC=C5)S3(=O)=O
CALHM6	CCEVJKZHAJJQJR-QPJJXVBHSA-N	3.01	0.036987067338708754	0.003	0.4880182862002977	CC(=CC1=CC2=C(C=C1)OCO2)[N+](=O)[O-]
CALHM6	ALJZFUNHEUBSCR-UHFFFAOYSA-N	401	0.03698164429341488	0.002	0.41835730300213264	COC1=CC=CC=C1NC(=O)C2=CC=C(C=C2)N3C=NN=N3
CALHM6	AYGGQJHJRFZDFH-UHFFFAOYSA-N	48.84	0.03675525405881479	0.003	0.4880182862002977	C1=C(C=C2C(=C1Cl)NC(=O)C2=O)Cl
CALHM6	QGZNCHRJITZHFX-UHFFFAOYSA-N	49.47	0.03667224360921697	0.002	0.41835730300213264	CC1=CC=CC=C1N2CCN(CC2)C(=O)C(C)OC3=CC=C(C=C3)F
CALHM6	KPNSXQNKDQMBAW-WYDVDPGPSA-N	41.2	0.03653121133678301	0.002	0.41835730300213264	CC(C)[Si]1(OCC2C(C(C(O2)N3C=CC(=NC3=O)N)O)O[Si](O1)(C(C)C)C(C)C)C(C)C
