target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CASR	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.051072515657161865	0.0	0.0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
CASR	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.04450400513152243	0.0	0.0	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
CASR	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.035488847555473095	0.005	0.5664855018807571	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
CASR	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.0352884851508525	0.002	0.41835730300213264	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
CASR	QABRQVFUHVPFPW-UHFFFAOYSA-N	61.7	0.033722297478820024	0.004	0.5339731285988484	Cc1ccc(NS(=O)(=O)c2cc(ccc2C)[N+](=O)[O-])cc1F
CASR	JCCNYMKQOSZNPW-UHFFFAOYSA-N	26.9	0.03333569339426408	0.004	0.5339731285988484	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
CASR	HPGKJCFDLAZRAQ-UHFFFAOYSA-N	2.74	0.03302525622604939	0.003	0.4880182862002977	CCC(C)(C)C1=CC(=C(C=C1)OCCCC[N+]2=CC=CC=C2)C(C)(C)CC
CASR	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.03229248903179928	0.007	0.6148789841094884	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
CASR	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.031533250717692723	0.002	0.41835730300213264	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
CASR	NXBSFISOTGDCJX-UHFFFAOYSA-N	53.13	0.031022562546548352	0.005	0.5664855018807571	CC(C1=CC=C(C=C1)Br)NC2=C(C=CC(=C2)N3CCN(CC3)CCO)[N+](=O)[O-]
CASR	XNZHJADQXXCSFV-OCCSQVGLSA-N	140	0.03061127628129392	0.009	0.6494849736827212	CC(C)C(C=O)NC(=O)C(C(C)C)NC(=O)CNC(=O)OC(C)(C)C
CASR	WIRIXRABFXLVKO-UHFFFAOYSA-N	96.38	0.030256224684432863	0.011	0.6772097402388386	C1=CC=C2C(=C1)N=C(S2)SCCN.Br
CASR	MWWSFMDVAYGXBV-RUELKSSGSA-N	7.67	0.02944334727511568	0.006	0.5941059225512528	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl
CASR	ZDQGSUCMJZBZOC-UHFFFAOYSA-N	121	0.02874517529769722	0.015	0.7202865894226786	CN1C(=CC=N1)C(=O)NC2=C(C=C(C=C2)Cl)Cl
CASR	BTGXJIPOLCSVOJ-TWGQIWQCSA-N	69.23	0.02850814376090356	0.008	0.6327171980316751	CN1C(=O)C(=CNC2=CC=C(C=C2)F)C(=O)NC1=S
