target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CCR9	NKTBMYLYHOYUOT-SOFGYWHQSA-N	171.77	0.03694270456547656	0.002	0.41835730300213264	CCN1C(=O)C(=CC2=CC=CO2)SC1=S
CCR9	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.03333800805560902	0.0	0.0	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
CCR9	VHIZJSVECYVZTO-UHFFFAOYSA-N	453	0.032754206298130084	0.001	0.29796307836111546	C1CCC2=C(C1)C3=C(N2)C(=CC=C3)[N+](=O)[O-]
CCR9	ATKADZVINWFQOE-SOFGYWHQSA-N	151	0.03271546062777838	0.001	0.29796307836111546	C1OC2=C(O1)C=C(C=C2)C=CC(=O)C3=CC=CC=C3
CCR9	BTGXJIPOLCSVOJ-TWGQIWQCSA-N	69.23	0.032492223314918287	0.002	0.41835730300213264	CN1C(=O)C(=CNC2=CC=C(C=C2)F)C(=O)NC1=S
CCR9	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.031739029475390784	0.006	0.5941059225512528	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
CCR9	FEAZLKCNJJPQFD-UHFFFAOYSA-N	49.47	0.030633394295784624	0.005	0.5664855018807571	CC1=C(SC=C1C(=O)N2CCN(CC2)CCC3=CC=CC=C3)C
CCR9	PQYOPBRFUUEHRC-MUJQFDPKSA-N	11.19	0.02985713646085839	0.007	0.6148789841094884	C1CCCC2CCN3CCCC(C3O2)CCCCCCC4CCN5CCCC(C5O4)CC1
CCR9	NIXKHMFOWNKKTK-UHFFFAOYSA-N	480	0.0294705755080214	0.006	0.5941059225512528	C1=CC(=CC=C1C2=NC3=C(C=C(C=C3)C(=O)O)N=C2C4=CC=C(C=C4)F)F
CCR9	ZEWQUBUPAILYHI-UHFFFAOYSA-N	10.3	0.028667244689933816	0.005	0.5664855018807571	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
CCR9	ZDQGSUCMJZBZOC-UHFFFAOYSA-N	121	0.028664386988296237	0.007	0.6148789841094884	CN1C(=CC=N1)C(=O)NC2=C(C=C(C=C2)Cl)Cl
CCR9	KYHHEBNHPLSYNI-UHFFFAOYSA-N	49.47	0.027687576691996396	0.013	0.7012571742839818	CC1=C(C=CC(=C1)C(=O)NC2=C(C=CC(=C2)OC)OC)OC
CCR9	AYSCVFYEHCMWKT-UHFFFAOYSA-N	200	0.027239096919449708	0.006	0.5941059225512528	CC1=CC=CC=C1NC(=O)C2CC3=CC=CC=C3C(=O)O2
CCR9	DMUXQAWNZOPFFV-UHFFFAOYSA-N	49.47	0.027102942511112095	0.005	0.5664855018807571	CC(C)CCOC1=CC=CC(=C1)NC(=O)C2=CC=NC=C2
CCR9	ANGUDMWXEAAKLO-XSFVSMFZSA-N	52.7	0.02636301475021553	0.014	0.7113908076514347	CCOC1=C(C2=CC=CC=C2C=C1)C=C3C(=O)NC(=O)N(C3=O)C4=CC=C(C=C4)OC
