target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CMKLR1	NKTBMYLYHOYUOT-SOFGYWHQSA-N	171.77	0.0410324559361399	0.004	0.5339731285988484	CCN1C(=O)C(=CC2=CC=CO2)SC1=S
CMKLR1	ATKADZVINWFQOE-SOFGYWHQSA-N	151	0.04074965935893954	0.001	0.29796307836111546	C1OC2=C(O1)C=C(C=C2)C=CC(=O)C3=CC=CC=C3
CMKLR1	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.04034122647355934	0.001	0.29796307836111546	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
CMKLR1	VHIZJSVECYVZTO-UHFFFAOYSA-N	453	0.040108637365665764	0.001	0.29796307836111546	C1CCC2=C(C1)C3=C(N2)C(=CC=C3)[N+](=O)[O-]
CMKLR1	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.03827319607996144	0.005	0.5664855018807571	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
CMKLR1	PQYOPBRFUUEHRC-MUJQFDPKSA-N	11.19	0.03684846441787412	0.005	0.5664855018807571	C1CCCC2CCN3CCCC(C3O2)CCCCCCC4CCN5CCCC(C5O4)CC1
CMKLR1	DMUXQAWNZOPFFV-UHFFFAOYSA-N	49.47	0.036770466243330566	0.001	0.29796307836111546	CC(C)CCOC1=CC=CC(=C1)NC(=O)C2=CC=NC=C2
CMKLR1	BTGXJIPOLCSVOJ-TWGQIWQCSA-N	69.23	0.03671001135819609	0.003	0.4880182862002977	CN1C(=O)C(=CNC2=CC=C(C=C2)F)C(=O)NC1=S
CMKLR1	ZEWQUBUPAILYHI-UHFFFAOYSA-N	10.3	0.036404203035546444	0.003	0.4880182862002977	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
CMKLR1	VNCNRGORRVUAOZ-UHFFFAOYSA-N	199.3	0.03560549541162083	0.004	0.5339731285988484	C1=CSC(=C1)C=C2C(=O)NC(=O)NC2=O
CMKLR1	FEAZLKCNJJPQFD-UHFFFAOYSA-N	49.47	0.035028317957775376	0.003	0.4880182862002977	CC1=C(SC=C1C(=O)N2CCN(CC2)CCC3=CC=CC=C3)C
CMKLR1	NIOHELZQFBGCEO-UHFFFAOYSA-N	164	0.03481760589218602	0.005	0.5664855018807571	C1=CC=C(C=C1)NC(=NC(=O)C2=C(N=C(C(=N2)Cl)N)N)N
CMKLR1	ZDQGSUCMJZBZOC-UHFFFAOYSA-N	121	0.034527624733579086	0.006	0.5941059225512528	CN1C(=CC=N1)C(=O)NC2=C(C=C(C=C2)Cl)Cl
CMKLR1	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.03452457226272202	0.003	0.4880182862002977	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
CMKLR1	SKSXYACZXYAMEU-UHFFFAOYSA-N	4.88	0.034053382913201834	0.007	0.6148789841094884	CC1=CC2=C(C=C1C)OC(=C3C=C(C=CC3=O)N)N2
