target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
CXCR5	QLEISLGJUIVTKR-UHFFFAOYSA-N	25.29	0.05350699577913383	0.0	0.0	CC(=O)OC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3
CXCR5	LMXYVLFTZRPNRV-KMKOMSMNSA-N	63.9	0.04865863272279085	0.0	0.0	C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2
CXCR5	PUHQMJSQZPUXJP-UHFFFAOYSA-N	10	0.04835278649606861	0.0	0.0	C1=CC=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)O4
CXCR5	LSVBBJVITBGNFC-UHFFFAOYSA-N	49.59	0.044543057345026525	0.002	0.41835730300213264	CCCCN1C(=O)C2=C(C1=O)C=C(C=C2)[N+](=O)[O-]
CXCR5	KKBMVSGBGAUGTR-UHFFFAOYSA-N	62.6	0.04321858095202703	0.001	0.29796307836111546	C1=CC=C(C=C1)CCNC(=O)COC2=C(C=C(C=C2)Cl)Cl
CXCR5	WDSLDFYBUSHAEM-UHFFFAOYSA-N	93.8	0.043052034638540855	0.002	0.41835730300213264	C1=CC=C(C=C1)N2NC3=NC=NC(=O)C3=N2
CXCR5	MWFZDJLPWDCQIL-UHFFFAOYSA-N	1.3	0.041501828778201265	0.003	0.4880182862002977	CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-]
CXCR5	GRJZAZKUTCLORK-VQHVLOKHSA-N	14.1	0.04115099046543998	0.0	0.0	CC(=CC1=CN(C2=CC=CC=C21)C)[N+](=O)[O-]
CXCR5	SGVCNNGMQNCBQW-UHFFFAOYSA-N	28.3	0.039271309060739064	0.001	0.29796307836111546	CC1=CC(=C(C=C1)NC=C2C=C(C=CC2=O)Br)C(=O)C3=CC=CC=C3
CXCR5	IWOAIZJEQSPHST-UHFFFAOYSA-N	10.6	0.03863252221763423	0.001	0.29796307836111546	CC1=CC(=CNNC2=NC3=CC=CC=C3S2)C=C(C1=O)C
CXCR5	ACNHBCIZLNNLRS-UBGQALKQSA-N	115	0.03862616062556225	0.004	0.5339731285988484	CC12CCC3C(=CC(=O)C(O3)C(C)(C)O)C1(CCC4C2(C5=C(C4)C6=CC=CC=C6N5)C)O
CXCR5	SKSXYACZXYAMEU-UHFFFAOYSA-N	4.88	0.03849449901391332	0.0	0.0	CC1=CC2=C(C=C1C)OC(=C3C=C(C=CC3=O)N)N2
CXCR5	NIOHELZQFBGCEO-UHFFFAOYSA-N	164	0.03790789000702683	0.004	0.5339731285988484	C1=CC=C(C=C1)NC(=NC(=O)C2=C(N=C(C(=N2)Cl)N)N)N
CXCR5	PZVOHVNJYQQHJI-RVDMUPIBSA-N	108	0.03758556628876686	0.004	0.5339731285988484	CC1=NN(C(=O)C1=NNC2=NC=CS2)C3=CC=CC=C3
CXCR5	YKDCEDSHOJCCFF-UHFFFAOYSA-N	200	0.0364135275169421	0.003	0.4880182862002977	C1COC2(C3=C(C=CC(=C3)Cl)NC2=O)OC1
