target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
FFAR1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.03597608285927594	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
FFAR1	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.035719533526203336	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
FFAR1	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.0314717854814841	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
FFAR1	QGZNCHRJITZHFX-UHFFFAOYSA-N	49.47	0.030471180887488805	0.0	0.0	CC1=CC=CC=C1N2CCN(CC2)C(=O)C(C)OC3=CC=C(C=C3)F
FFAR1	UVGRVNQLRMADLE-UHFFFAOYSA-N	61.6	0.02980398560626143	0.0	0.0	CN1C2=C(C(=O)N=CN2)N=C1SCC3=C(C=CC=C3Cl)F
FFAR1	KQGQIJBFNSFSGQ-UHFFFAOYSA-N	65.94	0.02917658571531333	0.001	0.29796307836111546	CC1=C(SC(=C1C#N)NC(=O)C)C
FFAR1	SAUCFRMQUANKAQ-UHFFFAOYSA-N	45.45	0.028294014976504325	0.001	0.29796307836111546	CC1=CC=CC=C1OCC(=O)NC2=CC(=C(C=C2)F)F
FFAR1	NTDHYMSVCBGQJF-UHFFFAOYSA-N	2.55	0.027719002495107708	0.0	0.0	C1=CC2=C(C=C1Cl)C(=O)C=C(O2)C(Cl)(Cl)Cl
FFAR1	YZOGQNMCYOSDKF-UHFFFAOYSA-N	19.48	0.02752034116432907	0.0	0.0	COC1=CC=CC(=C1)CNC2=CC(=CC=C2)[N+](=O)[O-]
FFAR1	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.027372510143553904	0.0	0.0	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
FFAR1	RGWSIEYSALUDMG-UHFFFAOYSA-N	26.41	0.026952321915380224	0.002	0.41835730300213264	C1=CC=C2C(=C1)N=CN2CCCOC3=CC=CC=C3Br
FFAR1	INDUNANCUDNZJY-SCOKXHSESA-N	100	0.02654231302139207	0.003	0.4880182862002977	CC(=O)OC1C2CC3C(CCC4(C3CC(=O)OC4C5=COC=C5)C)C(C2=O)(C(C1(C)C)CC(=O)OC)C
FFAR1	GTLUNTOVPCRQID-UHFFFAOYSA-N	71.43	0.02633248273147223	0.002	0.41835730300213264	CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(OC(=C2)C)C
FFAR1	MGWUMZFAYGKELJ-JXMROGBWSA-N	29.05	0.0256971543148732	0.0	0.0	CSC1=CC=C(C=C1)C=CC(=O)C2=CC(=CC=C2)N
FFAR1	AMXUNCSKFJYPCR-UHFFFAOYSA-N	16.88	0.025319729595918175	0.001	0.29796307836111546	C1=CC2=CC(=CC(=C2N=C1)O)O
