target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
FSHR	RSNBFKZVWOMMNM-UHFFFAOYSA-N	98.6	0.018088969936358425	0.008	0.6327171980316751	Oc1c(Cl)cc(CN2CCN(CC2)c3cccc(c3)C(F)(F)F)c4cccnc14
FSHR	QXIOSDBURWNOSL-UHFFFAOYSA-N	31.5	0.017717293470090437	0.004	0.5339731285988484	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
FSHR	RJUTVACDIZQGRJ-UHFFFAOYSA-O	65.7	0.01718592241322959	0.005	0.5664855018807571	CC[NH2+]C1CCCC2=C1NC3=C2C=C(C=C3)C
FSHR	RGCKGOZRHPZPFP-UHFFFAOYSA-N	107.93	0.016915347905161342	0.009	0.6494849736827212	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O
FSHR	CGGIHXVLKLHIOM-UHFFFAOYSA-N	44.72	0.01686915566515012	0.011	0.6772097402388386	C1=CC=C2C(=C1)C3=C(O2)C=CC(=C3)OCCN.Cl
FSHR	BGSPSXBNQGDYCI-UHFFFAOYSA-N	82.7	0.016037357209220827	0.011	0.6772097402388386	C1=CC(=CC=C1C(=O)COC(=O)CNC(=O)C2=CC=C(O2)Br)Br
FSHR	HFWWPJGYQOWDNB-MFOYZWKCSA-N	191	0.016034385060869648	0.01	0.6644404300776433	COC1=C(C=C(C=C1)C=NNC(=O)C2=CC=C(C=C2)Br)O
FSHR	LUQATNNNHABPSD-UHFFFAOYSA-N	60.9	0.015767873100859545	0.017	0.7355584336259163	C1=CC=C2C(=C1)C(=C(S2)C#N)Cl
FSHR	LYPJVUYYJLQGMG-UHFFFAOYSA-N	78.1	0.015392653723335412	0.014	0.7113908076514347	COC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31
FSHR	IUCZVBKANJIZKR-UHFFFAOYSA-N	16.19	0.015162746177158754	0.016	0.727692106483408	CC(C)NC1=NC(=NC2=CC=CC=C21)C3=CC=C(C=C3)Cl
FSHR	DDKJECHBDWLFFD-UHFFFAOYSA-N	460	0.014901318559995451	0.015	0.7202865894226786	CC1=CC=C(C=C1)C(=O)NC2=C(C=C(S2)C)C(=O)O
FSHR	IDYLOMJSJGBBMS-UHFFFAOYSA-N	7.48	0.014870906196524142	0.015	0.7202865894226786	CCOC(=O)C(=O)NNC1=CC=C(C=C1)Cl
FSHR	GQQAMHRIHJIXIJ-UHFFFAOYSA-N	195	0.014254854848016734	0.022	0.7671282200871452	COC1=CC2=C(C=C1)C=C(C(=NC3=CC=C(C=C3)C(=O)N)O2)C4=NC5=CC=CC=C5N4
FSHR	GYILTWOZZTXCMD-UHFFFAOYSA-N	35.4	0.014199127693002137	0.028	0.7926688474119684	COC(=O)C1=CC(=C(C=C1Br)C(=O)OC)[N+](=O)[O-]
FSHR	RHTVPWVESMJUOP-BAQGIRSFSA-N	86.1	0.01418294911154687	0.025	0.7801155923188619	C1OC2=C(O1)C=C(C=C2)C=C(C#N)C(=S)N
