target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
GABRB3	DXEIEBNCIPTQFP-UHFFFAOYSA-N	200	0.03439763929256272	0.002	0.41835730300213264	CC1=CC2=C(C=C1)N=C(N=C2C)N=C(N)N
GABRB3	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.032625872532231905	0.0	0.0	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
GABRB3	XHBZOAYMBBUURD-UHFFFAOYSA-N	44.17	0.03144587167675475	0.001	0.29796307836111546	COC1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2)O)O
GABRB3	UQNGBKYOCBSSOA-UHFFFAOYSA-N	70.5	0.03063396842376895	0.002	0.41835730300213264	CCOC1=CC(=O)OC2=C1C=CC(=C2)C
GABRB3	SAZRPHSJWZLRBK-UHFFFAOYSA-N	68.55	0.030440832631708686	0.001	0.29796307836111546	CCOC(=O)C1=CN=C(N=C1NC2=CC=C(C=C2)N3CCN(CC3)C)SC.Cl
GABRB3	LZAXPYOBKSJSEX-UHFFFAOYSA-N	171	0.030411525385980565	0.001	0.29796307836111546	CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O
GABRB3	LYPJVUYYJLQGMG-UHFFFAOYSA-N	78.1	0.029343766082079878	0.001	0.29796307836111546	COC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31
GABRB3	DLHRPFVERCOHRS-UHFFFAOYSA-N	129	0.02864861858321988	0.005	0.5664855018807571	COC1=CC=CC=C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
GABRB3	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.028507489262008887	0.001	0.29796307836111546	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
GABRB3	NKANXQFJJICGDU-QPLCGJKRSA-N	10.92	0.02832369604385592	0.002	0.41835730300213264	CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
GABRB3	GUGVDLUPWKIBQU-UHFFFAOYSA-N	71.43	0.028145582362023896	0.004	0.5339731285988484	C1=CC=NC(=C1)SCC(=O)C2=CC=C(C=C2)Br
GABRB3	ZDAQNRVHEIUNRF-UHFFFAOYSA-N	47.81	0.028054832494021142	0.003	0.4880182862002977	C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC=C4C=C(C=CC4=O)Cl
GABRB3	KKZJGLLVHKMTCM-UHFFFAOYSA-N	164.41	0.02787465579494976	0.002	0.41835730300213264	C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
GABRB3	RJUTVACDIZQGRJ-UHFFFAOYSA-O	65.7	0.027599514074935542	0.002	0.41835730300213264	CC[NH2+]C1CCCC2=C1NC3=C2C=C(C=C3)C
GABRB3	NINUDNFTMULJEE-UHFFFAOYSA-N	22.06	0.02743458871318546	0.005	0.5664855018807571	CCOC(=O)C1=CC=C(C=C1)NCC2=C(C=CC(=C2)Cl)O
