target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
GABRD	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.02609038314737715	0.0	0.0	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
GABRD	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.02555643010413832	0.0	0.0	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
GABRD	FNIJWCUPMHCILC-UHFFFAOYSA-N	4.65	0.025503223289558535	0.0	0.0	C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)NC=C4C=C(C=C(C4=O)Br)Cl
GABRD	UTERTIQWWDNHQO-UHFFFAOYSA-N	58.44	0.02527980107876598	0.0	0.0	CC1=C(C=C(C=C1)OC(C)C2=NC(=NO2)C3=CC=NC=C3)C
GABRD	QGZNCHRJITZHFX-UHFFFAOYSA-N	49.47	0.02524807355190224	0.001	0.29796307836111546	CC1=CC=CC=C1N2CCN(CC2)C(=O)C(C)OC3=CC=C(C=C3)F
GABRD	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.024425471060332837	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
GABRD	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.024424150676254006	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
GABRD	PRAUVHZJPXOEIF-VGKQSNDQSA-N	73.48	0.02393565963898676	0.0	0.0	CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1C)C)C(=O)O
GABRD	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.023849591247874023	0.002	0.41835730300213264	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
GABRD	UWMPKFYTOZOTPE-UHFFFAOYSA-N	54.6	0.02277543583404049	0.001	0.29796307836111546	CC1=CC2=C(C=C1)N3CCN(C4C3=C2CCC4)C(=O)CN5CCN(CC5)C
GABRD	RGQKUDZLVIUXJR-UHFFFAOYSA-N	49.47	0.022727666023320128	0.001	0.29796307836111546	CCCC1=CC(=CS1)C(=O)N2CCN(CC2)CC3=CC=CC=C3
GABRD	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.02244567608400219	0.002	0.41835730300213264	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
GABRD	ZVCADZQSJQBNLZ-UHFFFAOYSA-N	60.4	0.02204003380956769	0.001	0.29796307836111546	COCCNC(=O)C1=CC2=C(C(=CC=C2)CC=C)OC1=O
GABRD	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.02150213084362006	0.001	0.29796307836111546	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
GABRD	DMXJRHDFHFHZOF-LICLKQGHSA-N	62.41	0.02109884370305122	0.002	0.41835730300213264	CC1=CC(=C(C=C1)C)NCN2C(=O)C(=CC3=CC=CC=C3F)SC2=O
