target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
GPRC5D	VOXZDWNPVJITMN-UHFFFAOYSA-N	524	0.04104110906366933	0.0	0.0	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
GPRC5D	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.03609284927133361	0.005	0.5664855018807571	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
GPRC5D	IWRPVUMKYMDIAC-UHFFFAOYSA-N	10.2	0.033720200809312956	0.003	0.4880182862002977	CCN(CC1=C(C(=O)C2=CC=CC=C2C1=O)Cl)C3=CC=CC=C3
GPRC5D	IBQMHBGFMLHHLE-UHFFFAOYSA-N	126	0.03227122190032556	0.001	0.29796307836111546	CCN(CC)CCCCCCCCOC(=O)C1=CC(=C(C(=C1)OC)OC)OC
GPRC5D	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.0316709743822622	0.004	0.5339731285988484	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
GPRC5D	AZNNBONKLSEZOT-UHFFFAOYSA-N	175	0.031001259147993666	0.009	0.6494849736827212	CC1=CC(=CC=C1)N=C2C(=CC3=C(O2)C(=CC=C3)OC)C4=NC5=CC=CC=C5N4
GPRC5D	QFJCIRLUMZQUOT-HPLJOQBZSA-N	362	0.030158683708739014	0.006	0.5941059225512528	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
GPRC5D	NEUJWBMEHXUICN-UHFFFAOYSA-N	1.78	0.029255081867056977	0.003	0.4880182862002977	CCCCC1CCC(CC1)C2=CN=C(C=C2)C(=O)O
GPRC5D	PUHQMJSQZPUXJP-UHFFFAOYSA-N	10	0.028078698823015176	0.004	0.5339731285988484	C1=CC=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)O4
GPRC5D	BNMFJDGJTWTQFB-UHFFFAOYSA-N	59.6	0.02780696736509674	0.013	0.7012571742839818	CCCCCN(CCCCC)C1=NC2=C(N1C)C(=O)NC(=O)N2C
GPRC5D	ZWPBQOIMHMGXCP-UHFFFAOYSA-N	41	0.02766504682454006	0.014	0.7113908076514347	C1=CC=C2C(=C1)C3=C(C(C(=C(O3)N)C#N)C4=CC=C(O4)C5=CC=C(C=C5)[N+](=O)[O-])C(=O)O2
GPRC5D	XCIBGTGCDHTHPY-UHFFFAOYSA-N	33.97	0.02672624689653678	0.015	0.7202865894226786	CC1=C(C=C(C=C1)C2=CSC(=N2)N)C.Cl
GPRC5D	HEFTZORMGMTRPG-UHFFFAOYSA-N	314	0.026676834014109935	0.012	0.6894826964671954	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)NC(=S)NC(=O)C2=CC=CC=C2)C(C)(C)C
GPRC5D	YPUVZYIIXPQIEK-UHFFFAOYSA-N	17.2	0.026313502243885158	0.017	0.7355584336259163	C1C2CC3CC1CC(C2)(C3)C4=CSC(=N4)NC=C5C=C(C=CC5=O)Br
GPRC5D	GGIKJDPZRIOUKR-UHFFFAOYSA-N	54.6	0.026099245828769557	0.018	0.7426628412412499	CC(=O)NC1=CC(=O)C2=NON=C2C1=O
