target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
GRID2	VDDKPPDLMPOCRY-UHFFFAOYSA-N	454	0.0999568995370734	0.0	0.0	C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)N=CC5=CC(=CS5)Br
GRID2	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.09880734548370143	0.0	0.0	COC1=CC(=C2C=CC(=O)OC2=C1)OC
GRID2	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.09356253724765914	0.0	0.0	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
GRID2	HEFTZORMGMTRPG-UHFFFAOYSA-N	314	0.08804042548759351	0.0	0.0	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)NC(=S)NC(=O)C2=CC=CC=C2)C(C)(C)C
GRID2	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.08691550107875291	0.0	0.0	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
GRID2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54	0.08628674505634329	0.001	0.29796307836111546	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
GRID2	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114	0.08608960388077508	0.001	0.29796307836111546	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
GRID2	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.08525702414440305	0.0	0.0	CC1=NN(C(=C1S(=O)(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)C
GRID2	UWMDSJLXTFBQHQ-UHFFFAOYSA-N	49.47	0.08484245624784871	0.002	0.41835730300213264	CCOC1=CC=CC(=C1)NC(=O)C2=CC=CS2
GRID2	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.0836345051184702	0.0	0.0	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
GRID2	DRCMAZOSEIMCHM-UHFFFAOYSA-N	133	0.08111659788693189	0.002	0.41835730300213264	C1CC2=CC(=C(C=C2CN(C1)C(=S)NCCC3=CC=C(C=C3)Cl)O)O
GRID2	QQDNVANLYYGZIH-UHFFFAOYSA-O	82.3	0.08058702354401652	0.005	0.5664855018807571	C1=CC=C(C=C1)C[N+]2=CC=CC(=C2)C(=O)NNC=C3C(=O)C=CC4=CC=CC=C43
GRID2	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.07891947640152949	0.003	0.4880182862002977	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
GRID2	BCUPQOPHSHPXET-UHFFFAOYSA-N	183	0.07866591389609222	0.002	0.41835730300213264	CC1=C(C2=C(O1)C=CC(=C2)O)C(=O)OC(C)C
GRID2	CAWGAZOGNAWLPB-UHFFFAOYSA-N	37.1	0.07790848871934745	0.003	0.4880182862002977	CCN1C2=C(C=C(C=C2)CN3CCN(CC3)CC4=CC(=C(C(=C4)OC)OC)OC)C5=CC=CC=C51
