target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
GRIN2A	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.09607250251915374	0.0	0.0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
GRIN2A	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.0765903375417619	0.001	0.29796307836111546	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
GRIN2A	AIYDBDAYQJBCRS-UHFFFAOYSA-M	19.4	0.07353980688691517	0.0	0.0	CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2COC4=CC=C(C=C4)C)C)C(C)C.[Cl-]
GRIN2A	WIRIXRABFXLVKO-UHFFFAOYSA-N	96.38	0.073491074803082	0.001	0.29796307836111546	C1=CC=C2C(=C1)N=C(S2)SCCN.Br
GRIN2A	JMJFOHCLGYJSFZ-UHFFFAOYSA-N	26.6	0.06983602533628151	0.001	0.29796307836111546	CC1=CC=C(C=C1)NC(=NC2=CC=C(C=C2)C)SC3C(=O)N(C(=O)S3)C4=CC=C(C=C4)C
GRIN2A	QABRQVFUHVPFPW-UHFFFAOYSA-N	61.7	0.06820246043725561	0.003	0.4880182862002977	Cc1ccc(NS(=O)(=O)c2cc(ccc2C)[N+](=O)[O-])cc1F
GRIN2A	AZNNBONKLSEZOT-UHFFFAOYSA-N	175	0.06816092155763527	0.003	0.4880182862002977	CC1=CC(=CC=C1)N=C2C(=CC3=C(O2)C(=CC=C3)OC)C4=NC5=CC=CC=C5N4
GRIN2A	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.06719262835737218	0.002	0.41835730300213264	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
GRIN2A	YZJPFPYIEUYCKC-UITAMQMPSA-N	130	0.06694300637908077	0.002	0.41835730300213264	CN(C)C1=C(C=C(C=C1)C=C(C#N)C(=O)N)Br
GRIN2A	ITQPFPYKSRDMMS-UHFFFAOYSA-N	200	0.0666249252623435	0.003	0.4880182862002977	CCC1=CC=CC=C1NC(=O)C2=NC=CN=C2
GRIN2A	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114	0.06601169983743019	0.002	0.41835730300213264	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
GRIN2A	JCCNYMKQOSZNPW-UHFFFAOYSA-N	26.9	0.06586153142627806	0.004	0.5339731285988484	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
GRIN2A	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.06541657223918021	0.001	0.29796307836111546	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
GRIN2A	BCUPQOPHSHPXET-UHFFFAOYSA-N	183	0.06478972533378873	0.002	0.41835730300213264	CC1=C(C2=C(O1)C=CC(=C2)O)C(=O)OC(C)C
GRIN2A	CHXSDKWBSFDZEU-UHFFFAOYSA-N	100	0.06390632330249131	0.001	0.29796307836111546	COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC)OC
