target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
HTR1F	XNZHJADQXXCSFV-OCCSQVGLSA-N	140	0.0649343059446365	0.0	0.0	CC(C)C(C=O)NC(=O)C(C(C)C)NC(=O)CNC(=O)OC(C)(C)C
HTR1F	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.06084833677410293	0.0	0.0	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
HTR1F	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.05895265375691689	0.0	0.0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
HTR1F	GJZBNSJPZKCNPU-UHFFFAOYSA-O	15.9	0.05584658302619982	0.001	0.29796307836111546	CN(C)C1=CC=C(C=C1)C=[NH+]C2=CC=CC=C2O
HTR1F	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.05230830614332528	0.0	0.0	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
HTR1F	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.05054832253192605	0.002	0.41835730300213264	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
HTR1F	GRSZKDCOHSSIAJ-NTEUORMPSA-N	37.28	0.05012697899508177	0.0	0.0	C1=CC=C(C(=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3Cl)F
HTR1F	SKSXYACZXYAMEU-UHFFFAOYSA-N	4.88	0.049620337744358825	0.002	0.41835730300213264	CC1=CC2=C(C=C1C)OC(=C3C=C(C=CC3=O)N)N2
HTR1F	QOYHHIBFXOOADH-UHFFFAOYSA-N	35.1	0.048583130656003365	0.001	0.29796307836111546	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
HTR1F	AWZRUBWCRAXMEG-UHFFFAOYSA-N	1.48	0.04720506385068894	0.004	0.5339731285988484	CCOC(=O)C1=C(SC2=C1CCN(C2)C)NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCCCCC4
HTR1F	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.04681741773743604	0.003	0.4880182862002977	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
HTR1F	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.046280381950103526	0.003	0.4880182862002977	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
HTR1F	MPKZCHVYMPOGRL-UHFFFAOYSA-N	34.9	0.04598209520139852	0.007	0.6148789841094884	C1=CC(=CC(=C1)F)NC(=S)NNC=C2C=C(C=C(C2=O)Br)Br
HTR1F	PQYOPBRFUUEHRC-MUJQFDPKSA-N	11.19	0.04543847248753291	0.004	0.5339731285988484	C1CCCC2CCN3CCCC(C3O2)CCCCCCC4CCN5CCCC(C5O4)CC1
HTR1F	UZLBQBZBGWLDDC-UHFFFAOYSA-N	38.5	0.045367091494905455	0.005	0.5664855018807571	C1=CC(=CC(=C1)NS(=O)(=O)C2=CC=C(C=C2)Br)C(F)(F)F
