target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
HVCN1	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.04918360110905496	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
HVCN1	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.04916096016288598	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
HVCN1	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.04072200132471267	0.0	0.0	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
HVCN1	FZYOVNIOYYPUPY-AMSHPFMVSA-N	24.3	0.04053349984007385	0.0	0.0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
HVCN1	YEASPBADKSMHDK-UHFFFAOYSA-N	37	0.0401286520221517	0.0	0.0	C1CCN(C1)C(=O)C2=CC(=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Br)[N+](=O)[O-]
HVCN1	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.03956688093111908	0.0	0.0	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
HVCN1	FNIJWCUPMHCILC-UHFFFAOYSA-N	4.65	0.03832618974615435	0.0	0.0	C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)NC=C4C=C(C=C(C4=O)Br)Cl
HVCN1	PRAUVHZJPXOEIF-VGKQSNDQSA-N	73.48	0.03777921838836251	0.001	0.29796307836111546	CC1CCC2(CCC3(C(=CCC4C3(CC(C5C4(CC(C(C5(C)CO)O)O)C)O)C)C2C1C)C)C(=O)O
HVCN1	AYGGQJHJRFZDFH-UHFFFAOYSA-N	48.84	0.037007034042759415	0.001	0.29796307836111546	C1=C(C=C2C(=C1Cl)NC(=O)C2=O)Cl
HVCN1	RZUHGAKUNBFQJS-UHFFFAOYSA-N	707.39	0.036723842894166886	0.002	0.41835730300213264	CN1CCC2=CC(=C(C3=C4C=C(C(=CC4=CC1=C23)OC)OC)OC)OC
HVCN1	QUBDRNPPXABSBC-UHFFFAOYSA-N	49.47	0.03625055991316066	0.002	0.41835730300213264	CC1=CC=C(C=C1)C2=C(SC(=C2C(=O)N)NC(=O)C3=CN=CC=C3)C
HVCN1	JJWBORSJJGVQCB-UHFFFAOYSA-N	3.74	0.03588919951605882	0.0	0.0	C1=CC2=C(C=C1[N+](=O)[O-])N=C3C(=C(C(=O)C(=C3Cl)Cl)Cl)O2
HVCN1	LCNNEYOGOALQLT-UHFFFAOYSA-N	35.7	0.03583771545569752	0.002	0.41835730300213264	CC(=O)OC1=CC=C(C=C1)C(=O)NC2=C(C=CC(=C2)Cl)OC(=O)C
HVCN1	OTHFNJOXUKOBFG-UHFFFAOYSA-N	11.52	0.035725571426201905	0.001	0.29796307836111546	CCN1CCOC(=O)C1CC(=O)NC2=CC(=C(C=C2)C)C
HVCN1	FPKFMIHJPUIGST-UHFFFAOYSA-N	200	0.03550703877017543	0.001	0.29796307836111546	C1=CC=C(C(=C1)NC(=O)C2=CC=CO2)Cl
