target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
KCND3	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.054222512673175585	0.0	0.0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
KCND3	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.05277627175654011	0.001	0.29796307836111546	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
KCND3	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.04830934095551652	0.0	0.0	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
KCND3	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.04417604709859739	0.004	0.5339731285988484	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
KCND3	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.039042743402045096	0.002	0.41835730300213264	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
KCND3	JCCNYMKQOSZNPW-UHFFFAOYSA-N	26.9	0.03890326167885665	0.005	0.5664855018807571	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
KCND3	BTGXJIPOLCSVOJ-TWGQIWQCSA-N	69.23	0.03838559478564698	0.003	0.4880182862002977	CN1C(=O)C(=CNC2=CC=C(C=C2)F)C(=O)NC1=S
KCND3	ZEWQUBUPAILYHI-UHFFFAOYSA-N	10.3	0.038058235407964706	0.005	0.5664855018807571	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
KCND3	AZNNBONKLSEZOT-UHFFFAOYSA-N	175	0.0375336499916827	0.006	0.5941059225512528	CC1=CC(=CC=C1)N=C2C(=CC3=C(O2)C(=CC=C3)OC)C4=NC5=CC=CC=C5N4
KCND3	NIOHELZQFBGCEO-UHFFFAOYSA-N	164	0.03749570559087284	0.009	0.6494849736827212	C1=CC=C(C=C1)NC(=NC(=O)C2=C(N=C(C(=N2)Cl)N)N)N
KCND3	MWWSFMDVAYGXBV-RUELKSSGSA-N	7.67	0.035971368995156704	0.006	0.5941059225512528	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl
KCND3	UQCNZQFTNGZZLE-YVNNLAQVSA-N	155	0.035572022959861574	0.011	0.6772097402388386	CC1=CC=C(C=C1)S(=O)(=O)NN=CC2=CC=C(C=C2)OC3=NC(=NC=C3F)Cl
KCND3	LAAMFYYXHGDSRH-UHFFFAOYSA-N	155	0.03547348063612842	0.008	0.6327171980316751	C1=CC=C(C(=C1)C(=O)O)NNC=C2C=CC=CC2=O
KCND3	IINNOWQMMDWMMI-UHFFFAOYSA-N	168	0.03459708015712899	0.01	0.6644404300776433	C1CN(CCN1CCC(=O)NC2=CC=C(C=C2)Br)C3=CC=CC=C3F
KCND3	UTIFPSGFLVZWBR-HJWRWDBZSA-N	200	0.034463455958208815	0.011	0.6772097402388386	COC1=CC2=C(C=C1)NC(=O)C2=C3C(=O)NC(=S)S3
