target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
KCNMB1	HPNSFSBZBAHARI-RUDMXATFSA-N	780.42	0.05691114612063737	0.0	0.0	CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)O)OC
KCNMB1	FZYOVNIOYYPUPY-AMSHPFMVSA-N	24.3	0.0460200319268494	0.001	0.29796307836111546	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
KCNMB1	JZWGCONBFOFQTA-UHFFFAOYSA-N	27.7	0.04568043361869659	0.002	0.41835730300213264	C1=CC=NC(=C1)C(=NOC(=O)COC2=CC=C(C=C2)Cl)N
KCNMB1	MRLAJFUGSBSFDH-UHFFFAOYSA-N	140	0.0427828053186623	0.003	0.4880182862002977	C1C2=CC=CC=C2C(=N1)N.Cl
KCNMB1	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.042318566171710134	0.001	0.29796307836111546	CC1(C2CCC1(CN(C2)CC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O)C)C
KCNMB1	PIMZVSRHGMIQBU-UHFFFAOYSA-N	184	0.04176409667186222	0.003	0.4880182862002977	CC(=O)C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C(=O)NC3=CC=C(C=C3)[N+](=O)[O-]
KCNMB1	KEDMKBJCEYILDJ-UHFFFAOYSA-N	31.54	0.041307776986137544	0.002	0.41835730300213264	C1=CC(=CC=C1OCCN2C=C(C(=O)NC2=O)Br)Cl
KCNMB1	NEUJWBMEHXUICN-UHFFFAOYSA-N	1.78	0.03988274379321503	0.008	0.6327171980316751	CCCCC1CCC(CC1)C2=CN=C(C=C2)C(=O)O
KCNMB1	LMILVXQXGKTFSZ-UHFFFAOYSA-N	83.07	0.03888766015068324	0.007	0.6148789841094884	CC1=CCC(C2C1CC(=O)C(=C2)C)C(C)C
KCNMB1	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.03879790587046289	0.01	0.6644404300776433	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
KCNMB1	JZJMXYOTSVLHAA-UHFFFAOYSA-N	190	0.03821617684561161	0.009	0.6494849736827212	CC1=CC2=C(C=C1)OC(=N2)C3=CC(=CC=C3)NC(=O)C4=CC(=CN=C4)Br
KCNMB1	XNILKVADCMYCQT-UHFFFAOYSA-N	200	0.03784000850530098	0.006	0.5941059225512528	CC1=CC2=C(C=C1)N=CN=C2Cl
KCNMB1	JRTIAKFTPBQKSU-UHFFFAOYSA-N	47	0.03774432464959509	0.009	0.6494849736827212	CC(C)OC(=O)C1=C(OC2=C(C1C3=CC=CC=C3C(F)(F)F)OC(=CC2=O)CO)N
KCNMB1	SDYABERAQCFERI-UHFFFAOYSA-N	200	0.03736094575762593	0.009	0.6494849736827212	C1C2CC3CC1CC(C2)(C3)NC(=O)NCC4=CC=CC=N4
KCNMB1	FLSGWAKDRPGHJD-LICLKQGHSA-N	16	0.037141679770929546	0.005	0.5664855018807571	CC1=CC(=C(C=C1)C)NCN2C(=O)C(=CC3=CC(=CC=C3)Br)SC2=O
