target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
LPAR1	PFZCWJHRVQMOHW-UHFFFAOYSA-N	2.54	0.030569900139728327	0.0	0.0	C1=CC=C(C=C1)N2C(=C(C(=N2)N3C4=CC=CC=C4N=N3)[N+](=O)[O-])C(Cl)Cl
LPAR1	DGUYNCOMHJNSBV-UHFFFAOYSA-N	38.6	0.027512229129823932	0.002	0.41835730300213264	C1=CC=C2C(=C1)C(=O)C(=O)N2CC3=C(C=CC=C3Cl)Cl
LPAR1	FEBJUGCYDRVVCU-UHFFFAOYSA-N	51.95	0.026891641005415974	0.002	0.41835730300213264	COC1=CC=CC(=C1)NC(=O)C2=CC=C(C=C2)OCC#C
LPAR1	BQOFIHKBQDUWDE-UHFFFAOYSA-N	85	0.026637456853113313	0.001	0.29796307836111546	C1CN(CCN1CC2=CC=CC=C2)CN3C4=CC=CC=C4SC3=S
LPAR1	VBJNMXMOMSWRDV-UHFFFAOYSA-N	36.43	0.025655958325287206	0.001	0.29796307836111546	C1=CC(=C(C=C1CSC(=N)N)Cl)Cl.Cl
LPAR1	KDKVQTKLWWJERB-UHFFFAOYSA-N	200	0.025592328465082602	0.003	0.4880182862002977	C1=CC(=CN=C1)C2C(=C(SC(=C2C#N)N)N)C#N
LPAR1	LUZUAYAKZLCOCQ-BHHNFLQBSA-N	4.71	0.02542061739894565	0.001	0.29796307836111546	COC1=CC(=O)C(=CC1=CC=CC2=CC=CC=C2)O
LPAR1	QQWSKGRYIBXHPC-UHFFFAOYSA-N	80.64	0.02411613182900277	0.001	0.29796307836111546	CCCCOC1=CC2=C(C=C1)C(=C(C(=O)O2)C)C
LPAR1	PMAQASWXSNJAOL-UHFFFAOYSA-N	19.8	0.024101747749541335	0.003	0.4880182862002977	CC(C)CC1=NN=C2N1N=C(S2)C3=CC(=CC=C3)N(C)C
LPAR1	VCCRNZQBSJXYJD-UHFFFAOYSA-N	695.68	0.024085876474662305	0.004	0.5339731285988484	C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
LPAR1	DQWQITFUWFBXON-UHFFFAOYSA-N	54.59	0.02366645662376585	0.004	0.5339731285988484	COC(=O)C1=CC(=O)C(=C2C(=C1)C=CC(=C2O)O)O
LPAR1	UKTFMPQSNSFGKD-UHFFFAOYSA-N	49.2	0.02261705292724689	0.005	0.5664855018807571	COC1=CC(=CC(=C1OC)OC)C2C(=C(OC3=C2C(=O)OC4=CC=CC=C43)N)C#N
LPAR1	OXAZPAPVJZTSMR-UHFFFAOYSA-N	155	0.02258946577208298	0.005	0.5664855018807571	CC1=C(C(NC(=O)N1CC2=CC=CC=C2)C3=C(C=CC4=CC=CC=C43)OC)[N+](=O)[O-]
LPAR1	PFUSEJJWWMUOEB-UHFFFAOYSA-N	71.43	0.022073523755237315	0.004	0.5339731285988484	CC1=CC2=C(N=CN=C2S1)NCCC3=CNC4=CC=CC=C43
LPAR1	ABDMYRRFJWCLEL-UHFFFAOYSA-N	71.43	0.022069631470471474	0.002	0.41835730300213264	COC(=O)C1=C(C=CC(=C1)NC(=O)C2=CN=CC=C2)N3CCOCC3
