target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
NPY5R	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.18408063277874645	0.0	0.0	COC1=CC(=C2C=CC(=O)OC2=C1)OC
NPY5R	GPQLHGCIAUEJQK-UHFFFAOYSA-N	58.4	0.1800430584487831	0.0	0.0	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)OC)O
NPY5R	QUTZSNOFEQMSJC-UHFFFAOYSA-N	101	0.14508065058948025	0.002	0.41835730300213264	C1CCC2=C(C1)C3=C(S2)N4C(=S)NN=C4N(C3=O)C5=CC=CC=C5
NPY5R	UWMDSJLXTFBQHQ-UHFFFAOYSA-N	49.47	0.1379530191252976	0.0	0.0	CCOC1=CC=CC(=C1)NC(=O)C2=CC=CS2
NPY5R	BCUPQOPHSHPXET-UHFFFAOYSA-N	183	0.13732617842356584	0.0	0.0	CC1=C(C2=C(O1)C=CC(=C2)O)C(=O)OC(C)C
NPY5R	ARJGUVIAPHIKLE-UXBLZVDNSA-N	136	0.13708227975827833	0.003	0.4880182862002977	COC1=C(C=C(C=C1)C=C2C(=O)NC(=O)S2)OC
NPY5R	RVWWDDKOKZXKCJ-UHFFFAOYSA-N	54	0.13689414757795593	0.001	0.29796307836111546	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O
NPY5R	YZJPFPYIEUYCKC-UITAMQMPSA-N	130	0.13423033586161914	0.0	0.0	CN(C)C1=C(C=C(C=C1)C=C(C#N)C(=O)N)Br
NPY5R	XDCSSXMPPBUTQH-ZDLGFXPLSA-N	33.2	0.13346937626105135	0.0	0.0	CN(C1=NC2=CC=CC=C2N=C1)N=CC3=CN=CC=C3
NPY5R	QJXHXKPITHZZRI-UHFFFAOYSA-N	49.47	0.13274711717339832	0.001	0.29796307836111546	CCC1CCC2=C(C1)C=C(S2)C(=O)NC(C)C3=CC=NC=C3
NPY5R	BCFHDYKCMZOQQV-UHFFFAOYSA-N	52.1	0.13242989849652081	0.0	0.0	CC1=C(NC2=C1C=C(C=C2)OCC3=CC=CC=C3)C(=O)N4CCN(CC4)C
NPY5R	YJRJARYHRGMBPL-UHFFFAOYSA-N	111.64	0.12922873009114988	0.001	0.29796307836111546	CC1=CC=CC(=C1)C2=NC3=C(O2)C=CC(=C3)N=CC4=CC(=CC=C4)Br
NPY5R	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.12752053253772958	0.005	0.5664855018807571	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
NPY5R	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114	0.12687046700781912	0.002	0.41835730300213264	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
NPY5R	AIYDBDAYQJBCRS-UHFFFAOYSA-M	19.4	0.12629197695452393	0.001	0.29796307836111546	CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2COC4=CC=C(C=C4)C)C)C(C)C.[Cl-]
