target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR10H1	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.037459898482267044	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR10H1	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.034073941016363955	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR10H1	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.0296436009299738	0.0	0.0	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
OR10H1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.028364336005475502	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR10H1	NJMMNVXTBADFAY-UHFFFAOYSA-N	49.47	0.025234406269171242	0.0	0.0	CC1=C(N=NN1C2=CC(=CC=C2)OC)C(=O)NC3=CC=C(C=C3)OC
OR10H1	JRJNDYBSBGHCTB-ZHACJKMWSA-N	49.47	0.025043105097666187	0.0	0.0	CCCCC1=NN=C2N1N=C(S2)C=CC3=CC=CC=C3
OR10H1	KQGQIJBFNSFSGQ-UHFFFAOYSA-N	65.94	0.02442319771990839	0.001	0.29796307836111546	CC1=C(SC(=C1C#N)NC(=O)C)C
OR10H1	RTIXKCRFFJGDFG-UHFFFAOYSA-N	20.77	0.023927240560573906	0.001	0.29796307836111546	C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
OR10H1	UTERTIQWWDNHQO-UHFFFAOYSA-N	58.44	0.023774303170064365	0.0	0.0	CC1=C(C=C(C=C1)OC(C)C2=NC(=NO2)C3=CC=NC=C3)C
OR10H1	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.02365413796912147	0.001	0.29796307836111546	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
OR10H1	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.023595259036554555	0.001	0.29796307836111546	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
OR10H1	VGYCHSOZFBOOKO-UHFFFAOYSA-N	32.9	0.023593356213772367	0.001	0.29796307836111546	COC1=CC=C(C=C1)C2=CC3=C(C=C(C=C3)O)OC2=O
OR10H1	QFMCUDZSGBLFLT-UHFFFAOYSA-N	49.47	0.023507352997561064	0.0	0.0	CC1=CC(=C(C=C1)O)NS(=O)(=O)C2=C(C=CC(=C2)Cl)OC
OR10H1	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.023389491408816864	0.002	0.41835730300213264	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
OR10H1	MCDJQHQCVHCWJZ-XNTDXEJSSA-N	22.18	0.023313901585067617	0.002	0.41835730300213264	C1=CC=C(C=C1)C=C2C(=O)N(C(=O)S2)CNC3=CC=C(C=C3)I
