target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR12D2	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.023939304448530836	0.0	0.0	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR12D2	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.020690607509957278	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR12D2	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.020235745076916615	0.001	0.29796307836111546	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR12D2	QFMCUDZSGBLFLT-UHFFFAOYSA-N	49.47	0.020082254294387154	0.0	0.0	CC1=CC(=C(C=C1)O)NS(=O)(=O)C2=C(C=CC(=C2)Cl)OC
OR12D2	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.019821918562009044	0.0	0.0	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR12D2	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.01935750253846235	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR12D2	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.019042772255591926	0.002	0.41835730300213264	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR12D2	SVURIXNDRWRAFU-WGNAFFPOSA-N	20.94	0.01860966747461526	0.0	0.0	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
OR12D2	JRJNDYBSBGHCTB-ZHACJKMWSA-N	49.47	0.018456971731182586	0.0	0.0	CCCCC1=NN=C2N1N=C(S2)C=CC3=CC=CC=C3
OR12D2	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.018398416112166756	0.001	0.29796307836111546	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
OR12D2	MCDJQHQCVHCWJZ-XNTDXEJSSA-N	22.18	0.01836477716660001	0.002	0.41835730300213264	C1=CC=C(C=C1)C=C2C(=O)N(C(=O)S2)CNC3=CC=C(C=C3)I
OR12D2	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.01804651068666017	0.002	0.41835730300213264	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
OR12D2	RHGXQOSSGBYEMJ-UHFFFAOYSA-N	57.3	0.017752645112586195	0.0	0.0	C1=CC(=C(C(=C1)Cl)CN2C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O)F
OR12D2	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.017659361327532794	0.002	0.41835730300213264	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR12D2	YVVILFKWXBZXAA-UHFFFAOYSA-N	43.28	0.0175714486028814	0.005	0.5664855018807571	C1=CC(=CC=C1NC(=O)C2=CC(=CC(=C2O)Br)Br)Cl
