target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR14J1	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.0213398696978334	0.0	0.0	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR14J1	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.019931710967944646	0.0	0.0	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR14J1	WCZDEWHCMMNLLN-MOSHPQCFSA-N	184	0.01958714443363718	0.0	0.0	C1CCN(C1)C2=NC(=NC(=N2)NN=CC3=CC(=CC=C3)F)N4CCCC4
OR14J1	WCZLZKLICVOKBC-UHFFFAOYSA-N	19.13	0.019375249565575105	0.002	0.41835730300213264	CCN1CCN(CC1)C2=NN=C3C(=C2)N(C4=CC=CC=C4O3)C
OR14J1	CYOXRSJAOKOHER-UHFFFAOYSA-N	670	0.018814239390374896	0.002	0.41835730300213264	CC1=C(C=CC(=C1)N2C(=O)C(=C(S2)Cl)C)Cl
OR14J1	AQDKTHFYGXJVBN-UHFFFAOYSA-N	53.3	0.01840058754007187	0.001	0.29796307836111546	C1=CC=C2C=C3C(=CC2=C1)NC(=N3)C4=CC(=CC=C4)N
OR14J1	OXCCUFXJRLKBPC-UHFFFAOYSA-N	16.2	0.01819497741226692	0.002	0.41835730300213264	COC1=CC(=C(C=C1)OC)NC=C2C=C(C=C(C2=O)I)I
OR14J1	GDJHGJSTQODXMC-UHFFFAOYSA-N	75.1	0.01779119010305336	0.001	0.29796307836111546	CC1=CC=CC2=C1OC(=CC2=O)C3=CC=C(C=C3)OC
OR14J1	OXAZPAPVJZTSMR-UHFFFAOYSA-N	155	0.017705464217259364	0.003	0.4880182862002977	CC1=C(C(NC(=O)N1CC2=CC=CC=C2)C3=C(C=CC4=CC=CC=C43)OC)[N+](=O)[O-]
OR14J1	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.01761710464614172	0.003	0.4880182862002977	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR14J1	SVURIXNDRWRAFU-WGNAFFPOSA-N	20.94	0.017472935923310923	0.002	0.41835730300213264	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
OR14J1	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.017085026410748265	0.003	0.4880182862002977	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR14J1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.016472140432093215	0.008	0.6327171980316751	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR14J1	AMUJHRXELMDDIQ-UHFFFAOYSA-N	3.65	0.016430356943926833	0.001	0.29796307836111546	C1=CC=C2C(=C1)C(=O)C=C(O2)C(Cl)(Cl)Cl
OR14J1	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.016103787041158214	0.008	0.6327171980316751	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
