target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR1F2P	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.04619018523033257	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR1F2P	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.04084941362301556	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR1F2P	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.03617579609278985	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
OR1F2P	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.03494059942900137	0.0	0.0	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
OR1F2P	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.033476174641438594	0.0	0.0	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
OR1F2P	VGYCHSOZFBOOKO-UHFFFAOYSA-N	32.9	0.03166039758327762	0.0	0.0	COC1=CC=C(C=C1)C2=CC3=C(C=C(C=C3)O)OC2=O
OR1F2P	CCOJFDRSZSSKOG-SNVBAGLBSA-N	13.4	0.030809518110376	0.0	0.0	CC(C1=CC=C(C=C1)OC)C(=O)C2=C(C=C(C=C2)O)O
OR1F2P	QGZNCHRJITZHFX-UHFFFAOYSA-N	49.47	0.02995541932123611	0.002	0.41835730300213264	CC1=CC=CC=C1N2CCN(CC2)C(=O)C(C)OC3=CC=C(C=C3)F
OR1F2P	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.029429815841352822	0.001	0.29796307836111546	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
OR1F2P	RFHAOTPXVQNOHP-UHFFFAOYSA-N	20	0.029356578179106217	0.0	0.0	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
OR1F2P	BHRLWZVAFTWUKQ-UHFFFAOYSA-N	200	0.029334281653187223	0.002	0.41835730300213264	COC(=O)C1=C(SCC1=O)NC2=CC=CC=C2
OR1F2P	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.029309885525754222	0.002	0.41835730300213264	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
OR1F2P	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.029159076396148592	0.001	0.29796307836111546	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR1F2P	GTLUNTOVPCRQID-UHFFFAOYSA-N	71.43	0.028992517674068328	0.001	0.29796307836111546	CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(OC(=C2)C)C
OR1F2P	VYPCFUHTJBCPNC-UHFFFAOYSA-N	132	0.028815013291795442	0.002	0.41835730300213264	COC1=C(C=CC(=C1)C2=NC=NN2C3=CC=CC=C3Cl)OCC4=CC=CC=C4
