target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR1N2	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.04161458915959598	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR1N2	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.03686070464059537	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR1N2	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.030523226392502455	0.0	0.0	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
OR1N2	VGYCHSOZFBOOKO-UHFFFAOYSA-N	32.9	0.02978074206191019	0.0	0.0	COC1=CC=C(C=C1)C2=CC3=C(C=C(C=C3)O)OC2=O
OR1N2	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.028839521268207907	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR1N2	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.027982814868193883	0.001	0.29796307836111546	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR1N2	KQGQIJBFNSFSGQ-UHFFFAOYSA-N	65.94	0.027478329043465394	0.0	0.0	CC1=C(SC(=C1C#N)NC(=O)C)C
OR1N2	GTLUNTOVPCRQID-UHFFFAOYSA-N	71.43	0.027174495538226224	0.0	0.0	CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(OC(=C2)C)C
OR1N2	QGZNCHRJITZHFX-UHFFFAOYSA-N	49.47	0.026676740912598466	0.0	0.0	CC1=CC=CC=C1N2CCN(CC2)C(=O)C(C)OC3=CC=C(C=C3)F
OR1N2	QFMCUDZSGBLFLT-UHFFFAOYSA-N	49.47	0.02601366897089001	0.0	0.0	CC1=CC(=C(C=C1)O)NS(=O)(=O)C2=C(C=CC(=C2)Cl)OC
OR1N2	UVGRVNQLRMADLE-UHFFFAOYSA-N	61.6	0.02559332870436867	0.002	0.41835730300213264	CN1C2=C(C(=O)N=CN2)N=C1SCC3=C(C=CC=C3Cl)F
OR1N2	NJMMNVXTBADFAY-UHFFFAOYSA-N	49.47	0.025011330202893395	0.001	0.29796307836111546	CC1=C(N=NN1C2=CC(=CC=C2)OC)C(=O)NC3=CC=C(C=C3)OC
OR1N2	MCDJQHQCVHCWJZ-XNTDXEJSSA-N	22.18	0.024836307521329988	0.003	0.4880182862002977	C1=CC=C(C=C1)C=C2C(=O)N(C(=O)S2)CNC3=CC=C(C=C3)I
OR1N2	ACYAMURIBWZSEF-UHFFFAOYSA-N	47.9	0.024687957372735627	0.0	0.0	C1=CSC(=C1)CC2C3=C(C=CC(=C3)Br)NC2=O
OR1N2	OONWCXLYKDWKOU-VURMDHGXSA-N	10.36	0.02425319462065365	0.002	0.41835730300213264	C1=CC=C(C=C1)C=C2C(=O)NC(=S)S2
