target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR1Q1	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.020636032505942196	0.0	0.0	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR1Q1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.020634299713620567	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR1Q1	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.019109084349587104	0.001	0.29796307836111546	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR1Q1	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.018832578373698193	0.002	0.41835730300213264	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR1Q1	OXCCUFXJRLKBPC-UHFFFAOYSA-N	16.2	0.01830275472684367	0.0	0.0	COC1=CC(=C(C=C1)OC)NC=C2C=C(C=C(C2=O)I)I
OR1Q1	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.018052603388203654	0.002	0.41835730300213264	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR1Q1	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.017911730383169285	0.001	0.29796307836111546	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR1Q1	WCZDEWHCMMNLLN-MOSHPQCFSA-N	184	0.01747323555071905	0.001	0.29796307836111546	C1CCN(C1)C2=NC(=NC(=N2)NN=CC3=CC(=CC=C3)F)N4CCCC4
OR1Q1	JMCCXTIGFGVBRZ-UHFFFAOYSA-N	398	0.017246089427366846	0.0	0.0	COC1=CC(=C(C=C1)NC(=O)CSC2=CC=CC3=C2N=CC=C3)[N+](=O)[O-]
OR1Q1	RTWOBXIMRXPFIN-LICLKQGHSA-N	33.78	0.017164189378878876	0.001	0.29796307836111546	CC1=C(C=CC(=C1)Br)NCN2C(=O)C(=CC3=CC=C(C=C3)OC)SC2=O
OR1Q1	SBNMWDVFZOGQLO-UHFFFAOYSA-N	49.47	0.016596897288304983	0.002	0.41835730300213264	CC1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2CN(C)C(=O)C
OR1Q1	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.016199353974803078	0.006	0.5941059225512528	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
OR1Q1	QFMCUDZSGBLFLT-UHFFFAOYSA-N	49.47	0.016094722315199015	0.004	0.5339731285988484	CC1=CC(=C(C=C1)O)NS(=O)(=O)C2=C(C=CC(=C2)Cl)OC
OR1Q1	HJTVYMYJLPPTKA-UHFFFAOYSA-N	49.47	0.016093596305997694	0.004	0.5339731285988484	CCC1=NN2C(=CC(=NC2=C1C3=CC=CC=C3)C)NCCN4CCOCC4
OR1Q1	RHGXQOSSGBYEMJ-UHFFFAOYSA-N	57.3	0.01605144541977356	0.0	0.0	C1=CC(=C(C(=C1)Cl)CN2C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O)F
