target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR2AE1	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.02094755391637202	0.0	0.0	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR2AE1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.020512957840947584	0.002	0.41835730300213264	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR2AE1	SVURIXNDRWRAFU-WGNAFFPOSA-N	20.94	0.018567225363472353	0.001	0.29796307836111546	CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
OR2AE1	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.01818548706199262	0.002	0.41835730300213264	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR2AE1	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.01802664607885704	0.002	0.41835730300213264	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR2AE1	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.017935905797313745	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR2AE1	GDJHGJSTQODXMC-UHFFFAOYSA-N	75.1	0.017544963862128633	0.001	0.29796307836111546	CC1=CC=CC2=C1OC(=CC2=O)C3=CC=C(C=C3)OC
OR2AE1	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.01734317318470257	0.002	0.41835730300213264	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR2AE1	VQVPKLBQXGLIHN-UHFFFAOYSA-N	70.7	0.017032175607709196	0.003	0.4880182862002977	CC1=NN(C(=C1C=NC2CCCCC2)[Se])C3=CC=CC=C3
OR2AE1	OXCCUFXJRLKBPC-UHFFFAOYSA-N	16.2	0.016949928222335316	0.002	0.41835730300213264	COC1=CC(=C(C=C1)OC)NC=C2C=C(C=C(C2=O)I)I
OR2AE1	SESWSQALQQDVON-UHFFFAOYSA-N	49.47	0.01682709982468174	0.005	0.5664855018807571	CCOC(=O)C1=C(SC(=C1)C(C)C)NC(=O)C2=CN=CC=C2
OR2AE1	CYOXRSJAOKOHER-UHFFFAOYSA-N	670	0.016231525466916814	0.004	0.5339731285988484	CC1=C(C=CC(=C1)N2C(=O)C(=C(S2)Cl)C)Cl
OR2AE1	DWFFQTLGAYSOJO-UHFFFAOYSA-N	71.43	0.016183809307665945	0.005	0.5664855018807571	CC1=CC=CC2=C1N(C(=O)C2=O)CCCOC3=CC=C(C=C3)OC
OR2AE1	QLEISLGJUIVTKR-UHFFFAOYSA-N	25.29	0.016175781572378745	0.001	0.29796307836111546	CC(=O)OC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3
OR2AE1	JMCCXTIGFGVBRZ-UHFFFAOYSA-N	398	0.016130200610172906	0.001	0.29796307836111546	COC1=CC(=C(C=C1)NC(=O)CSC2=CC=CC3=C2N=CC=C3)[N+](=O)[O-]
