target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR2AP1	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.02835970803921492	0.0	0.0	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR2AP1	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.022129790958537066	0.001	0.29796307836111546	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR2AP1	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.022027432590603458	0.001	0.29796307836111546	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR2AP1	VNJVZJNBTWPKNX-UHFFFAOYSA-N	14.47	0.021693088580086044	0.001	0.29796307836111546	C1(=C(C(=NC(=C1Cl)Cl)C(Cl)(Cl)Cl)Cl)N
OR2AP1	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.02156572681669643	0.004	0.5339731285988484	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
OR2AP1	OXCCUFXJRLKBPC-UHFFFAOYSA-N	16.2	0.02095927321341925	0.0	0.0	COC1=CC(=C(C=C1)OC)NC=C2C=C(C=C(C2=O)I)I
OR2AP1	WCZDEWHCMMNLLN-MOSHPQCFSA-N	184	0.020289326535070804	0.0	0.0	C1CCN(C1)C2=NC(=NC(=N2)NN=CC3=CC(=CC=C3)F)N4CCCC4
OR2AP1	WCZLZKLICVOKBC-UHFFFAOYSA-N	19.13	0.01978749159822684	0.006	0.5941059225512528	CCN1CCN(CC1)C2=NN=C3C(=C2)N(C4=CC=CC=C4O3)C
OR2AP1	AQDKTHFYGXJVBN-UHFFFAOYSA-N	53.3	0.01926197751270465	0.004	0.5339731285988484	C1=CC=C2C=C3C(=CC2=C1)NC(=N3)C4=CC(=CC=C4)N
OR2AP1	RTBNVSKSDOAVLP-UHFFFAOYSA-N	47.7	0.018359624728751404	0.006	0.5941059225512528	CC1=C(C(C2=C(N1)C3=CC=CC=C3C2=O)C4=CC=C(C=C4)OCC(=O)OC)C(=O)OC
OR2AP1	LIBCOZMIHMHZHY-UHFFFAOYSA-N	200	0.017579158342308783	0.007	0.6148789841094884	CC1=C(N2C3=C(N=C2N1C)N(C(=O)N(C3=O)CC=C)C)C
OR2AP1	JMCCXTIGFGVBRZ-UHFFFAOYSA-N	398	0.017438177031106162	0.007	0.6148789841094884	COC1=CC(=C(C=C1)NC(=O)CSC2=CC=CC3=C2N=CC=C3)[N+](=O)[O-]
OR2AP1	LUQATNNNHABPSD-UHFFFAOYSA-N	60.9	0.016935019314630824	0.014	0.7113908076514347	C1=CC=C2C(=C1)C(=C(S2)C#N)Cl
OR2AP1	ACKAVWGNSJGXHM-UHFFFAOYSA-N	44.6	0.01657831668223416	0.007	0.6148789841094884	CCOC(=O)C1=CN=C2C=CC(=CC2=C1NC3=CC=C(C=C3)OC)OC
OR2AP1	UOBGWTOQZALQPG-UHFFFAOYSA-N	41.6	0.016552763721949332	0.003	0.4880182862002977	CC1=CC=C(C=C1)OCC(=O)C2=CC(=C(C=C2O)O)C
