target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR2L13	LSVBBJVITBGNFC-UHFFFAOYSA-N	49.59	0.02435087179369057	0.0	0.0	CCCCN1C(=O)C2=C(C1=O)C=C(C=C2)[N+](=O)[O-]
OR2L13	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.024230823081202522	0.002	0.41835730300213264	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR2L13	QLEISLGJUIVTKR-UHFFFAOYSA-N	25.29	0.02320686615997915	0.001	0.29796307836111546	CC(=O)OC1=CC=CC=C1C(=O)NC2=CC=C(C=C2)OC3=CC=CC=C3
OR2L13	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.022923462717382936	0.004	0.5339731285988484	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR2L13	MWFZDJLPWDCQIL-UHFFFAOYSA-N	1.3	0.022693398549417477	0.003	0.4880182862002977	CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-]
OR2L13	PQYOPBRFUUEHRC-MUJQFDPKSA-N	11.19	0.02118154409954717	0.009	0.6494849736827212	C1CCCC2CCN3CCCC(C3O2)CCCCCCC4CCN5CCCC(C5O4)CC1
OR2L13	OXCCUFXJRLKBPC-UHFFFAOYSA-N	16.2	0.021152305220829563	0.002	0.41835730300213264	COC1=CC(=C(C=C1)OC)NC=C2C=C(C=C(C2=O)I)I
OR2L13	VQVPKLBQXGLIHN-UHFFFAOYSA-N	70.7	0.02108567942946699	0.009	0.6494849736827212	CC1=NN(C(=C1C=NC2CCCCC2)[Se])C3=CC=CC=C3
OR2L13	LMXYVLFTZRPNRV-KMKOMSMNSA-N	63.9	0.02101926331440868	0.004	0.5339731285988484	C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2
OR2L13	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.020838768325805238	0.005	0.5664855018807571	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
OR2L13	VNJVZJNBTWPKNX-UHFFFAOYSA-N	14.47	0.0208164824768205	0.003	0.4880182862002977	C1(=C(C(=NC(=C1Cl)Cl)C(Cl)(Cl)Cl)Cl)N
OR2L13	JMCCXTIGFGVBRZ-UHFFFAOYSA-N	398	0.020653261603666165	0.002	0.41835730300213264	COC1=CC(=C(C=C1)NC(=O)CSC2=CC=CC3=C2N=CC=C3)[N+](=O)[O-]
OR2L13	PUHQMJSQZPUXJP-UHFFFAOYSA-N	10	0.02007820992926456	0.008	0.6327171980316751	C1=CC=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)O4
OR2L13	QOYHHIBFXOOADH-UHFFFAOYSA-N	35.1	0.02001961962552359	0.005	0.5664855018807571	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
OR2L13	WCZLZKLICVOKBC-UHFFFAOYSA-N	19.13	0.0197187436192535	0.007	0.6148789841094884	CCN1CCN(CC1)C2=NN=C3C(=C2)N(C4=CC=CC=C4O3)C
