target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR2T8	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.04097124567531432	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR2T8	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.03638543732502541	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR2T8	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.03289068659513154	0.0	0.0	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
OR2T8	NJMMNVXTBADFAY-UHFFFAOYSA-N	49.47	0.029233957484922458	0.0	0.0	CC1=C(N=NN1C2=CC(=CC=C2)OC)C(=O)NC3=CC=C(C=C3)OC
OR2T8	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.029071829703272427	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR2T8	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.028103514218798514	0.001	0.29796307836111546	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
OR2T8	JRJNDYBSBGHCTB-ZHACJKMWSA-N	49.47	0.028062987614898303	0.0	0.0	CCCCC1=NN=C2N1N=C(S2)C=CC3=CC=CC=C3
OR2T8	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.027787572501371625	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
OR2T8	KQGQIJBFNSFSGQ-UHFFFAOYSA-N	65.94	0.027473510585436012	0.001	0.29796307836111546	CC1=C(SC(=C1C#N)NC(=O)C)C
OR2T8	VGYCHSOZFBOOKO-UHFFFAOYSA-N	32.9	0.027471123599196505	0.0	0.0	COC1=CC=C(C=C1)C2=CC3=C(C=C(C=C3)O)OC2=O
OR2T8	MCDJQHQCVHCWJZ-XNTDXEJSSA-N	22.18	0.027209703419688386	0.002	0.41835730300213264	C1=CC=C(C=C1)C=C2C(=O)N(C(=O)S2)CNC3=CC=C(C=C3)I
OR2T8	VYPCFUHTJBCPNC-UHFFFAOYSA-N	132	0.027005080048845945	0.001	0.29796307836111546	COC1=C(C=CC(=C1)C2=NC=NN2C3=CC=CC=C3Cl)OCC4=CC=CC=C4
OR2T8	SSGUXMZISLXZNI-UHFFFAOYSA-N	257	0.02692606094512975	0.0	0.0	C1CCC(CC1)C2=CC=C(C=C2)NC3=CC(=O)NC(=O)N3
OR2T8	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.026666619868991843	0.002	0.41835730300213264	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
OR2T8	ASSARNSJJMNBLQ-UHFFFAOYSA-N	97.7	0.026360975949144577	0.001	0.29796307836111546	COC1=CC=CC=C1N2CCN(CC2)CCC(=O)NC3=CC(=C(C=C3)F)F
