target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR4K2	ZRVDANDJSTYELM-UUSAFJCLSA-N	10	0.025653916897861215	0.0	0.0	CC(C)C1=C(C=CC2=C1CCC3C2(CCCC3(C)C)C)O
OR4K2	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.02497544272117438	0.0	0.0	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
OR4K2	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.02476894242073309	0.0	0.0	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
OR4K2	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.024213712217529597	0.001	0.29796307836111546	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR4K2	PFZCWJHRVQMOHW-UHFFFAOYSA-N	2.54	0.023349872064434347	0.0	0.0	C1=CC=C(C=C1)N2C(=C(C(=N2)N3C4=CC=CC=C4N=N3)[N+](=O)[O-])C(Cl)Cl
OR4K2	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.023149663782177855	0.001	0.29796307836111546	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
OR4K2	AQDKTHFYGXJVBN-UHFFFAOYSA-N	53.3	0.02301016134089888	0.0	0.0	C1=CC=C2C=C3C(=CC2=C1)NC(=N3)C4=CC(=CC=C4)N
OR4K2	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.022738344166415292	0.001	0.29796307836111546	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR4K2	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.022264317017529945	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR4K2	DQWQITFUWFBXON-UHFFFAOYSA-N	54.59	0.021719442762920257	0.002	0.41835730300213264	COC(=O)C1=CC(=O)C(=C2C(=C1)C=CC(=C2O)O)O
OR4K2	LUZUAYAKZLCOCQ-BHHNFLQBSA-N	4.71	0.021014873810293867	0.002	0.41835730300213264	COC1=CC(=O)C(=CC1=CC=CC2=CC=CC=C2)O
OR4K2	NDLLKGKHHLXJDU-UHFFFAOYSA-N	13.8	0.020893604209168797	0.0	0.0	C1=COC2=C(C=C(C=C2C1=O)Cl)Br
OR4K2	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.02063725568966377	0.002	0.41835730300213264	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR4K2	VUEBZBJBEKJKAX-UHFFFAOYSA-N	200	0.020488723773717014	0.002	0.41835730300213264	CN(C)C1=CC=C(C=C1)CN2CCCC2
OR4K2	RPVGLMKJGQMQSN-UHFFFAOYSA-N	12.77	0.020437663117151707	0.001	0.29796307836111546	CC1=C2C=CC=NC2=C(C=C1)O
