target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR4S1	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.02927656214248589	0.0	0.0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
OR4S1	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.02660481697128703	0.001	0.29796307836111546	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR4S1	ZDAQNRVHEIUNRF-UHFFFAOYSA-N	47.81	0.024651972329670604	0.0	0.0	C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC=C4C=C(C=CC4=O)Cl
OR4S1	SSGUXMZISLXZNI-UHFFFAOYSA-N	257	0.024508976963786965	0.0	0.0	C1CCC(CC1)C2=CC=C(C=C2)NC3=CC(=O)NC(=O)N3
OR4S1	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.024039563718438038	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
OR4S1	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.023829811615527045	0.001	0.29796307836111546	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR4S1	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.02359410244196933	0.0	0.0	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
OR4S1	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.022910602737237117	0.001	0.29796307836111546	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
OR4S1	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.022896737906746956	0.001	0.29796307836111546	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR4S1	UTERTIQWWDNHQO-UHFFFAOYSA-N	58.44	0.022763986254554572	0.001	0.29796307836111546	CC1=C(C=C(C=C1)OC(C)C2=NC(=NO2)C3=CC=NC=C3)C
OR4S1	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.022722286363855624	0.001	0.29796307836111546	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
OR4S1	LUZUAYAKZLCOCQ-BHHNFLQBSA-N	4.71	0.022133038722427317	0.0	0.0	COC1=CC(=O)C(=CC1=CC=CC2=CC=CC=C2)O
OR4S1	ZVCADZQSJQBNLZ-UHFFFAOYSA-N	60.4	0.02193397060363157	0.0	0.0	COCCNC(=O)C1=CC2=C(C(=CC=C2)CC=C)OC1=O
OR4S1	ASSARNSJJMNBLQ-UHFFFAOYSA-N	97.7	0.0215167179392777	0.001	0.29796307836111546	COC1=CC=CC=C1N2CCN(CC2)CCC(=O)NC3=CC(=C(C=C3)F)F
OR4S1	ZBDYDCPYWZBECM-UHFFFAOYSA-N	96.1	0.02147234082000185	0.003	0.4880182862002977	CCOC1=CC(=O)OC2=C1C=C(C=C2)F
