target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR6A2	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.04320541366114564	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
OR6A2	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.03752021699752377	0.0	0.0	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
OR6A2	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.03339658888871738	0.0	0.0	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
OR6A2	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.028776967110744695	0.001	0.29796307836111546	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
OR6A2	VGYCHSOZFBOOKO-UHFFFAOYSA-N	32.9	0.028764079305472187	0.0	0.0	COC1=CC=C(C=C1)C2=CC3=C(C=C(C=C3)O)OC2=O
OR6A2	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.028407942965913688	0.001	0.29796307836111546	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
OR6A2	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.02801786750110653	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
OR6A2	KQGQIJBFNSFSGQ-UHFFFAOYSA-N	65.94	0.027694530119018738	0.0	0.0	CC1=C(SC(=C1C#N)NC(=O)C)C
OR6A2	NJMMNVXTBADFAY-UHFFFAOYSA-N	49.47	0.027200700189134706	0.0	0.0	CC1=C(N=NN1C2=CC(=CC=C2)OC)C(=O)NC3=CC=C(C=C3)OC
OR6A2	GTLUNTOVPCRQID-UHFFFAOYSA-N	71.43	0.026791902920676583	0.0	0.0	CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=C(OC(=C2)C)C
OR6A2	JRJNDYBSBGHCTB-ZHACJKMWSA-N	49.47	0.026412576617634652	0.0	0.0	CCCCC1=NN=C2N1N=C(S2)C=CC3=CC=CC=C3
OR6A2	QGZNCHRJITZHFX-UHFFFAOYSA-N	49.47	0.026258514000248798	0.001	0.29796307836111546	CC1=CC=CC=C1N2CCN(CC2)C(=O)C(C)OC3=CC=C(C=C3)F
OR6A2	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.02611806719289353	0.001	0.29796307836111546	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
OR6A2	RYLXGTKGTSJWBG-UHFFFAOYSA-N	49.47	0.02600802185713403	0.0	0.0	C1COC2=C(O1)C=CC(=C2)C(=O)NCC3=CC=C(C=C3)Cl
OR6A2	BHRLWZVAFTWUKQ-UHFFFAOYSA-N	200	0.025476007440206762	0.001	0.29796307836111546	COC(=O)C1=C(SCC1=O)NC2=CC=CC=C2
