target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
OR6C2	GHNKQXUBBRYYOC-UHFFFAOYSA-N	49.9	0.02512454522681803	0.0	0.0	CN1CCC2=C(C(=C(C3=C2C1CC4=CC(=C(C=C43)OC)OC)OC)OC)[N+](=O)[O-]
OR6C2	JYDFOXZALFOSJF-UHFFFAOYSA-N	160.06	0.022770691012523266	0.002	0.41835730300213264	C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)[N+](=O)[O-]
OR6C2	RYENGUPPKKYXNC-UHFFFAOYSA-N	177.37	0.02203905083481071	0.0	0.0	C1C(=O)N(C(=O)S1)CNC2=CC=C(C=C2)F
OR6C2	AQDKTHFYGXJVBN-UHFFFAOYSA-N	53.3	0.01997323993402897	0.0	0.0	C1=CC=C2C=C3C(=CC2=C1)NC(=N3)C4=CC(=CC=C4)N
OR6C2	RTBNVSKSDOAVLP-UHFFFAOYSA-N	47.7	0.018712456279893586	0.002	0.41835730300213264	CC1=C(C(C2=C(N1)C3=CC=CC=C3C2=O)C4=CC=C(C=C4)OCC(=O)OC)C(=O)OC
OR6C2	OXIXRYKVVVCWTD-UHFFFAOYSA-N	200	0.018428915368478686	0.005	0.5664855018807571	CC(C)CC1C(=C(OC2=C1C(=O)CC(C2)(C)C)N)C#N
OR6C2	WCZLZKLICVOKBC-UHFFFAOYSA-N	19.13	0.017862582950264563	0.003	0.4880182862002977	CCN1CCN(CC1)C2=NN=C3C(=C2)N(C4=CC=CC=C4O3)C
OR6C2	OXCCUFXJRLKBPC-UHFFFAOYSA-N	16.2	0.01785927589148572	0.001	0.29796307836111546	COC1=CC(=C(C=C1)OC)NC=C2C=C(C=C(C2=O)I)I
OR6C2	LUQATNNNHABPSD-UHFFFAOYSA-N	60.9	0.017453698343068293	0.005	0.5664855018807571	C1=CC=C2C(=C1)C(=C(S2)C#N)Cl
OR6C2	WCZDEWHCMMNLLN-MOSHPQCFSA-N	184	0.01706578720711776	0.004	0.5339731285988484	C1CCN(C1)C2=NC(=NC(=N2)NN=CC3=CC(=CC=C3)F)N4CCCC4
OR6C2	VNJVZJNBTWPKNX-UHFFFAOYSA-N	14.47	0.01676781132721654	0.004	0.5339731285988484	C1(=C(C(=NC(=C1Cl)Cl)C(Cl)(Cl)Cl)Cl)N
OR6C2	ZRVDANDJSTYELM-UUSAFJCLSA-N	10	0.0158413937927441	0.014	0.7113908076514347	CC(C)C1=C(C=CC2=C1CCC3C2(CCCC3(C)C)C)O
OR6C2	YVVILFKWXBZXAA-UHFFFAOYSA-N	43.28	0.015830664537386137	0.011	0.6772097402388386	C1=CC(=CC=C1NC(=O)C2=CC(=CC(=C2O)Br)Br)Cl
OR6C2	NDLLKGKHHLXJDU-UHFFFAOYSA-N	13.8	0.015768825077348468	0.003	0.4880182862002977	C1=COC2=C(C=C(C=C2C1=O)Cl)Br
OR6C2	VNFPBHJOKIVQEB-UHFFFAOYSA-N	1.36	0.015533459136863374	0.008	0.6327171980316751	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
