target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
P2RY2	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.03361223052466029	0.0	0.0	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
P2RY2	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.03158910618818833	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
P2RY2	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.030989690078920638	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
P2RY2	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.028658855427672266	0.0	0.0	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
P2RY2	UTERTIQWWDNHQO-UHFFFAOYSA-N	58.44	0.028358287770778198	0.0	0.0	CC1=C(C=C(C=C1)OC(C)C2=NC(=NO2)C3=CC=NC=C3)C
P2RY2	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.027484734456652622	0.0	0.0	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
P2RY2	XFSHOUNLXGXSBL-UHFFFAOYSA-N	71.43	0.02689694052933325	0.0	0.0	C1=CC(=CC(=C1)F)NC(=O)CSC2=CC=C(C=C2)F
P2RY2	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.026481868457576274	0.001	0.29796307836111546	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
P2RY2	FPKFMIHJPUIGST-UHFFFAOYSA-N	200	0.026077205074694944	0.0	0.0	C1=CC=C(C(=C1)NC(=O)C2=CC=CO2)Cl
P2RY2	SAUCFRMQUANKAQ-UHFFFAOYSA-N	45.45	0.025994740791554883	0.002	0.41835730300213264	CC1=CC=CC=C1OCC(=O)NC2=CC(=C(C=C2)F)F
P2RY2	RGQKUDZLVIUXJR-UHFFFAOYSA-N	49.47	0.025580773549555905	0.0	0.0	CCCC1=CC(=CS1)C(=O)N2CCN(CC2)CC3=CC=CC=C3
P2RY2	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.025402996939943034	0.0	0.0	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
P2RY2	YGENAYHMYZWMEL-UHFFFAOYSA-N	45.46	0.025075271277835372	0.0	0.0	CCC1CCCCN1C(=O)CCCN2C(=O)C3=CC=CC=C3C2=O
P2RY2	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.02492470392055625	0.0	0.0	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
P2RY2	PMLKTYLRUUJIFE-UHFFFAOYSA-N	14.89	0.02464469356695291	0.002	0.41835730300213264	CC1=C(C(=C(C=C1)C)Cl)OCCCCN2C=CN=C2.Cl
