target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
PKD2L1	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.03623589494347619	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
PKD2L1	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.03404300202865299	0.0	0.0	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
PKD2L1	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.03397011389972934	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
PKD2L1	RZUHGAKUNBFQJS-UHFFFAOYSA-N	707.39	0.0288745743368088	0.002	0.41835730300213264	CN1CCC2=CC(=C(C3=C4C=C(C(=CC4=CC1=C23)OC)OC)OC)OC
PKD2L1	SAZRPHSJWZLRBK-UHFFFAOYSA-N	68.55	0.02869302020530137	0.0	0.0	CCOC(=O)C1=CN=C(N=C1NC2=CC=C(C=C2)N3CCN(CC3)C)SC.Cl
PKD2L1	ZDAQNRVHEIUNRF-UHFFFAOYSA-N	47.81	0.028208312230147737	0.0	0.0	C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC=C4C=C(C=CC4=O)Cl
PKD2L1	UQNGBKYOCBSSOA-UHFFFAOYSA-N	70.5	0.027936211788071024	0.002	0.41835730300213264	CCOC1=CC(=O)OC2=C1C=CC(=C2)C
PKD2L1	FNIJWCUPMHCILC-UHFFFAOYSA-N	4.65	0.027566860759775547	0.001	0.29796307836111546	C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)NC=C4C=C(C=C(C4=O)Br)Cl
PKD2L1	NINUDNFTMULJEE-UHFFFAOYSA-N	22.06	0.02696154121961198	0.003	0.4880182862002977	CCOC(=O)C1=CC=C(C=C1)NCC2=C(C=CC(=C2)Cl)O
PKD2L1	CFURALIVNOYQDS-UHFFFAOYSA-N	61.76	0.02625275810478814	0.001	0.29796307836111546	CC(=O)NC1C2=CC=CC=C2N(C1=O)CCOC3=CC=CC=C3Cl
PKD2L1	XHBZOAYMBBUURD-UHFFFAOYSA-N	44.17	0.025931748907353534	0.002	0.41835730300213264	COC1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2)O)O
PKD2L1	PMLKTYLRUUJIFE-UHFFFAOYSA-N	14.89	0.02592065614721358	0.002	0.41835730300213264	CC1=C(C(=C(C=C1)C)Cl)OCCCCN2C=CN=C2.Cl
PKD2L1	IGELAJYEOYKEOS-UHFFFAOYSA-N	510.7	0.025910802646733868	0.003	0.4880182862002977	COC1=CC2=C(C=C1)OC(=CC2=O)C3=CC=C(C=C3)O
PKD2L1	GUGVDLUPWKIBQU-UHFFFAOYSA-N	71.43	0.025446162549265464	0.005	0.5664855018807571	C1=CC=NC(=C1)SCC(=O)C2=CC=C(C=C2)Br
PKD2L1	YPTKKTRAGNKREQ-UHFFFAOYSA-N	9.68	0.02532725974690058	0.004	0.5339731285988484	C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC=CC=C4I
