target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
PTGER3	PMAQASWXSNJAOL-UHFFFAOYSA-N	19.8	0.01667057049841335	0.001	0.29796307836111546	CC(C)CC1=NN=C2N1N=C(S2)C3=CC(=CC=C3)N(C)C
PTGER3	PFUSEJJWWMUOEB-UHFFFAOYSA-N	71.43	0.014965675190291133	0.002	0.41835730300213264	CC1=CC2=C(N=CN=C2S1)NCCC3=CNC4=CC=CC=C43
PTGER3	FEBJUGCYDRVVCU-UHFFFAOYSA-N	51.95	0.01373417587282806	0.005	0.5664855018807571	COC1=CC=CC(=C1)NC(=O)C2=CC=C(C=C2)OCC#C
PTGER3	RGCKGOZRHPZPFP-UHFFFAOYSA-N	107.93	0.013646027556673112	0.004	0.5339731285988484	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O
PTGER3	HJNJAUYFFFOFBW-UHFFFAOYSA-N	31.4	0.01348067527913573	0.005	0.5664855018807571	COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)OC)OC
PTGER3	BQOFIHKBQDUWDE-UHFFFAOYSA-N	85	0.013304851794431248	0.009	0.6494849736827212	C1CN(CCN1CC2=CC=CC=C2)CN3C4=CC=CC=C4SC3=S
PTGER3	INDUNANCUDNZJY-SCOKXHSESA-N	100	0.013249391968530309	0.008	0.6327171980316751	CC(=O)OC1C2CC3C(CCC4(C3CC(=O)OC4C5=COC=C5)C)C(C2=O)(C(C1(C)C)CC(=O)OC)C
PTGER3	IUYHQXQULKHTOS-UHFFFAOYSA-N	19.3	0.013101133652817941	0.006	0.5941059225512528	C1=CC2=C(C=C1Cl)C3=C(N2CC(CN(CCO)CCO)O)C=CC(=C3)Cl
PTGER3	BZEWSEKUUPWQDQ-UHFFFAOYSA-N	31.25	0.013093938034595964	0.01	0.6644404300776433	CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2
PTGER3	GVLDSGIQZAFIAN-UHFFFAOYSA-N	45	0.012862563025942991	0.011	0.6772097402388386	CCCCCCCC1C(O1)CC#CC#CC(C=C)O
PTGER3	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.012698330402228133	0.022	0.7671282200871452	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
PTGER3	UKTFMPQSNSFGKD-UHFFFAOYSA-N	49.2	0.012579967757717435	0.027	0.788819769040418	COC1=CC(=CC(=C1OC)OC)C2C(=C(OC3=C2C(=O)OC4=CC=CC=C43)N)C#N
PTGER3	GPWQOVCEVRHWKX-UHFFFAOYSA-N	195	0.012306528234865208	0.018	0.7426628412412499	CN1C2=CC=CC=C2C(=C1CNC3=CC=CC=C3O)C#N
PTGER3	XNJYTYBASIFPCP-UHFFFAOYSA-N	42.67	0.012300843928617518	0.011	0.6772097402388386	CC1=CC=CC=C1NC2=C(C(=O)C3=CC=CC=C3C2=O)N
PTGER3	RYYVLZVUVIJVGH-UHFFFAOYSA-N	993.06	0.012247344741769977	0.014	0.7113908076514347	CN1C=NC2=C1C(=O)N(C(=O)N2C)C
