target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
PTGFR	QDFJDWXCNLXZGJ-UHFFFAOYSA-N	191	0.02655877807448405	0.003	0.4880182862002977	CC(=O)N1C(CC(=N1)C2=CC=C(C=C2)OC)C3=C(C=CC(=C3)OC)OC
PTGFR	LUQATNNNHABPSD-UHFFFAOYSA-N	60.9	0.025422522695744326	0.012	0.6894826964671954	C1=CC=C2C(=C1)C(=C(S2)C#N)Cl
PTGFR	RHTVPWVESMJUOP-BAQGIRSFSA-N	86.1	0.025136519299519614	0.008	0.6327171980316751	C1OC2=C(O1)C=C(C=C2)C=C(C#N)C(=S)N
PTGFR	QABRQVFUHVPFPW-UHFFFAOYSA-N	61.7	0.0245753522356165	0.012	0.6894826964671954	Cc1ccc(NS(=O)(=O)c2cc(ccc2C)[N+](=O)[O-])cc1F
PTGFR	HFWWPJGYQOWDNB-MFOYZWKCSA-N	191	0.024503602217364362	0.006	0.5941059225512528	COC1=C(C=C(C=C1)C=NNC(=O)C2=CC=C(C=C2)Br)O
PTGFR	LYPJVUYYJLQGMG-UHFFFAOYSA-N	78.1	0.02346915932339014	0.012	0.6894826964671954	COC(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31
PTGFR	UQCNZQFTNGZZLE-YVNNLAQVSA-N	155	0.02334153472274237	0.015	0.7202865894226786	CC1=CC=C(C=C1)S(=O)(=O)NN=CC2=CC=C(C=C2)OC3=NC(=NC=C3F)Cl
PTGFR	DDKJECHBDWLFFD-UHFFFAOYSA-N	460	0.023234350012737777	0.016	0.727692106483408	CC1=CC=C(C=C1)C(=O)NC2=C(C=C(S2)C)C(=O)O
PTGFR	LJOQGZACKSYWCH-NBGVHYBESA-N	100	0.02300662923159025	0.013	0.7012571742839818	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
PTGFR	MVZMBETVLIKHSI-UHFFFAOYSA-N	35.66	0.022939512726509712	0.014	0.7113908076514347	CC1=C(C(=O)N(N1)C2=CC=CC=C2)NN=C3C=CC(=O)C=C3
PTGFR	BTGXJIPOLCSVOJ-TWGQIWQCSA-N	69.23	0.02260818357242773	0.014	0.7113908076514347	CN1C(=O)C(=CNC2=CC=C(C=C2)F)C(=O)NC1=S
PTGFR	UUTPWWFKHYOFRA-OVCLIPMQSA-N	138	0.022071521744676355	0.013	0.7012571742839818	CC1=CC2=C(C=C1)OC(CC2=NO)(C(F)(F)F)O
PTGFR	OTMYLOBWDNFTLO-UHFFFAOYSA-N	30.2	0.02146310380113539	0.024	0.776654512846109	C1=CC=C(C=C1)C2=C(N=NC(=N2)C3=CC=CC=N3)C4=CC=CC=C4
PTGFR	RGCKGOZRHPZPFP-UHFFFAOYSA-N	107.93	0.0213349267681554	0.019	0.7489823574269874	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O
PTGFR	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.02115886259653856	0.017	0.7355584336259163	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
