target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
S1PR2	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.0319494480203067	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
S1PR2	UKTFMPQSNSFGKD-UHFFFAOYSA-N	49.2	0.028348597949390306	0.0	0.0	COC1=CC(=CC(=C1OC)OC)C2C(=C(OC3=C2C(=O)OC4=CC=CC=C43)N)C#N
S1PR2	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.027558477048314066	0.001	0.29796307836111546	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
S1PR2	PFZCWJHRVQMOHW-UHFFFAOYSA-N	2.54	0.026183572979374903	0.0	0.0	C1=CC=C(C=C1)N2C(=C(C(=N2)N3C4=CC=CC=C4N=N3)[N+](=O)[O-])C(Cl)Cl
S1PR2	PMAQASWXSNJAOL-UHFFFAOYSA-N	19.8	0.02432986345445789	0.003	0.4880182862002977	CC(C)CC1=NN=C2N1N=C(S2)C3=CC(=CC=C3)N(C)C
S1PR2	CHMTVFWOFCHPPS-UHFFFAOYSA-N	49.47	0.024106016166845597	0.0	0.0	CC1=CC(=CC=C1)NC(=O)C2=C(N=C(S2)C3=CN=CC=C3)C
S1PR2	YEASPBADKSMHDK-UHFFFAOYSA-N	37	0.02364230393835524	0.005	0.5664855018807571	C1CCN(C1)C(=O)C2=CC(=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Br)[N+](=O)[O-]
S1PR2	IHIXIYXIWDFZPJ-UHFFFAOYSA-N	71.43	0.022880524640876223	0.002	0.41835730300213264	C1CN(CC2=CC=CC=C21)CC(=O)NC3=CC=C(C=C3)Cl
S1PR2	AYGGQJHJRFZDFH-UHFFFAOYSA-N	48.84	0.02287929134990897	0.006	0.5941059225512528	C1=C(C=C2C(=C1Cl)NC(=O)C2=O)Cl
S1PR2	CCOJFDRSZSSKOG-SNVBAGLBSA-N	13.4	0.022750562902694404	0.002	0.41835730300213264	CC(C1=CC=C(C=C1)OC)C(=O)C2=C(C=C(C=C2)O)O
S1PR2	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.022358200042903002	0.0	0.0	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
S1PR2	SHVJYQXVUKDGRQ-UHFFFAOYSA-N	19.48	0.022310259117313724	0.004	0.5339731285988484	CC1=C(C=CC(=C1)OC(C)C2=NC(=NO2)C3=CC=CC=N3)Cl
S1PR2	SAUCFRMQUANKAQ-UHFFFAOYSA-N	45.45	0.022194016562154535	0.002	0.41835730300213264	CC1=CC=CC=C1OCC(=O)NC2=CC(=C(C=C2)F)F
S1PR2	LUZUAYAKZLCOCQ-BHHNFLQBSA-N	4.71	0.02183013228436927	0.003	0.4880182862002977	COC1=CC(=O)C(=CC1=CC=CC2=CC=CC=C2)O
S1PR2	XEYVZLZWQFLSDZ-UHFFFAOYSA-N	215	0.02182028739489005	0.005	0.5664855018807571	C1CCC2(CC1)OCC(O2)C3C(C4C(O3)OC5(O4)CCCCC5)O
