target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
SCN9A	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.08220682063568988	0.0	0.0	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
SCN9A	AIYDBDAYQJBCRS-UHFFFAOYSA-M	19.4	0.07375116556835672	0.0	0.0	CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2COC4=CC=C(C=C4)C)C)C(C)C.[Cl-]
SCN9A	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114	0.06987957083382906	0.0	0.0	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
SCN9A	VCIRVTJQPNZIIS-UHFFFAOYSA-N	9.27	0.06801238026689677	0.0	0.0	CC(=O)OC(C12C=CC(O1)C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)OC(=O)C
SCN9A	XNZHJADQXXCSFV-OCCSQVGLSA-N	140	0.06626276483073751	0.002	0.41835730300213264	CC(C)C(C=O)NC(=O)C(C(C)C)NC(=O)CNC(=O)OC(C)(C)C
SCN9A	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.06574368841996946	0.003	0.4880182862002977	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
SCN9A	RNFNDJAIBTYOQL-UHFFFAOYSA-N	100	0.06512564003005188	0.001	0.29796307836111546	C(C(Cl)(Cl)Cl)(O)O
SCN9A	NXJCRELRQHZBQA-UHFFFAOYSA-N	84.59	0.06504400425172864	0.0	0.0	COC1=CC(=C2C=CC(=O)OC2=C1)OC
SCN9A	UWMDSJLXTFBQHQ-UHFFFAOYSA-N	49.47	0.06422720555556355	0.0	0.0	CCOC1=CC=CC(=C1)NC(=O)C2=CC=CS2
SCN9A	DGQLVPJVXFOQEV-NGOCYOHBSA-N	40.6	0.06384398793423747	0.003	0.4880182862002977	CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O
SCN9A	SGDBTWWWUNNDEQ-LBPRGKRZSA-N	456.52	0.06342053081317728	0.003	0.4880182862002977	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
SCN9A	BCUPQOPHSHPXET-UHFFFAOYSA-N	183	0.062140320401536914	0.002	0.41835730300213264	CC1=C(C2=C(O1)C=CC(=C2)O)C(=O)OC(C)C
SCN9A	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.061833570693463076	0.003	0.4880182862002977	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
SCN9A	JMJFOHCLGYJSFZ-UHFFFAOYSA-N	26.6	0.06159880656051946	0.001	0.29796307836111546	CC1=CC=C(C=C1)NC(=NC2=CC=C(C=C2)C)SC3C(=O)N(C(=O)S3)C4=CC=C(C=C4)C
SCN9A	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.060429362667742674	0.005	0.5664855018807571	CC1(C2CCC1(CN(C2)CC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O)C)C
