target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
SCNN1G	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.04663209168158377	0.001	0.29796307836111546	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
SCNN1G	WIRIXRABFXLVKO-UHFFFAOYSA-N	96.38	0.04105053005918278	0.002	0.41835730300213264	C1=CC=C2C(=C1)N=C(S2)SCCN.Br
SCNN1G	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.04091470007847831	0.0	0.0	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
SCNN1G	PRWIOEGVJASEDF-UHFFFAOYSA-N	154	0.03791743535324659	0.002	0.41835730300213264	C1=CC=C(C=C1)CCN2C(=O)C3=C(C=CS3)NC2=S
SCNN1G	QXIOSDBURWNOSL-UHFFFAOYSA-N	31.5	0.037253156374901786	0.001	0.29796307836111546	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
SCNN1G	CHXSDKWBSFDZEU-UHFFFAOYSA-N	100	0.037181628772827775	0.001	0.29796307836111546	COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)OC)OC)OC
SCNN1G	JMJFOHCLGYJSFZ-UHFFFAOYSA-N	26.6	0.036813915918001414	0.003	0.4880182862002977	CC1=CC=C(C=C1)NC(=NC2=CC=C(C=C2)C)SC3C(=O)N(C(=O)S3)C4=CC=C(C=C4)C
SCNN1G	QABRQVFUHVPFPW-UHFFFAOYSA-N	61.7	0.03627858737940825	0.003	0.4880182862002977	Cc1ccc(NS(=O)(=O)c2cc(ccc2C)[N+](=O)[O-])cc1F
SCNN1G	AZNNBONKLSEZOT-UHFFFAOYSA-N	175	0.03470274564047197	0.004	0.5339731285988484	CC1=CC(=CC=C1)N=C2C(=CC3=C(O2)C(=CC=C3)OC)C4=NC5=CC=CC=C5N4
SCNN1G	PIAKILNRCYLDQL-UHFFFAOYSA-N	114	0.033640234239764276	0.003	0.4880182862002977	COC1=CC(=C(C=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)OCC2=CC=CC=C2)[N+](=O)[O-]
SCNN1G	JCCNYMKQOSZNPW-UHFFFAOYSA-N	26.9	0.032898857412163564	0.005	0.5664855018807571	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
SCNN1G	ORSCTFRUJZPQPU-YBEGLDIGSA-N	146	0.0325575120188059	0.004	0.5339731285988484	CC1=C(C=CC(=C1)I)NN=C2C(=NN(C2=O)C(=S)N)C
SCNN1G	MWWSFMDVAYGXBV-RUELKSSGSA-N	7.67	0.032228604977451274	0.005	0.5664855018807571	CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl
SCNN1G	YHWRPTNDJULNKW-YRNVUSSQSA-N	32.1	0.031231438175698116	0.01	0.6644404300776433	C=CCOC1=C(C=C(C=C1)Cl)C=C2C(=O)NC(=S)S2
SCNN1G	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.03095672781365256	0.009	0.6494849736827212	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
