target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TAS2R36	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.04273229109159235	0.001	0.29796307836111546	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
TAS2R36	CCOJFDRSZSSKOG-SNVBAGLBSA-N	13.4	0.039464512369038786	0.001	0.29796307836111546	CC(C1=CC=C(C=C1)OC)C(=O)C2=C(C=C(C=C2)O)O
TAS2R36	PFZCWJHRVQMOHW-UHFFFAOYSA-N	2.54	0.03920506840757219	0.0	0.0	C1=CC=C(C=C1)N2C(=C(C(=N2)N3C4=CC=CC=C4N=N3)[N+](=O)[O-])C(Cl)Cl
TAS2R36	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.036359819465763756	0.001	0.29796307836111546	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
TAS2R36	IHIXIYXIWDFZPJ-UHFFFAOYSA-N	71.43	0.035688064601003995	0.001	0.29796307836111546	C1CN(CC2=CC=CC=C21)CC(=O)NC3=CC=C(C=C3)Cl
TAS2R36	QQWSKGRYIBXHPC-UHFFFAOYSA-N	80.64	0.03417552143381111	0.001	0.29796307836111546	CCCCOC1=CC2=C(C=C1)C(=C(C(=O)O2)C)C
TAS2R36	XEYVZLZWQFLSDZ-UHFFFAOYSA-N	215	0.033797743231177596	0.001	0.29796307836111546	C1CCC2(CC1)OCC(O2)C3C(C4C(O3)OC5(O4)CCCCC5)O
TAS2R36	LITCKBAOXMKNTI-UHFFFAOYSA-N	68.7	0.0336812883345367	0.0	0.0	CC1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)OCC#N
TAS2R36	SDLPADBAAMHWQB-UHFFFAOYSA-N	200	0.031208358221731135	0.003	0.4880182862002977	C1=CC2=C(C(=C1)O)N=C(C=C2)C(=O)N
TAS2R36	LZFKGFXHFPNEEJ-UHFFFAOYSA-N	21.91	0.030764113187078567	0.002	0.41835730300213264	CC1=C(C(=CC=C1)C)N2C(=O)C3C4C=CC(C3C2=O)O4
TAS2R36	MCGIKONWYKDOFW-UHFFFAOYSA-N	263	0.030647607762691174	0.004	0.5339731285988484	C1COCCN1C2=C(C=C(C3=C2N=CC=C3)[N+](=O)[O-])[N+](=O)[O-]
TAS2R36	UKTFMPQSNSFGKD-UHFFFAOYSA-N	49.2	0.03063884988662762	0.003	0.4880182862002977	COC1=CC(=CC(=C1OC)OC)C2C(=C(OC3=C2C(=O)OC4=CC=CC=C43)N)C#N
TAS2R36	LCNNEYOGOALQLT-UHFFFAOYSA-N	35.7	0.030503480225552417	0.0	0.0	CC(=O)OC1=CC=C(C=C1)C(=O)NC2=C(C=CC(=C2)Cl)OC(=O)C
TAS2R36	LUZUAYAKZLCOCQ-BHHNFLQBSA-N	4.71	0.03044062545432988	0.003	0.4880182862002977	COC1=CC(=O)C(=CC1=CC=CC2=CC=CC=C2)O
TAS2R36	NINUDNFTMULJEE-UHFFFAOYSA-N	22.06	0.03041281133887039	0.006	0.5941059225512528	CCOC(=O)C1=CC=C(C=C1)NCC2=C(C=CC(=C2)Cl)O
