target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TPCN1	KPJKWKUDBQQILH-UHFFFAOYSA-N	2.12	0.025074607515790638	0.001	0.29796307836111546	C1=CC(=C(C=C1Br)[N+](=O)[O-])N2C(=O)C=CC2=O
TPCN1	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.02370955535392449	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
TPCN1	SAZRPHSJWZLRBK-UHFFFAOYSA-N	68.55	0.023455912933260197	0.001	0.29796307836111546	CCOC(=O)C1=CN=C(N=C1NC2=CC=C(C=C2)N3CCN(CC3)C)SC.Cl
TPCN1	CFURALIVNOYQDS-UHFFFAOYSA-N	61.76	0.022302624733176814	0.0	0.0	CC(=O)NC1C2=CC=CC=C2N(C1=O)CCOC3=CC=CC=C3Cl
TPCN1	RFAXLXKIAKIUDT-UHFFFAOYSA-N	2.69	0.022117342597960412	0.001	0.29796307836111546	C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O
TPCN1	ZUPRUYKDNMXKSG-UHFFFAOYSA-N	338	0.019815861569226788	0.008	0.6327171980316751	COC1=CC=C(C=C1)C2=CN3C4=CC=CC=C4N=C3N2CCN5CCCC5
TPCN1	IMEHBSBZAOHPDZ-UHFFFAOYSA-N	49.47	0.01976928968177986	0.005	0.5664855018807571	CC1=CC=C(C=C1)OCCNC(=O)C2=CC(=C(C=C2)C)C
TPCN1	KKZJGLLVHKMTCM-UHFFFAOYSA-N	164.41	0.019485389536180838	0.004	0.5339731285988484	C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
TPCN1	FNIJWCUPMHCILC-UHFFFAOYSA-N	4.65	0.019367633425928607	0.004	0.5339731285988484	C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)NC=C4C=C(C=C(C4=O)Br)Cl
TPCN1	QXIOSDBURWNOSL-UHFFFAOYSA-N	31.5	0.01936419221791122	0.008	0.6327171980316751	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
TPCN1	KNMBHGSZDTURIO-UHFFFAOYSA-N	243	0.019354155878563123	0.001	0.29796307836111546	C=CCSC1=NC(=C2C3=C(CCCC3)SC2=N1)N
TPCN1	YEASPBADKSMHDK-UHFFFAOYSA-N	37	0.019248799544128725	0.007	0.6148789841094884	C1CCN(C1)C(=O)C2=CC(=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)Br)[N+](=O)[O-]
TPCN1	UKTFMPQSNSFGKD-UHFFFAOYSA-N	49.2	0.019244370985616824	0.005	0.5664855018807571	COC1=CC(=CC(=C1OC)OC)C2C(=C(OC3=C2C(=O)OC4=CC=CC=C43)N)C#N
TPCN1	DLHRPFVERCOHRS-UHFFFAOYSA-N	129	0.019164885531662092	0.006	0.5941059225512528	COC1=CC=CC=C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
TPCN1	YPTKKTRAGNKREQ-UHFFFAOYSA-N	9.68	0.018992740144273747	0.01	0.6644404300776433	C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC=CC=C4I
