target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TRPV1	YLFMCMWKHSDUCT-UHFFFAOYSA-N	61.3	0.06159279747608649	0.0	0.0	C1=CC2=C(C=C1C(F)(F)F)NC(=O)N2C3=C(C=CC(=C3)C(F)(F)F)O
TRPV1	LGUHQIOUFDSZTE-UHFFFAOYSA-N	32.9	0.05337239661280454	0.001	0.29796307836111546	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=COC=C3
TRPV1	IVFYNVUWEOJAST-UHFFFAOYSA-N	32.4	0.05225905575901046	0.001	0.29796307836111546	CC1(C2CCC1(CN(C2)CC(CN3C4=C(C=C(C=C4)Cl)C5=C3C=CC(=C5)Cl)O)C)C
TRPV1	SPABMCLDHGNLFQ-BJMVGYQFSA-N	114	0.051361486973646384	0.002	0.41835730300213264	CN(C)C1=CC=C(C=C1)C(=O)C=CC2=CN=CC=C2
TRPV1	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.051299540762332944	0.0	0.0	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
TRPV1	CAWGAZOGNAWLPB-UHFFFAOYSA-N	37.1	0.0503550227505138	0.003	0.4880182862002977	CCN1C2=C(C=C(C=C2)CN3CCN(CC3)CC4=CC(=C(C(=C4)OC)OC)OC)C5=CC=CC=C51
TRPV1	HEFTZORMGMTRPG-UHFFFAOYSA-N	314	0.04994382113844892	0.002	0.41835730300213264	CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)NC(=S)NC(=O)C2=CC=CC=C2)C(C)(C)C
TRPV1	OYNFLCCFMOIPDY-UHFFFAOYSA-N	9.09	0.04905238963677147	0.0	0.0	CC1=NN(C(=C1S(=O)(=O)NC2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)C
TRPV1	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.04904547403643249	0.003	0.4880182862002977	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
TRPV1	SVJMLYUFVDMUHP-UHFFFAOYSA-N	82	0.04897175219560227	0.001	0.29796307836111546	CC1=C(C(C(=C(N1)C)C(=O)OCCCN2CCC(CC2)(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC
TRPV1	AZNNBONKLSEZOT-UHFFFAOYSA-N	175	0.048135170492382015	0.006	0.5941059225512528	CC1=CC(=CC=C1)N=C2C(=CC3=C(O2)C(=CC=C3)OC)C4=NC5=CC=CC=C5N4
TRPV1	VOXZDWNPVJITMN-UHFFFAOYSA-N	524	0.04731801903973949	0.001	0.29796307836111546	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
TRPV1	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.04641808775048215	0.004	0.5339731285988484	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
TRPV1	ORZIOOIMOACKMZ-UHFFFAOYSA-N	64	0.04595271988384914	0.0	0.0	COC1=C(C=CC(=C1)SC)C(=O)N2CCC3=CC=CC=C3C2
TRPV1	FWCHESSKLZHMFP-UHFFFAOYSA-N	3.34	0.045819687330043324	0.001	0.29796307836111546	C1=CC=NC(=C1)C2=CSC(=N2)NC3=CC=C(C=C3)Br
