target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TSHR	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.02558639594268514	0.002	0.41835730300213264	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
TSHR	HPGKJCFDLAZRAQ-UHFFFAOYSA-N	2.74	0.023993397064161294	0.001	0.29796307836111546	CCC(C)(C)C1=CC(=C(C=C1)OCCCC[N+]2=CC=CC=C2)C(C)(C)CC
TSHR	QABRQVFUHVPFPW-UHFFFAOYSA-N	61.7	0.021734851154437972	0.003	0.4880182862002977	Cc1ccc(NS(=O)(=O)c2cc(ccc2C)[N+](=O)[O-])cc1F
TSHR	JCCNYMKQOSZNPW-UHFFFAOYSA-N	26.9	0.021435701140018498	0.008	0.6327171980316751	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
TSHR	RGCKGOZRHPZPFP-UHFFFAOYSA-N	107.93	0.021068985402505007	0.006	0.5941059225512528	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O
TSHR	BTGXJIPOLCSVOJ-TWGQIWQCSA-N	69.23	0.02031355597577295	0.01	0.6644404300776433	CN1C(=O)C(=CNC2=CC=C(C=C2)F)C(=O)NC1=S
TSHR	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.020235619108685328	0.008	0.6327171980316751	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
TSHR	LAAMFYYXHGDSRH-UHFFFAOYSA-N	155	0.019575007012593112	0.009	0.6494849736827212	C1=CC=C(C(=C1)C(=O)O)NNC=C2C=CC=CC2=O
TSHR	QXIOSDBURWNOSL-UHFFFAOYSA-N	31.5	0.019556242265349986	0.008	0.6327171980316751	CC1=CC(=C(C=C1)C)C2=CSC(=N2)N.Cl
TSHR	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.019505132380578664	0.006	0.5941059225512528	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
TSHR	ADGDUIDDAMQKAG-UHFFFAOYSA-N	53.7	0.01923831177995558	0.012	0.6894826964671954	C1=CC=C2C(=C1)N=CC(=N2)C3=CC=CS3
TSHR	UWYBOEZQGCFECQ-UHFFFAOYSA-N	200	0.019156787426047376	0.017	0.7355584336259163	C1CC1NC(=O)C2=CC=CC=C2O
TSHR	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.018980443445386477	0.007	0.6148789841094884	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
TSHR	QJDAORZUJBDJJF-DAXSKMNVSA-N	151.97	0.01878417178545835	0.01	0.6644404300776433	C1=CSC(=C1)C(=O)C=C(C(F)(F)F)N
TSHR	MLCQNZQXVSPVEE-UHFFFAOYSA-N	13.8	0.018443087987692702	0.014	0.7113908076514347	CN1C2=CC=CC=C2OC3=NN=C(C=C31)Cl
