target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TTYH1	FZYOVNIOYYPUPY-AMSHPFMVSA-N	24.3	0.044993145726939014	0.0	0.0	CC1C=CC=C(C(=O)NC2=C(C3=C(C(=C4C(=C3C(=O)C2=CNN5CCN(CC5)C)C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C
TTYH1	QGZNCHRJITZHFX-UHFFFAOYSA-N	49.47	0.04249164135211728	0.0	0.0	CC1=CC=CC=C1N2CCN(CC2)C(=O)C(C)OC3=CC=C(C=C3)F
TTYH1	MGWUMZFAYGKELJ-JXMROGBWSA-N	29.05	0.04071124263288786	0.001	0.29796307836111546	CSC1=CC=C(C=C1)C=CC(=O)C2=CC(=CC=C2)N
TTYH1	TUTVDOPAKOUNQV-UHFFFAOYSA-N	71.4	0.04068866609084442	0.0	0.0	CC1=CC2=C(C=C1)N=C(N2)C3=CC=CC=C3
TTYH1	JZWGCONBFOFQTA-UHFFFAOYSA-N	27.7	0.03957198156389903	0.001	0.29796307836111546	C1=CC=NC(=C1)C(=NOC(=O)COC2=CC=C(C=C2)Cl)N
TTYH1	TZYWCYJVHRLUCT-VABKMULXSA-N	525	0.03830289399007819	0.0	0.0	CC(C)CC(C=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1
TTYH1	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.03781082786442355	0.003	0.4880182862002977	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
TTYH1	UVGRVNQLRMADLE-UHFFFAOYSA-N	61.6	0.03749369179396934	0.003	0.4880182862002977	CN1C2=C(C(=O)N=CN2)N=C1SCC3=C(C=CC=C3Cl)F
TTYH1	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.03622063233127545	0.003	0.4880182862002977	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
TTYH1	HPNSFSBZBAHARI-RUDMXATFSA-N	780.42	0.03621006759491085	0.001	0.29796307836111546	CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)O)OC
TTYH1	KQGQIJBFNSFSGQ-UHFFFAOYSA-N	65.94	0.03573196892752181	0.003	0.4880182862002977	CC1=C(SC(=C1C#N)NC(=O)C)C
TTYH1	YZOGQNMCYOSDKF-UHFFFAOYSA-N	19.48	0.03513709298638485	0.001	0.29796307836111546	COC1=CC=CC(=C1)CNC2=CC(=CC=C2)[N+](=O)[O-]
TTYH1	XNILKVADCMYCQT-UHFFFAOYSA-N	200	0.034895228134339255	0.005	0.5664855018807571	CC1=CC2=C(C=C1)N=CN=C2Cl
TTYH1	DMXJRHDFHFHZOF-LICLKQGHSA-N	62.41	0.03474901000365063	0.001	0.29796307836111546	CC1=CC(=C(C=C1)C)NCN2C(=O)C(=CC3=CC=CC=C3F)SC2=O
TTYH1	OJNHXCUBYFNKTH-RAXLEYEMSA-N	154.43	0.034631595675013366	0.002	0.41835730300213264	COC1=CC=CC=C1C=C2C(=O)C3CCN2CC3
