target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
GPRC5C	JAMQLJVXPNHYPI-UHFFFAOYSA-N	94.6	0.05417459030896184	0.0	0.0	CC1=C(C(C(=C(O1)N)C#N)C2=CC=CC=C2)C(=O)C
GPRC5C	OPDBGPSIRGGXRM-UHFFFAOYSA-N	45.19	0.046292900822736946	0.0	0.0	CC1=CC(=C(C=C1)OCCSC2=NC=NC3=C2NC=N3)C(C)C
GPRC5C	QZESEGHSLFKZIV-UHFFFAOYSA-N	928.26	0.041099006514234315	0.001	0.3182291666666667	C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O
GPRC5C	SSGUXMZISLXZNI-UHFFFAOYSA-N	257	0.03879944675020154	0.0	0.0	C1CCC(CC1)C2=CC=C(C=C2)NC3=CC(=O)NC(=O)N3
GPRC5C	ZDAQNRVHEIUNRF-UHFFFAOYSA-N	47.81	0.03860307702870032	0.0	0.0	C1=CC=C2C(=C1)N=C(S2)C3=CC(=CC=C3)NC=C4C=C(C=CC4=O)Cl
GPRC5C	HLRFUTRZDZOVDA-UHFFFAOYSA-N	200	0.03859491798096644	0.003	0.5273302646720368	CC1=CN=C(C=C1)NC(=O)C2=CC=CO2
GPRC5C	MCDJQHQCVHCWJZ-XNTDXEJSSA-N	22.18	0.03851156096910918	0.001	0.3182291666666667	C1=CC=C(C=C1)C=C2C(=O)N(C(=O)S2)CNC3=CC=C(C=C3)I
GPRC5C	PMLKTYLRUUJIFE-UHFFFAOYSA-N	14.89	0.03806431384846937	0.001	0.3182291666666667	CC1=C(C(=C(C=C1)C)Cl)OCCCCN2C=CN=C2.Cl
GPRC5C	SDUQYLNIPVEERB-QPPQHZFASA-N	100	0.03772413028231706	0.0	0.0	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
GPRC5C	UQNGBKYOCBSSOA-UHFFFAOYSA-N	70.5	0.03598689211204225	0.0	0.0	CCOC1=CC(=O)OC2=C1C=CC(=C2)C
GPRC5C	ZKDHPMYHSXIDJT-UHFFFAOYSA-N	25.97	0.03585086137255621	0.002	0.4539375928677563	C1COCCN1CCCNC(=O)C2=C(C3=C(S2)C=C(C=C3)Br)Cl
GPRC5C	ZVCADZQSJQBNLZ-UHFFFAOYSA-N	60.4	0.035378731886381735	0.002	0.4539375928677563	COCCNC(=O)C1=CC2=C(C(=CC=C2)CC=C)OC1=O
GPRC5C	DIXVUMFALGTULE-ALCCZGGFSA-N	9.27	0.03447324413603532	0.001	0.3182291666666667	C1OC2=C(O1)C=C(C=C2)C=CC3=NC=CC4=C3NC5=CC=CC=C45
GPRC5C	IPZCDWLMVIKJAK-UHFFFAOYSA-N	200	0.03445174215210722	0.002	0.4539375928677563	C1CC(CC=C1)C2C(=C(SC(=C2C#N)N)N)C#N
GPRC5C	BHRLWZVAFTWUKQ-UHFFFAOYSA-N	200	0.03440001763100586	0.004	0.5710280373831775	COC(=O)C1=C(SCC1=O)NC2=CC=CC=C2
