target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
MCOLN2	OSZLEIRIVDPWFF-UHFFFAOYSA-N	71.43	0.01952530839619108	0.0	0.0	C=CCOC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)N3CCCCC3
MCOLN2	RSNBFKZVWOMMNM-UHFFFAOYSA-N	98.6	0.017868979087575444	0.0	0.0	Oc1c(Cl)cc(CN2CCN(CC2)c3cccc(c3)C(F)(F)F)c4cccnc14
MCOLN2	TUGWPJJTQNLKCL-UHFFFAOYSA-N	100	0.015470713588741027	0.001	0.3182291666666667	COC1=CC(=CC(=C1OC)O)C2=COC3=CC(=C(C(=C3C2=O)O)OC)O
MCOLN2	BQNMCASOYODBDK-UHFFFAOYSA-N	14.94	0.015167342987479415	0.001	0.3182291666666667	CC1=NN2C(=CC(=NC2=C1C3=CC=CC=C3)C(C)C)N4CCN(CC4)CCO
MCOLN2	PSIDVLQBLHZTTJ-UHFFFAOYSA-N	234	0.015096463502557105	0.0	0.0	CC1=NC(=C2C3=C(CCCC3)SC2=N1)N4CCOCC4
MCOLN2	ZWPBQOIMHMGXCP-UHFFFAOYSA-N	41	0.014671758174420893	0.006	0.6298969072164948	C1=CC=C2C(=C1)C3=C(C(C(=C(O3)N)C#N)C4=CC=C(O4)C5=CC=C(C=C5)[N+](=O)[O-])C(=O)O2
MCOLN2	HCNOXYZKFMYAGF-UHFFFAOYSA-N	25.87	0.0145945879085033	0.006	0.6298969072164948	CC1=CC(=NC2=NN3C(=CC(=NC3=C12)C)NC(C)C)C
MCOLN2	RGCKGOZRHPZPFP-UHFFFAOYSA-N	107.93	0.0142944256475342	0.004	0.5710280373831775	C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O
MCOLN2	VYPFILQRNJYPQH-UHFFFAOYSA-N	561.06	0.013917180610980247	0.004	0.5710280373831775	CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C=C2)O)C(=O)O
MCOLN2	PJGPBMSNEAIYOH-UHFFFAOYSA-N	7.6	0.013565884631799254	0.011	0.6989392678868552	C1C(N2C(=NNC2=S)C1=O)C(=O)NC3=CC=CC=C3
MCOLN2	RPZKGAKKVJTKEW-UHFFFAOYSA-N	65.1	0.013367457045748144	0.007	0.6437387116195064	CC(C)C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)OC(=O)C=C3
MCOLN2	BZEWSEKUUPWQDQ-UHFFFAOYSA-N	31.25	0.013305292810535678	0.004	0.5710280373831775	CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2
MCOLN2	HTFBQOOCCCCUIM-UHFFFAOYSA-N	39.57	0.012982749249943543	0.016	0.755954222084751	CC1=CC=C(C=C1)C2=C3N=C(C=C(N3N=C2C)NCC4=CN=CC=C4)C
MCOLN2	GCEWJBIDLIIRAB-UHFFFAOYSA-N	71.43	0.0126976431462741	0.012	0.7154566744730679	COC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)OC
MCOLN2	GDJHGJSTQODXMC-UHFFFAOYSA-N	75.1	0.012571620559325956	0.01	0.6843637992831542	CC1=CC=CC2=C1OC(=CC2=O)C3=CC=C(C=C3)OC
