target_id	inchikey	dose	spearman_rho	emp_p	q	smiles
TRPM6	AZNNBONKLSEZOT-UHFFFAOYSA-N	175	0.0505386541284738	0.0	0.0	CC1=CC(=CC=C1)N=C2C(=CC3=C(O2)C(=CC=C3)OC)C4=NC5=CC=CC=C5N4
TRPM6	ITQPFPYKSRDMMS-UHFFFAOYSA-N	200	0.04964951360868892	0.001	0.3182291666666667	CCC1=CC=CC=C1NC(=O)C2=NC=CN=C2
TRPM6	KOAZNFCSOAOVEQ-GHXNOFRVSA-N	75.7	0.04698208108630129	0.001	0.3182291666666667	CC(=NNC1=CC=C(C=C1)Cl)C(=O)C
TRPM6	WIRIXRABFXLVKO-UHFFFAOYSA-N	96.38	0.04525908390495031	0.001	0.3182291666666667	C1=CC=C2C(=C1)N=C(S2)SCCN.Br
TRPM6	JCCNYMKQOSZNPW-UHFFFAOYSA-N	26.9	0.04468213485596667	0.001	0.3182291666666667	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
TRPM6	NIOHELZQFBGCEO-UHFFFAOYSA-N	164	0.0446465312462558	0.002	0.4539375928677563	C1=CC=C(C=C1)NC(=NC(=O)C2=C(N=C(C(=N2)Cl)N)N)N
TRPM6	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	0.04434689020706847	0.0	0.0	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
TRPM6	MJPNDTUCRKKJRX-UHFFFAOYSA-N	46.7	0.04126149230450813	0.001	0.3182291666666667	COC1=CC=C(C=C1)NC2=NC3=CC=CC4=C3C2=CC=C4
TRPM6	OYVFYPVPBFPXSU-UHFFFAOYSA-N	200	0.04096653489869688	0.002	0.4539375928677563	C1=CC(=O)C=CC1=C2NC3=C(O2)C=CC(=C3)N
TRPM6	CJVRMJIOBJQEAV-UHFFFAOYSA-N	114	0.04081044662813897	0.002	0.4539375928677563	CC1=CC=C(C=C1)C23CC4CC(C2)CC(C4)(C3)C(=O)N5CCOCC5
TRPM6	HLOFUIOHRMXBMA-UHFFFAOYSA-N	76	0.04027878119650894	0.003	0.5273302646720368	CC(C)C(=O)N1CCN(CC1)C2=CC=C(C=C2)F
TRPM6	YHXZJZATPFHLGR-SNAWJCMRSA-N	64.1	0.03984741073790704	0.001	0.3182291666666667	C1=CN=C(N=C1)NC(=O)C=CC2=CC=CS2
TRPM6	FHGIYKZDHZKFAJ-UHFFFAOYSA-N	48.3	0.03957152483261608	0.005	0.6018518518518519	CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)C3=CC4=CC=CC=C4OC3=O)C)[N+](=O)[O-]
TRPM6	TTXYDMVOVAJTCI-UHFFFAOYSA-N	114	0.0394324681191923	0.001	0.3182291666666667	C1=CC(=CC=C1C2=CN3C=CSC3=N2)Cl
TRPM6	BTUNIUUBPAXJCE-UHFFFAOYSA-N	28.1	0.03848729425973894	0.007	0.6437387116195064	COC1=C(C=CC(=C1)C2CC(=C3C=C(C=CC3=O)Cl)NN2)O
