strains=5668 non-vehicle conditions=3356
ADGRA3: task strains=60/67
ADGRG7: task strains=66/67
ADGRL3: task strains=67/67
ADGRV1: task strains=63/67
C5AR1: task strains=64/67
CACNB1: task strains=66/67
CACNB2: task strains=66/67
CATSPER2: task strains=53/67
CHRNA7: task strains=64/67
CLDN4: task strains=65/67
CLIC4: task strains=67/67
CNGA1: task strains=67/67
CXCR4: task strains=66/67
FZD6: task strains=67/67
GABRB2: task strains=63/67
GABRB3: task strains=63/67
GPR135: task strains=49/67
GPR157: task strains=62/67
GPR39: task strains=52/67
GPRC5C: task strains=65/67
GRIK2: task strains=66/67
HRH1: task strains=55/67
KCND3: task strains=67/67
KCNG3: task strains=66/67
KCNQ5: task strains=51/67
KCNS3: task strains=65/67
LGR4: task strains=48/67
LPAR3: task strains=56/67
LRRC8A: task strains=60/67
LRRC8B: task strains=61/67
MCOLN2: task strains=61/67
MFSD8: task strains=63/67
OPN3: task strains=58/67
OR2T12: task strains=63/67
SCN9A: task strains=65/67
SCNN1A: task strains=59/67
SCNN1B: task strains=60/67
SLC26A6: task strains=65/67
TMEM175: task strains=58/67
TMEM38A: task strains=60/67
TMEM87A: task strains=59/67
TPCN1: task strains=60/67
TRPA1: task strains=65/67
TRPC1: task strains=59/67
TRPC6: task strains=64/67
TRPM4: task strains=61/67
TRPM6: task strains=52/67
{"n_targets": 47, "n_compounds": 3250, "n_pairs": 152750, "n_pairs_q_below_alpha": 268, "task_top_k": 67, "n_perm": 1000, "seed": 42, "statistic": "standardized mean |z| of task strains vs per-target empirical null"}
[done] -> /public/home/mengxl/dzy/yeastbridge_re/product/execute_hiphop/results
