rank	yeast_gene	cosine
1	YDL192W	0.94072
2	YDL137W	0.93979
3	YBR164C	0.93417
4	YLR229C	0.93345
5	YKR059W	0.93303
6	YFL039C	0.93253
7	YDR345C	0.93181
8	YBR241C	0.9313
9	YHR092C	0.92937
10	YPR165W	0.9281
11	YHR094C	0.928
12	YPL218W	0.92638
13	YDR343C	0.92633
14	YDR342C	0.92597
15	YJL214W	0.92485
16	YDL047W	0.92414
17	YOR378W	0.92389
18	YMR011W	0.92377
19	YLR081W	0.92307
20	YPL203W	0.92251
21	YJL108C	0.92224
22	YOR094W	0.92172
23	YGL256W	0.92166
24	YHR096C	0.92151
25	YDL245C	0.92089
26	YJR158W	0.92057
27	YHL047C	0.92031
28	YIL170W	0.92031
29	YFL011W	0.92029
30	YNL090W	0.92016
31	YKL190W	0.91989
32	YOL156W	0.91821
33	YNL189W	0.9181
34	YPR183W	0.91789
35	YNR072W	0.91759
36	YDL006W	0.9175
37	YKL024C	0.91737
38	YGL225W	0.91735
39	YEL069C	0.91712
40	YGL255W	0.91667
41	YKR039W	0.91618
42	YGL008C	0.91611
43	YPL036W	0.91587
44	YJL219W	0.91565
45	YJL164C	0.91479
46	YER072W	0.91464
47	YBR160W	0.91414
48	YDR373W	0.91352
49	YMR034C	0.91297
50	YPR192W	0.91291
51	YHL040C	0.91256
52	YER009W	0.91201
53	YLR113W	0.91195
54	YDR075W	0.91086
55	YER060W-A	0.91039
56	YFL038C	0.91023
57	YDR021W	0.90971
58	YMR079W	0.90938
59	YPR182W	0.90892
60	YFL055W	0.90877
61	YBL016W	0.90858
62	YDL126C	0.90817
63	YNL268W	0.90789
64	YDL134C	0.90783
65	YOR257W	0.90779
66	YDR155C	0.90711
67	YER039C	0.90704
68	YNL209W	0.90686
69	YJL167W	0.90676
70	YDL229W	0.9065
71	YER133W	0.90639
72	YML018C	0.90611
73	YER060W	0.90594
74	YEL063C	0.90583
75	YDR536W	0.90548
76	YPL058C	0.90543
77	YJR065C	0.90535
78	YKL218C	0.90527
79	YMR246W	0.90501
80	YCR010C	0.90479
81	YMR109W	0.90464
82	YPL266W	0.90462
83	YDL108W	0.90449
84	YOR089C	0.90441
85	YBR109C	0.9041
86	YER056C	0.90408
87	YMR290C	0.90388
88	YHL016C	0.90386
89	YER031C	0.90331
90	YNL290W	0.90319
91	YNL112W	0.90243
92	YGL210W	0.90241
93	YMR015C	0.90226
94	YDL166C	0.90219
95	YBL075C	0.90186
96	YNL142W	0.90171
97	YPL234C	0.90142
98	YBR082C	0.9014
99	YGR123C	0.90129
100	YPL031C	0.90126
101	YPR138C	0.90118
102	YNL270C	0.90105
103	YCR098C	0.901
104	YDR040C	0.90079
105	YBR187W	0.90073
106	YHR128W	0.90059
107	YAL005C	0.90053
108	YER177W	0.90041
109	YLL024C	0.9003
110	YEL027W	0.90029
111	YOL094C	0.90029
112	YGL001C	0.90027
113	YOR153W	0.89994
114	YPL061W	0.89952
115	YOR348C	0.89944
116	YOR046C	0.89938
117	YNL135C	0.89937
118	YBR261C	0.89895
119	YDR039C	0.8987
120	YKL196C	0.89864
121	YPR113W	0.89839
122	YDL055C	0.89829
123	YER103W	0.89823
124	YDR059C	0.89807
125	YOL158C	0.89805
126	YMR279C	0.898
127	YML001W	0.89799
128	YPL051W	0.8978
129	YDL084W	0.89767
130	YLR234W	0.89753
131	YJL034W	0.8973
132	YBL026W	0.89726
133	YLL050C	0.89709
134	YML123C	0.89702
135	YDL168W	0.89696
136	YER119C	0.89681
137	YLR347C	0.89676
138	YAL038W	0.89669
139	YNR002C	0.89658
140	YJL001W	0.89657
141	YDR129C	0.89655
142	YDR406W	0.89654
143	YDR038C	0.89643
144	YLL053C	0.89614
145	YML012W	0.89612
146	YHR030C	0.89611
147	YGR252W	0.89607
148	YHR106W	0.89593
149	YOR204W	0.89591
150	YEL066W	0.89584
151	YNL010W	0.89579
152	YKL129C	0.89564
153	YBL030C	0.89559
154	YGL253W	0.89551
155	YLL028W	0.89545
156	YGR040W	0.89542
157	YGR121C	0.89502
158	YDR353W	0.89501
159	YOR061W	0.89487
160	YDL128W	0.89482
161	YGR191W	0.89462
162	YDR519W	0.89459
163	YJL213W	0.89448
164	YCL025C	0.89442
165	YGL167C	0.89441
166	YKL166C	0.8944
167	YFL045C	0.8944
168	YOR161C	0.89432
169	YPR173C	0.8943
170	YER020W	0.89395
171	YGR105W	0.8937
172	YJR105W	0.89366
173	YOR185C	0.89361
174	YDR196C	0.89358
175	YGR282C	0.89357
176	YER125W	0.89349
177	YDR046C	0.89335
178	YFL005W	0.89323
179	YHR057C	0.89322
180	YHR218W-A	0.89319
181	YBL112C	0.89319
182	YDR404C	0.89317
183	YGR218W	0.89305
184	YJL050W	0.89302
185	YNL098C	0.89294
186	YKL033W-A	0.89269
187	YDR099W	0.89265
