rank	yeast_gene	cosine
1	YDL192W	0.93384
2	YLR229C	0.9328
3	YFL039C	0.92973
4	YPR165W	0.9277
5	YKR059W	0.9264
6	YDL137W	0.92323
7	YER072W	0.92184
8	YGL008C	0.91571
9	YPL036W	0.91254
10	YDR345C	0.9113
11	YEL027W	0.91032
12	YPL218W	0.91032
13	YBR164C	0.90994
14	YGL256W	0.90987
15	YDR343C	0.90982
16	YHR092C	0.90971
17	YDL229W	0.90862
18	YDR342C	0.90847
19	YNL209W	0.90689
20	YOR378W	0.90682
21	YER009W	0.90553
22	YLL024C	0.90407
23	YPL266W	0.90399
24	YKL190W	0.90366
25	YPR182W	0.90289
26	YNL135C	0.90156
27	YNR032C-A	0.90041
28	YAL005C	0.8996
29	YEL026W	0.89933
30	YHR094C	0.89918
31	YER103W	0.89844
32	YGL255W	0.89836
33	YGL225W	0.89815
34	YNL189W	0.89781
35	YDR155C	0.89755
36	YHR096C	0.89745
37	YDL126C	0.8974
38	YER177W	0.89692
39	YMR011W	0.89656
40	YJR065C	0.89624
41	YJL108C	0.89589
42	YLR081W	0.8953
43	YLL050C	0.89529
44	YBL030C	0.89416
45	YLR147C	0.89415
46	YDL047W	0.89369
47	YJL214W	0.89344
48	YAL038W	0.8929
49	YFL066C	0.89288
50	YPL203W	0.89276
51	YIL148W	0.89203
52	YKR094C	0.89203
53	YOR094W	0.89196
54	YDL055C	0.89181
55	YKL024C	0.89165
56	YDL245C	0.89164
57	YBL075C	0.89141
58	YNL006W	0.89123
59	YBL026W	0.89114
60	YJR158W	0.89088
61	YBR241C	0.89063
62	YKL218C	0.89061
63	YNL090W	0.89016
64	YOL086C	0.88992
65	YOR046C	0.88988
66	YLR113W	0.88981
67	YBR109C	0.88978
68	YDL084W	0.88962
69	YOR122C	0.88916
70	YFL011W	0.88892
71	YJR159W	0.88867
72	YDL006W	0.8885
73	YKL196C	0.88835
74	YAL064C-A	0.88815
75	YDR353W	0.88787
76	YLR293C	0.88755
77	YDR129C	0.88734
78	YMR290C	0.88728
79	YDL246C	0.88693
80	YJL034W	0.88669
81	YIL170W	0.8865
82	YOL156W	0.88638
83	YDR021W	0.88632
