rank	yeast_gene	cosine
1	YER119C	0.94487
2	YPL264C	0.94447
3	YOL103W	0.94241
4	YHR032W	0.94193
5	YBR241C	0.94185
6	YIL121W	0.94034
7	YNR055C	0.93972
8	YIL120W	0.93837
9	YBR043C	0.9376
10	YKR105C	0.93648
11	YDL128W	0.93606
12	YIL088C	0.9345
13	YDR497C	0.9341
14	YOL075C	0.93345
15	YBR287W	0.93318
16	YML018C	0.93293
17	YJR001W	0.93198
18	YPL246C	0.93187
19	YGR224W	0.93156
20	YOR273C	0.93125
21	YBR008C	0.93087
22	YJR124C	0.93083
23	YNL275W	0.92975
24	YCR028C	0.92956
25	YDR135C	0.92954
26	YER026C	0.92952
27	YDR438W	0.92899
28	YEL064C	0.92869
29	YBR180W	0.92866
30	YKR053C	0.92838
31	YER039C	0.9283
32	YCL069W	0.92826
33	YGR138C	0.92821
34	YMR080C	0.92729
35	YMR034C	0.92694
36	YDR536W	0.9268
37	YLL028W	0.92645
38	YDR040C	0.9262
39	YOR292C	0.92594
40	YDR038C	0.92594
41	YJL134W	0.92544
42	YDR039C	0.92515
43	YPL031C	0.92436
44	YMR221C	0.92393
45	YHL003C	0.92367
46	YHR132C	0.92326
47	YFL011W	0.92295
48	YIL170W	0.92278
49	YNR072W	0.92267
50	YLR466W	0.92252
51	YBR243C	0.92238
52	YLR034C	0.92234
53	YOL163W	0.92229
54	YCL025C	0.92211
55	YGR055W	0.92211
56	YDR402C	0.92211
57	YKL166C	0.92178
58	YNL095C	0.92169
59	YJL219W	0.92165
60	YBL089W	0.92142
61	YGL104C	0.92137
62	YJL214W	0.92133
63	YCR048W	0.92123
64	YOR257W	0.92117
65	YEL069C	0.92116
66	YHR135C	0.92114
67	YPR156C	0.92104
68	YDR196C	0.92095
69	YNL065W	0.92061
70	YBR235W	0.92037
71	YHR030C	0.92029
72	YHR094C	0.92022
73	YLR081W	0.92009
74	YDR508C	0.91979
75	YOL156W	0.91968
76	YLR241W	0.91965
77	YMR015C	0.91962
78	YGL006W	0.91955
79	YER190W	0.91947
80	YNL125C	0.91944
81	YGR152C	0.91937
82	YGR281W	0.91935
83	YPL244C	0.91868
84	YBL105C	0.9186
85	YHR218W	0.91857
86	YIL048W	0.91848
87	YGL167C	0.91844
88	YOL162W	0.91837
89	YDL052C	0.91837
90	YER019W	0.91827
91	YHL036W	0.91814
92	YHR048W	0.9179
93	YHR026W	0.91782
94	YER133W	0.91773
95	YLL055W	0.91763
96	YKL146W	0.91763
97	YNL093W	0.91758
98	YOL122C	0.91755
99	YML038C	0.91742
100	YDL245C	0.91737
101	YCL073C	0.91727
102	YEL077C	0.91726
103	YKR106W	0.91726
104	YAL067C	0.9172
105	YHR005C	0.91706
106	YDR456W	0.91671
107	YFL055W	0.91663
108	YMR011W	0.91651
109	YJR158W	0.91645
110	YDL006W	0.91636
111	YJR116W	0.91633
112	YOR380W	0.91617
113	YJL225C	0.91612
114	YGR065C	0.9161
115	YIL177C	0.91609
116	YCR098C	0.91582
117	YOL132W	0.91576
118	YGR191W	0.91543
119	YER090W	0.91537
120	YHL040C	0.91534
121	YOL137W	0.91524
122	YPL203W	0.91514
123	YPR003C	0.91504
124	YNL154C	0.91496
125	YOR049C	0.91493
126	YMR301C	0.91489
127	YDR375C	0.91476
128	YOR396W	0.91473
129	YLR467W	0.91473
130	YDR545W	0.91473
131	YPL092W	0.91453
132	YOR079C	0.91444
133	YOR092W	0.91443
134	YOL002C	0.91427
135	YPL204W	0.91418
136	YKL008C	0.91417
137	YMR253C	0.91415
138	YOL020W	0.91411
139	YPL221W	0.91376
140	YDL160C	0.91372
141	YGR028W	0.91357
142	YOL119C	0.91352
143	YEL065W	0.91352
144	YGL047W	0.91327
145	YHL047C	0.91321
146	YAL026C	0.9132
147	YIR028W	0.91317
148	YMR279C	0.91317
149	YHR050W	0.91313
150	YLR426W	0.91309
151	YER125W	0.91307
152	YNR019W	0.91305
153	YHR175W	0.91303
154	YLR004C	0.913
155	YBR069C	0.91297
156	YML123C	0.91292
157	YPL006W	0.91287
158	YNL339C	0.91279
159	YPL283C	0.91254
160	YGR296W	0.91251
161	YGL186C	0.91245
162	YHR205W	0.91241
163	YLL067C	0.91235
164	YNL270C	0.91206
165	YPR198W	0.91202
166	YOR306C	0.91195
167	YML133C	0.91195
168	YPR183W	0.9119
169	YGR040W	0.91186
170	YCR023C	0.91179
171	YJL196C	0.91177
172	YKR014C	0.91177
173	YGR197C	0.91176
174	YHR096C	0.91173
175	YJL164C	0.91172
176	YLL061W	0.91171
177	YOL092W	0.9116
178	YGR260W	0.91141
179	YOR087W	0.9113
180	YLR137W	0.91109
181	YJL093C	0.91106
182	YDR345C	0.91098
183	YHR092C	0.91073
184	YAL022C	0.91069
185	YKR088C	0.91068
186	YLL066C	0.91062
187	YJR040W	0.9106
188	YJR015W	0.91052
189	YGL139W	0.91049
190	YML116W	0.91033
191	YDR090C	0.91033
192	YPL274W	0.91029
193	YLR188W	0.91026
194	YBR220C	0.91019
195	YBR068C	0.91012
196	YOR326W	0.91009
197	YMR138W	0.91005
198	YOR351C	0.91004
199	YBR080C	0.91001
200	YDL194W	0.90981
201	YIL118W	0.9098
202	YBL111C	0.90972
203	YNL130C	0.90972
204	YDL057W	0.90931
205	YER145C	0.90914
206	YDR046C	0.90908
207	YPL153C	0.90905
208	YJR152W	0.90899
209	YBR295W	0.90893
210	YKR051W	0.90888
211	YOL065C	0.90881
212	YFL026W	0.90875
213	YOL158C	0.9087
214	YDR021W	0.90862
215	YBR187W	0.9086
216	YCR061W	0.90859
217	YDL138W	0.90857
218	YFL038C	0.90829
219	YNR013C	0.90819
220	YLR213C	0.90819
221	YBR021W	0.90813
222	YLR152C	0.90808
223	YAL053W	0.908
224	YKL126W	0.9078
225	YDL188C	0.90778
226	YLR113W	0.90766
227	YAR018C	0.90742
228	YNL268W	0.90734
229	YKL039W	0.90733
230	YCR011C	0.90722
231	YIL166C	0.90708
232	YKR001C	0.90699
233	YPR011C	0.90699
234	YCR009C	0.90688
235	YDL210W	0.9068
236	YER089C	0.9067
237	YOR316C	0.90628
238	YBL040C	0.90628
239	YPR128C	0.90625
240	YOR101W	0.90624
241	YDR074W	0.90621
242	YKR050W	0.90614
243	YDL134C	0.906
244	YOR013W	0.90587
245	YNL194C	0.90575
246	YMR288W	0.90574
247	YGL012W	0.90573
248	YGR036C	0.90572
249	YER185W	0.90566
250	YKR093W	0.90565
251	YOR175C	0.9055
252	YCR027C	0.90544
253	YLR262C	0.90543
254	YER020W	0.90541
255	YBL082C	0.90541
256	YFR028C	0.90537
257	YLR251W	0.90522
258	YDL001W	0.90516
259	YDL108W	0.90504
260	YNR057C	0.90504
261	YHR123W	0.90502
262	YEL063C	0.90498
263	YKL209C	0.90478
264	YDR342C	0.90471
265	YPR113W	0.9047
266	YGL225W	0.90453
267	YPL175W	0.90451
268	YPL236C	0.90439
269	YDR338C	0.90414
270	YKL104C	0.90394
271	YGL087C	0.90388
272	YBR164C	0.90387
273	YOR131C	0.90383
274	YDR411C	0.90379
275	YHL017W	0.90372
276	YJL059W	0.90367
277	YLR092W	0.90365
278	YDR328C	0.90358
279	YPR201W	0.90354
280	YLR397C	0.9035
281	YOL008W	0.90347
282	YNL090W	0.9034
283	YBL042C	0.9034
284	YKL027W	0.90332
285	YBR160W	0.90329
286	YOR246C	0.90328
287	YGR124W	0.90323
288	YDR343C	0.90323
289	YAR035W	0.90322
290	YKL107W	0.90319
291	YDR331W	0.90318
292	YIR026C	0.90311
293	YEL031W	0.90307
294	YOL073C	0.90294
295	YMR243C	0.90292
296	YPL265W	0.90289
297	YDR264C	0.90285
298	YNL321W	0.90273
299	YBR294W	0.90265
300	YOR301W	0.90264
301	YGL077C	0.90258
302	YAL016W	0.90249
303	YPL218W	0.90247
304	YKL017C	0.90246
305	YPR194C	0.90233
306	YDR352W	0.90229
307	YBR029C	0.90226
308	YNL021W	0.90226
309	YDR477W	0.90193
310	YBL016W	0.90189
311	YNR032W	0.90185
312	YDR140W	0.90182
313	YOR192C	0.90176
314	YJL094C	0.9016
315	YMR058W	0.90149
316	YOR348C	0.9014
317	YGR213C	0.90139
318	YOR084W	0.90137
319	YKL221W	0.90134
320	YOR311C	0.9013
321	YNL044W	0.90128
322	YMR155W	0.90128
323	YJR095W	0.90123
324	YLR307W	0.90114
325	YGR092W	0.90113
326	YKR055W	0.90106
327	YJR013W	0.90099
328	YMR271C	0.90091
329	YLL001W	0.9009
330	YLR046C	0.90089
331	YOL090W	0.90083
332	YGR125W	0.90062
333	YPR204W	0.9006
334	YLL063C	0.90054
335	YJR112W-A	0.90049
336	YPL208W	0.90046
337	YDL222C	0.90044
338	YBR214W	0.90033
339	YOL034W	0.90031
340	YBR073W	0.9003
341	YNL024C	0.90015
342	YMR109W	0.90011
343	YPL051W	0.90006
344	YNL083W	0.90004
345	YGL140C	0.90002
346	YPL050C	0.89998
347	YOR381W	0.89991
348	YNL288W	0.89989
349	YHR031C	0.89986
350	YDR270W	0.8997
351	YNL161W	0.89966
352	YMR071C	0.89958
353	YDR284C	0.89946
354	YDL018C	0.89944
355	YNL290W	0.89937
356	YCL074W	0.89931
357	YDR292C	0.89929
358	YMR088C	0.89929
359	YNR060W	0.89922
360	YDL201W	0.89906
361	YOR094W	0.89904
362	YLR130C	0.89904
363	YPL119C	0.899
364	Q0120	0.89899
365	YOL068C	0.89899
366	YGL002W	0.89891
367	YNL237W	0.89886
368	YOR011W	0.89885
369	Q0085	0.89882
370	YGR060W	0.89882
371	YOR071C	0.89877
372	YMR104C	0.89853
373	YNL307C	0.89845
374	YNL229C	0.8984
375	YBR132C	0.89827
376	YOR089C	0.89824
377	YJL198W	0.8982
378	YNL305C	0.89818
379	YDR492W	0.89814
380	YLR372W	0.89813
381	YHR025W	0.89812
382	YHR007C	0.89809
383	YPR180W	0.89798
384	YIL013C	0.8979
385	YFR031C	0.89781
386	YBR264C	0.89774
387	YLR268W	0.89774
388	YDL007W	0.8977
389	YLR253W	0.89767
390	YML064C	0.89749
391	YIR022W	0.89743
392	YDR387C	0.8973
393	YNR070W	0.89728
394	YLR005W	0.89727
395	YOR317W	0.89721
396	YER183C	0.89721
397	YHR110W	0.89719
398	YOR390W	0.89712
399	YMR306W	0.89708
400	YPR145W	0.89708
401	YOR384W	0.89705
402	YLR019W	0.89703
403	YEL060C	0.89684
404	YGR284C	0.89682
405	YHR190W	0.89682
406	YMR022W	0.89682
407	YIL047C	0.89677
408	YLL048C	0.89676
409	YLR383W	0.8967
410	YLL015W	0.89669
411	YNR011C	0.89669
412	YGL163C	0.89667
413	YPL259C	0.89666
414	YDR011W	0.89664
415	YNL098C	0.89663
416	YDL101C	0.89655
417	YHR142W	0.89653
418	YJL024C	0.89639
419	YJL128C	0.8963
420	YNR048W	0.8963
421	YEL041W	0.89626
422	YIL001W	0.8962
423	YOL113W	0.89614
424	YFL041W	0.8961
425	YOR378W	0.89606
426	YER166W	0.896
427	YPR111W	0.89599
428	YLR446W	0.89599
429	YER017C	0.89598
430	YMR089C	0.89596
431	YCR008W	0.89596
432	YBR254C	0.89589
433	YPL279C	0.89583
434	YOR155C	0.89579
435	YMR101C	0.89576
436	YBR034C	0.89562
437	YOL009C	0.89557
438	YML021C	0.89551
439	YDL155W	0.89548
440	YML077W	0.89537
441	YER013W	0.89528
