rank	yeast_gene	cosine
1	YDL137W	0.94227
2	YDL192W	0.94157
3	YBR241C	0.93744
4	YBR164C	0.93634
5	YKR059W	0.93169
6	YDR345C	0.93043
7	YPL218W	0.93032
8	YHR092C	0.92906
9	YKL190W	0.92757
10	YHR094C	0.92756
11	YLR229C	0.92681
12	YFL039C	0.92625
13	YOR094W	0.926
14	YJL214W	0.92534
15	YPR165W	0.92522
16	YDR343C	0.9252
17	YDR342C	0.92503
18	YDL047W	0.92465
19	YMR011W	0.92408
20	YDL006W	0.92403
21	YLR081W	0.92369
22	YHR096C	0.92311
23	YPL203W	0.92299
24	YGL225W	0.92147
25	YPR183W	0.92146
26	YDL245C	0.92135
27	YFL011W	0.92115
28	YJR158W	0.92082
29	YIL170W	0.92064
30	YJL108C	0.92061
31	YOL156W	0.91992
32	YMR034C	0.91977
33	YHL047C	0.91971
34	YNL090W	0.91916
35	YOR378W	0.91872
36	YNR072W	0.91837
37	YNL189W	0.91805
38	YGL255W	0.91804
39	YJL164C	0.91794
40	YEL069C	0.9179
41	YDR373W	0.91779
42	YKR039W	0.91761
43	YJL219W	0.91753
44	YKL024C	0.91722
45	YFL038C	0.9167
46	YER072W	0.9166
47	YPL036W	0.91631
48	YML018C	0.91557
49	YGL008C	0.91555
50	YER039C	0.91546
51	YFL055W	0.91528
52	YGL256W	0.91471
53	YLR113W	0.91426
54	YOR257W	0.91329
55	YDR021W	0.91246
56	YDR075W	0.9124
57	YHL040C	0.91235
58	YPR192W	0.91214
59	YER009W	0.91179
60	YBR160W	0.91123
61	YDL134C	0.91122
62	YMR015C	0.91069
63	YER060W-A	0.91037
64	YPR182W	0.91005
65	YNL268W	0.90974
66	YER133W	0.90959
67	YOR089C	0.90957
68	YDL126C	0.90841
69	YDR536W	0.90836
70	YMR079W	0.90825
71	YDR040C	0.908
72	YEL063C	0.9077
73	YBR109C	0.9075
74	YBL016W	0.90718
75	YER031C	0.90712
76	YBR187W	0.90707
77	YGL210W	0.9069
78	YMR109W	0.90669
79	YPL058C	0.90662
80	YNL290W	0.90655
81	YCR010C	0.90652
82	YMR246W	0.90637
83	YDR039C	0.90626
84	YPR138C	0.90625
85	YER060W	0.90617
86	YPL051W	0.9057
87	YER119C	0.90558
88	YCR098C	0.90552
89	YPR204W	0.90538
90	YMR290C	0.90532
91	YNL142W	0.90511
92	YER056C	0.90508
93	YJL167W	0.90483
94	YER125W	0.90476
95	YNL112W	0.90474
96	YDL108W	0.90464
97	YBL112C	0.90461
98	YHR218W-A	0.90461
99	YDR038C	0.90421
100	YHL016C	0.90418
101	YDL166C	0.90394
102	YNL270C	0.9039
103	YJR065C	0.90379
104	YML001W	0.90377
105	YJL001W	0.90366
106	YPL031C	0.90348
107	YOR204W	0.90348
108	YPR113W	0.90217
109	YCL025C	0.90201
110	YER020W	0.90197
111	YNL209W	0.90188
112	YML012W	0.90183
113	YER177W	0.90169
114	YDL128W	0.90158
115	YPL266W	0.90144
116	YOR348C	0.90139
117	YDR046C	0.90132
118	YGR123C	0.9013
119	YHR030C	0.90124
120	YPL246C	0.90121
121	YDL229W	0.90117
122	YBR082C	0.90115
123	YHR128W	0.90115
124	YLR347C	0.90113
125	YMR279C	0.90102
126	YNR002C	0.90102
127	YOR046C	0.90102
128	YDR196C	0.90076
129	YOR161C	0.90062
130	YKL218C	0.90047
131	YGR121C	0.90037
132	YLR466W	0.90036
133	YGL001C	0.90034
134	YGR105W	0.90026
135	YGR191W	0.90025
136	YGR055W	0.9
137	YLL028W	0.89987
138	YFL005W	0.89983
139	YGR281W	0.89982
140	YOL158C	0.89973
141	YDR155C	0.89971
142	YOR153W	0.89966
143	YNL010W	0.89956
144	YPL234C	0.89931
