rank	yeast_gene	cosine
1	YER039C	0.95963
2	YEL013W	0.95739
3	YOR061W	0.95577
4	YHR128W	0.95522
5	YBR114W	0.95418
6	YOR378W	0.9538
7	YFL026W	0.95342
8	YOL094C	0.95293
9	YER081W	0.95206
10	YOR257W	0.95177
11	YKL146W	0.95139
12	YJR065C	0.95101
13	YIL074C	0.95084
14	YBL016W	0.95044
15	YML018C	0.95012
16	YDR021W	0.95002
17	YIL048W	0.94953
18	YDL001W	0.94793
19	YGL225W	0.94789
20	YER171W	0.94737
21	YLR113W	0.9473
22	YIL035C	0.94727
23	YGR252W	0.94674
24	YDL006W	0.94621
25	YGR040W	0.94615
26	YEL042W	0.94595
27	YNL191W	0.94557
28	YIL143C	0.94536
29	YDR091C	0.94483
30	YPR016C	0.94453
31	YEL065W	0.94417
32	YJR068W	0.94407
33	YLR229C	0.94379
34	YMR243C	0.94375
35	YNL290W	0.94322
36	YGL115W	0.9428
37	YLR328W	0.9428
38	YAL026C	0.94277
39	YER094C	0.94262
40	YER052C	0.94252
41	YDR536W	0.94194
42	YGR010W	0.94059
43	YKR059W	0.94013
44	YFL011W	0.94
45	YJR049C	0.93987
46	YEL031W	0.93974
47	YKL129C	0.9397
48	YER069W	0.93955
49	YML064C	0.93952
50	YBR294W	0.93945
51	YOR153W	0.93937
52	YLR092W	0.93905
53	YCL017C	0.93902
54	YMR109W	0.93895
55	YJL219W	0.93859
56	YKL166C	0.93836
57	YNL329C	0.93836
58	YER133W	0.9383
59	YNL006W	0.93817
60	YMR011W	0.93813
61	YDR406W	0.93779
62	YHR096C	0.9376
63	YEL069C	0.93759
64	YHL016C	0.9375
65	YPR165W	0.9374
66	YOR328W	0.93732
67	YIL170W	0.93722
68	YNR072W	0.93718
69	YLR081W	0.93705
70	YNL090W	0.93683
71	YOL156W	0.93679
72	YJL214W	0.93671
73	YPL050C	0.93666
74	YDR011W	0.93613
75	YPL086C	0.93607
76	YBL022C	0.93526
77	YOR326W	0.93513
78	YFL017W-A	0.93504
79	YHR007C	0.93503
80	YBR235W	0.935
81	YHR094C	0.93462
82	YBL026W	0.93417
83	YDR075W	0.93417
84	YJL164C	0.93406
85	YJL050W	0.93389
86	YLL063C	0.93385
87	YDL245C	0.93358
88	YKL104C	0.93352
89	YGL077C	0.93348
90	YCR098C	0.93335
91	YDR341C	0.93332
92	YHR092C	0.93313
93	YPL175W	0.93308
94	YDR001C	0.93288
95	YBR126C	0.93272
96	YBR043C	0.93263
97	YMR015C	0.9326
98	YER025W	0.9326
99	YBR160W	0.93259
100	YFL066C	0.93256
101	YPL204W	0.93255
102	YDR342C	0.93241
