rank	yeast_gene	cosine
1	YIL121W	0.97523
2	YER119C	0.9751
3	YKL146W	0.97485
4	YBR235W	0.97412
5	YJR124C	0.97396
6	YDR135C	0.97395
7	YML018C	0.97372
8	YIL120W	0.97341
9	YMR221C	0.97334
10	YJR001W	0.97302
11	YBR243C	0.97212
12	YOL122C	0.97211
13	YCR028C	0.97206
14	YNL095C	0.97198
15	YLR034C	0.97166
16	YDR196C	0.97133
17	YMR034C	0.97101
18	YHL003C	0.97085
19	YHR050W	0.97082
20	YPL175W	0.97067
21	YDR375C	0.97036
22	YHR032W	0.97027
23	YNL275W	0.97023
24	YEL064C	0.97017
25	YCL073C	0.96971
26	YKR053C	0.96957
27	YKR106W	0.96946
28	YNR055C	0.96944
29	YAL026C	0.96944
30	YGR197C	0.96931
31	YBR043C	0.96921
32	YPL221W	0.96872
33	YHL040C	0.96872
34	YIL048W	0.96856
35	YDL128W	0.96852
36	YER019W	0.96829
37	YER026C	0.9682
38	YGR040W	0.96817
39	YOL075C	0.968
40	YOR092W	0.96788
41	YPL031C	0.96778
42	YHR030C	0.96777
43	YER145C	0.96738
44	YNL125C	0.96718
45	YLR241W	0.96693
46	YGL139W	0.96653
47	YHL047C	0.96643
48	YHR132C	0.96632
49	YDR038C	0.96632
50	YPL244C	0.96612
51	YEL065W	0.96611
52	YIR028W	0.96604
53	YDR039C	0.96594
54	YKL166C	0.96577
55	YDL108W	0.96569
56	YPL006W	0.96563
57	YNL288W	0.96536
58	YDR040C	0.9653
59	YBR241C	0.96526
60	YOL162W	0.96525
61	YOR380W	0.96519
62	YJL134W	0.9651
63	YER171W	0.96506
64	YJR015W	0.96495
65	YBR220C	0.96476
66	YKL104C	0.96469
67	YGR055W	0.96446
68	YBR287W	0.96444
69	YEL031W	0.96435
70	YDR090C	0.96419
71	YPL264C	0.96411
72	YGR281W	0.96394
73	YER039C	0.96364
74	YDL001W	0.96358
75	YOL158C	0.96356
76	YGL167C	0.96346
77	YGL047W	0.96333
78	YDL052C	0.96322
79	YNL270C	0.9632
80	YBR021W	0.96319
81	YNR013C	0.96314
82	YIL088C	0.96311
83	YDR508C	0.96309
84	YPL246C	0.96304
85	YGR028W	0.96295
86	YLR152C	0.96281
87	YGR138C	0.96261
88	YCL025C	0.96248
89	YOR087W	0.96247
90	YBL016W	0.96246
91	YGR191W	0.96241
92	YOR273C	0.96237
93	YOL103W	0.96237
94	YLR268W	0.96223
95	YAL053W	0.9621
96	YKR050W	0.96208
97	YBR187W	0.962
98	YHR144C	0.96195
99	YDR011W	0.96185
100	YDR536W	0.96174
101	YMR080C	0.96165
102	YBR080C	0.96153
103	YOR326W	0.96147
104	YOL132W	0.96144
105	YLR005W	0.96142
106	YNR070W	0.9614
107	YOR328W	0.9614
108	YOL137W	0.96139
109	YGR065C	0.96137
110	YPR113W	0.96133
111	YGR152C	0.96132
112	YAL067C	0.96122
113	YAL023C	0.96117
114	YKL078W	0.96111
115	YNR048W	0.96099
116	YGL006W	0.96094
117	YPL236C	0.9609
118	YKR093W	0.96083
119	YLR397C	0.96073
120	YER125W	0.96058
121	YDR497C	0.96052
122	YMR301C	0.96046
123	YBL042C	0.96039
124	YJL198W	0.96035
125	YHL036W	0.96033
126	YBR160W	0.9603
127	YKL039W	0.96027
128	YGL186C	0.96025
129	YER090W	0.96014
130	YDR438W	0.95984
131	YNR019W	0.95984
132	YLL028W	0.95984
133	YPL204W	0.9598
134	YCR027C	0.95976
135	YPR003C	0.95973
136	YGL002W	0.95971
137	YMR279C	0.9597
138	YBR038W	0.95966
139	YLR130C	0.9596
140	YDR406W	0.95955
141	YLL055W	0.95942
142	YIR022W	0.95933
143	YBR029C	0.95926
144	YKL008C	0.95923
145	YLR092W	0.95921
146	YOL002C	0.95918
147	YJR152W	0.95915
148	YHR135C	0.95899
149	YKR026C	0.95897
150	YFR028C	0.95894
151	YOR257W	0.9589
152	YBR294W	0.95874
153	YHR190W	0.95874
154	YLR113W	0.95872
155	YDR074W	0.95869
156	YMR138W	0.95867
157	YDL057W	0.95857
158	YER020W	0.95851
159	YKL027W	0.95845
160	YJR040W	0.95843
161	YKR068C	0.95841
162	YPR051W	0.9583
163	YNL268W	0.95814
164	YPL265W	0.95802
165	YDL102W	0.95794
166	YCR048W	0.95791
167	YDR046C	0.95786
168	YEL041W	0.9578
169	YKR105C	0.9578
170	YKR051W	0.95778
171	YER089C	0.95765
172	YER133W	0.95761
173	YHR005C	0.9576
174	YJR049C	0.95754
175	YFL026W	0.95745
176	YBL105C	0.95744
