rank	yeast_gene	cosine
1	YFL026W	0.97208
2	YER039C	0.97168
3	YML018C	0.96828
4	YKL146W	0.96059
5	YEL065W	0.96
6	YIL048W	0.95947
7	YGL077C	0.95933
8	YBR043C	0.95682
9	YDR536W	0.9567
10	YMR243C	0.95668
11	YGL225W	0.95631
12	YOR378W	0.956
13	YMR221C	0.95557
14	YBR287W	0.95554
15	YIL088C	0.95535
16	YEL013W	0.95491
17	YBR132C	0.95484
18	YBR294W	0.95478
19	YBR235W	0.95455
20	YDL210W	0.95294
21	YLR092W	0.9529
22	YIL035C	0.95276
23	YML064C	0.95255
24	YEL064C	0.95189
25	YOR061W	0.95017
26	YEL069C	0.95011
27	YJL219W	0.94999
28	YNR072W	0.94985
29	YIL170W	0.94961
30	YHL036W	0.9496
31	YOR316C	0.9495
32	YLL063C	0.94937
33	YJR001W	0.94927
34	YNL125C	0.94922
35	YML116W	0.94884
36	YJL214W	0.9488
37	YFL011W	0.94848
38	YIL166C	0.9484
39	YCR098C	0.94836
40	YPL264C	0.94807
41	YLR152C	0.94797
42	YER119C	0.94764
43	YOL156W	0.94754
44	YNR013C	0.9474
45	YOL162W	0.94736
46	YNL270C	0.94706
47	YOR092W	0.94661
48	YPR003C	0.94638
49	YDR497C	0.94625
50	YHL016C	0.94622
51	YMR279C	0.94602
52	YGL115W	0.94594
53	YKR106W	0.94593
54	YCL073C	0.94575
55	YHR096C	0.9457
56	YER052C	0.9454
57	YLR081W	0.94522
58	YMR011W	0.94518
59	YHL040C	0.94518
60	YNL329C	0.94513
61	YLR034C	0.94501
62	YNL095C	0.94477
63	YIL121W	0.94466
64	YOR380W	0.94465
65	YDL245C	0.94448
66	YPL175W	0.94436
67	YFL055W	0.94426
68	YGR191W	0.9441
69	YIL074C	0.9441
70	YGR040W	0.94407
71	YPL265W	0.94383
72	YOL119C	0.94374
73	YJR158W	0.94365
74	YER081W	0.94341
75	YBR114W	0.94332
76	YIL120W	0.94322
77	YOR241W	0.94314
78	YHR094C	0.94306
79	YOL137W	0.94298
80	YDL006W	0.94296
81	YOL092W	0.94222
82	YHR050W	0.94214
83	YBL016W	0.94209
84	YDL138W	0.94183
85	YBR068C	0.94181
86	YLR130C	0.94179
87	YAL067C	0.94162
88	YPR138C	0.94161
89	YDL001W	0.9416
90	YOR306C	0.94143
91	YEL063C	0.94141
92	YGR055W	0.94106
93	YEL042W	0.94105
94	YPL050C	0.94089
95	YCR008W	0.94077
96	YOL122C	0.9407
97	YDR090C	0.94039
98	YEL031W	0.94025
99	YLR241W	0.9398
100	YLL061W	0.93977
101	YOL103W	0.93976
102	YPL274W	0.93964
