rank	yeast_gene	cosine
1	YDL137W	0.93959
2	YDL192W	0.9369
3	YBR241C	0.93679
4	YBR164C	0.93521
5	YDR345C	0.93225
6	YLR229C	0.93074
7	YHR094C	0.93058
8	YHR092C	0.9304
9	YKR059W	0.92877
10	YFL039C	0.9287
11	YPR165W	0.92866
12	YMR011W	0.92833
13	YJL214W	0.92779
14	YLR081W	0.92656
15	YDR342C	0.92652
16	YDR343C	0.92649
17	YIL170W	0.92587
18	YOR378W	0.92561
19	YHR096C	0.92511
20	YFL011W	0.92504
21	YDL006W	0.92454
22	YJL108C	0.92448
23	YDL047W	0.92442
24	YGL225W	0.9241
25	YPL218W	0.92319
26	YDL245C	0.92319
27	YOL156W	0.92292
28	YPL203W	0.92289
29	YOR094W	0.92279
30	YJR158W	0.9226
31	YNR072W	0.92194
32	YJL219W	0.9215
33	YEL069C	0.92133
34	YER039C	0.92061
35	YNL090W	0.92048
36	YPR183W	0.92018
37	YFL038C	0.91971
38	YJL164C	0.91871
39	YML018C	0.91808
40	YKR039W	0.91795
41	YKL190W	0.91778
42	YHL047C	0.91772
43	YMR034C	0.91737
44	YFL055W	0.91735
45	YKL024C	0.9163
46	YGL256W	0.91618
47	YER133W	0.91489
48	YER009W	0.91486
49	YOR257W	0.91448
50	YGL255W	0.91405
51	YDR075W	0.91391
52	YDR536W	0.91359
53	YDL134C	0.91359
54	YLR113W	0.91358
55	YNL189W	0.91345
56	YNL268W	0.91319
57	YHL040C	0.91293
58	YDR021W	0.91186
59	YPL036W	0.91178
60	YBR160W	0.91175
61	YEL063C	0.91127
62	YGL008C	0.91093
63	YDR373W	0.91059
64	YJL167W	0.90988
65	YER072W	0.90953
66	YBL016W	0.90883
67	YNL270C	0.90869
68	YER119C	0.90867
69	YER031C	0.90815
70	YER060W-A	0.90808
71	YDR040C	0.90788
72	YMR079W	0.9074
73	YGL210W	0.90723
74	YDL128W	0.90708
75	YCR098C	0.90636
76	YMR109W	0.90635
77	YOR089C	0.90635
78	YPL264C	0.90632
79	YNL290W	0.90626
80	YPL031C	0.90625
81	YDR039C	0.90604
82	YBR082C	0.90582
83	YMR015C	0.90566
84	YBR187W	0.90525
85	YPR192W	0.90477
86	YER060W	0.90476
87	YMR246W	0.90456
88	YDR038C	0.90427
89	YER056C	0.90418
90	YJR065C	0.90414
91	YPR138C	0.90396
92	YHL016C	0.90389
93	YHR128W	0.90384
94	YCL025C	0.90378
95	YGL167C	0.90363
96	YKL218C	0.90327
97	YGR191W	0.90327
98	YDL108W	0.90285
99	YPL234C	0.90269
100	YOR348C	0.90261
101	YMR279C	0.90252
102	YKL166C	0.90232
103	YNL112W	0.90229
104	YOL094C	0.90229
105	YLL028W	0.9022
106	YML001W	0.90218
107	YPR182W	0.90215
108	YDR059C	0.90191
109	YBR109C	0.90175
110	YPL051W	0.90136
111	YDL126C	0.90108
112	YDR046C	0.90103
113	YER020W	0.90101
114	YNL142W	0.90092
115	YDR155C	0.90087
116	YMR290C	0.9008
117	YPL058C	0.90062
118	YFL005W	0.90041
119	YGR123C	0.9004
120	YDR196C	0.90024
121	YIL121W	0.9002
122	YER125W	0.90005
123	YCR010C	0.89996
124	YGL001C	0.89962
125	YML123C	0.89959
126	YDL188C	0.8995
127	YPR113W	0.89922
128	YOR153W	0.89872
129	YER177W	0.89864
130	YGR040W	0.89849
131	YHR030C	0.89835
132	YBL075C	0.89809
133	YGR055W	0.89784
134	YOL158C	0.89775
135	YPL266W	0.89773
136	YEL027W	0.89749
137	YGR282C	0.89738
138	YDR497C	0.89723
139	YOR204W	0.89721
140	YOR046C	0.89711
141	YDR406W	0.897
142	YAL026C	0.89697
143	YLR130C	0.89695
144	YDR519W	0.89692
145	YPL246C	0.89689
146	YLR347C	0.89671
147	YDL166C	0.89671
148	YNR002C	0.89668
149	YKL146W	0.89645
150	YKL129C	0.89641
151	YGR121C	0.89634
152	YJL001W	0.89608
153	YOR317W	0.89607
154	YGR252W	0.89605
155	YEL064C	0.89603
156	YPL061W	0.89594
157	YNL209W	0.8956
158	YGR138C	0.89557
159	YNL098C	0.89556
160	YLR034C	0.89552
161	YOR161C	0.8954
162	YDR099W	0.89536
163	YAL005C	0.89533
164	YHR007C	0.89501
165	YNL010W	0.89487
166	YHR106W	0.89481
167	YGR281W	0.89479
168	YER081W	0.89477
169	YLL050C	0.89453
170	YDL229W	0.89442
171	YOR197W	0.89438
172	YBR008C	0.89414
173	YKL196C	0.89378
174	YOR061W	0.89367
175	YML012W	0.89337
176	YHR057C	0.89331
177	YDR011W	0.89329
178	YNR055C	0.89326
179	YPR204W	0.89306
180	YLL024C	0.89286
181	YKL033W-A	0.89286
182	YOL075C	0.89241
183	YPR173C	0.89234
184	YER185W	0.89234
185	YDR129C	0.89223
186	YDR508C	0.89189
187	YNL135C	0.89181
188	YBL112C	0.89173
189	YHR218W-A	0.89173
