rank	yeast_gene	cosine
1	YER025W	0.97497
2	YLR175W	0.97094
3	YDR091C	0.96564
4	YNR053C	0.96478
5	YJR007W	0.96183
6	YGR252W	0.96162
7	YBR143C	0.96135
8	YPL266W	0.96076
9	YPL086C	0.95708
10	YPR016C	0.954
11	YBL026W	0.95246
12	YLL050C	0.95147
13	YNL006W	0.9508
14	YKL196C	0.95058
15	YIL143C	0.95032
16	YER148W	0.95012
17	YMR109W	0.94991
18	YER069W	0.94909
19	YDR339C	0.94894
20	YJR065C	0.94869
21	YDR099W	0.94808
22	YHR128W	0.94756
23	YNL244C	0.94753
24	YOR298C-A	0.94682
25	YOR327C	0.94678
26	YER177W	0.94658
27	YER081W	0.94587
28	YER007C-A	0.94527
29	YDR129C	0.94517
30	YER178W	0.94465
31	YKL129C	0.94461
32	YIL074C	0.94383
33	YOL094C	0.94358
34	YPL093W	0.94343
35	YLR359W	0.94325
36	YNL191W	0.94313
37	YJL050W	0.94278
38	YJL014W	0.94253
39	YEL026W	0.94243
40	YLL018C	0.94208
41	YFL066C	0.94176
42	YIL142W	0.94171
43	YJL026W	0.94125
44	YOR046C	0.94114
45	YNL290W	0.94112
46	YGR210C	0.94067
47	YBR154C	0.94057
48	YLR229C	0.94038
49	YAL030W	0.94033
50	YPR165W	0.93996
51	YPL129W	0.93937
52	YPR182W	0.93933
53	YOL133W	0.93897
54	YAL005C	0.93887
55	YPR033C	0.93882
56	YMR260C	0.93881
57	YDR341C	0.93878
58	YBR249C	0.93839
59	YOR204W	0.93798
60	YDR059C	0.93785
61	YFL039C	0.93778
62	YNL112W	0.93768
63	YOR257W	0.93764
64	YCL009C	0.93757
65	YPR052C	0.93737
66	YML069W	0.93692
67	YLR028C	0.93674
68	YEL027W	0.93653
69	YER171W	0.93584
70	YKR059W	0.93582
71	YLR113W	0.93547
72	YEL051W	0.93542
73	YKL218C	0.9354
74	YLL024C	0.93522
75	YDL208W	0.93508
76	YBR082C	0.93485
77	YDR002W	0.93397
78	YCL017C	0.9339
79	YBL075C	0.93381
80	YGL091C	0.93378
81	YMR120C	0.93356
82	YBR089C-A	0.93318
83	YPL237W	0.93284
84	YPL199C	0.93283
85	YNL189W	0.93278
86	YMR236W	0.93274
87	YEL034W	0.93274
88	YNL259C	0.93267
89	YJL012C	0.93267
90	YDL166C	0.93257
91	YGR185C	0.93244
92	YDR510W	0.9324
93	YDR023W	0.93226
94	YFL045C	0.93202
95	YER103W	0.93189
96	YBL022C	0.93164
97	YER055C	0.93149
98	YDR353W	0.93132
99	YOR004W	0.93125
100	YLR330W	0.93105
101	YJL190C	0.93083
102	YBL091C	0.93081
103	YPL119C	0.93051
104	YER072W	0.93048
105	YER107C	0.92999
106	YCR047C	0.92995
107	YPL220W	0.92988
108	YGL135W	0.92988
109	YIL078W	0.92964
110	YMR146C	0.92964
111	YBR121C	0.92961
112	YPR173C	0.92929
113	YOL021C	0.92917
114	YLR367W	0.92915
115	YDR454C	0.92904
116	YGL062W	0.92879
117	YHR200W	0.92862
118	YKR080W	0.92839
119	YKL117W	0.92834
120	YDR448W	0.92785
121	YOR027W	0.92784
122	YBL071W-A	0.92763
123	YGL011C	0.92762
124	YBR114W	0.92751
125	YDR232W	0.92735
126	YDR021W	0.92717
127	YJR068W	0.92716
128	YPL235W	0.92695
129	YLR355C	0.92683
130	YOR197W	0.92683
131	YMR290C	0.92662
132	YOR061W	0.92638
133	YKL148C	0.92634
134	YEL013W	0.92622
135	YGR132C	0.92613
136	YKL024C	0.92579
137	YBR218C	0.92548
138	YOL097C	0.92544
139	YKR002W	0.92521
140	YOR202W	0.925
141	YJL213W	0.92481
142	YLR172C	0.92478
143	YJL045W	0.9246
144	YPL036W	0.9245
145	YGR159C	0.9244
146	YHR106W	0.92439
147	YBR196C	0.92421
148	YML008C	0.92411
149	YHR208W	0.92374
150	YLR289W	0.92369
151	YPR110C	0.92367
152	YJL008C	0.92365
153	YNL113W	0.92361
154	YER094C	0.92356
155	YJR148W	0.92354
156	YLR200W	0.92348
157	YOR006C	0.92301
158	YBL024W	0.92272
159	YMR108W	0.9226
160	YER009W	0.92242
161	YNL132W	0.9221
162	YGL225W	0.92196
163	YKL210W	0.92193
164	YGR286C	0.92181
165	YML012W	0.92166
166	YBR106W	0.92158
167	YLR438W	0.92156
168	YCR057C	0.92153
169	YDR001C	0.92151
170	YGL008C	0.92149
171	YBL016W	0.9213
172	YGR211W	0.92105
173	YFL017W-A	0.92092
174	YGR229C	0.92083
175	YLR259C	0.92078
176	YOR270C	0.92071
177	YDL164C	0.92063
178	YCR009C	0.92063
179	YHR018C	0.92025
180	YDL168W	0.92015
181	YHR170W	0.92007
182	YPL106C	0.91993
183	YJR153W	0.91981
184	YGR231C	0.91972
185	YOR153W	0.91968
186	YNL104C	0.91963
187	YNL064C	0.91947
188	YKL152C	0.91929
189	YGL210W	0.91912
190	YHR148W	0.91909
191	YLR208W	0.91904
192	YNL209W	0.91885
193	YLR060W	0.91876
194	YOR323C	0.91874
195	YAR015W	0.91871
196	YPL028W	0.91859
197	YOL038W	0.91849
198	YJL034W	0.9184
199	YGL255W	0.9183
200	YKR042W	0.91825
201	YJR025C	0.91808
202	YNL241C	0.91801
203	YHR218W-A	0.91786
204	YBL112C	0.91786
205	YBR164C	0.91781
206	YDL140C	0.91779
207	YOR108W	0.91779
208	YER052C	0.91779
209	YDR238C	0.91778
210	YJR045C	0.91767
211	YBL030C	0.91766
212	YHR089C	0.91728
213	YER165W	0.91726
214	YHR070W	0.91718
215	YBL078C	0.91718
216	YJL108C	0.91715
217	YNL277W	0.91711
218	YER070W	0.917
219	YLR438C-A	0.91699
220	YKL146W	0.91693
221	YDL126C	0.91691
222	YEL021W	0.91689
223	YDL229W	0.91684
224	YLR375W	0.91682
225	YKL190W	0.91677
226	YMR079W	0.91675
227	YNL255C	0.91671
228	YER031C	0.9167
229	YFL026W	0.91667
230	YEL042W	0.91661
231	YOR159C	0.91658
232	YOR217W	0.91654
233	YJL164C	0.91649
234	YBR252W	0.91607
235	YHL016C	0.91594
236	YLR005W	0.91591
237	YBL041W	0.91586
238	YEL031W	0.91581
239	YIL010W	0.91571
240	YGR267C	0.91565
241	YML102W	0.91564
242	YOR157C	0.91564
243	YLR433C	0.91534
244	YGR218W	0.91526
245	YJL041W	0.9152
246	YOR168W	0.91514
247	YLR055C	0.91508
248	YLR304C	0.91508
249	YGL070C	0.91501
250	YLR328W	0.9149
251	YDR406W	0.91489
252	YJR047C	0.91485
253	YPR204W	0.91478
254	YGR085C	0.91473
255	YHR007C	0.91469
256	YDR037W	0.91459
257	YLR303W	0.91454
258	YPL259C	0.91453
259	YHR005C-A	0.91451
260	YDL102W	0.91432
261	YMR303C	0.91405
262	YDR226W	0.91399
263	YDR158W	0.91394
264	YDR155C	0.91381
265	YML057W	0.91357
266	YPL212C	0.91351
267	YOL030W	0.91351
268	YJL167W	0.91343
269	YGL256W	0.91341
270	YLR044C	0.9134
271	YLR134W	0.91339
272	YPL094C	0.91338
273	YDL001W	0.91323
274	YPR041W	0.9132
275	YDL055C	0.91318
276	YBR169C	0.91317
277	YER012W	0.9131
278	YOL143C	0.91297
279	YKL002W	0.91294
280	YPL231W	0.91292
281	YNR003C	0.91252
282	YNL090W	0.9125
283	YNL138W	0.91249
284	YKL216W	0.91246
285	YIL020C	0.91241
286	YCR073W-A	0.91224
287	YOL086C	0.91207
288	YNL135C	0.9119
289	YMR246W	0.91186
290	YFR044C	0.91185
291	YLR167W	0.91181
292	YDL006W	0.91181
293	YDL100C	0.91176
294	YIL066C	0.91169
295	YLR234W	0.91161
296	YNR026C	0.91158
297	YHR074W	0.91139
