rank	yeast_gene	cosine
1	YER148W	0.96405
2	YJL014W	0.96177
3	YDR339C	0.96175
4	YBR154C	0.96043
5	YEL051W	0.9589
6	YIL143C	0.95819
7	YOR224C	0.95587
8	YGR210C	0.95574
9	YER072W	0.95571
10	YNR053C	0.95558
11	YPR182W	0.95546
12	YDL166C	0.95502
13	YGR231C	0.95398
14	YGL091C	0.95353
15	YPL266W	0.95326
16	YMR109W	0.95305
17	YGR252W	0.95199
18	YPL235W	0.95125
19	YLR234W	0.95107
20	YKL196C	0.95089
21	YGL008C	0.95083
22	YDL140C	0.9508
23	YGL062W	0.95063
24	YJL050W	0.95045
25	YHR170W	0.95012
26	YDR129C	0.95009
27	YDR091C	0.95
28	YJL030W	0.94967
29	YBL026W	0.94942
30	YPL093W	0.94926
31	YGR020C	0.94911
32	YGL120C	0.94873
33	YLR186W	0.9487
34	YBL078C	0.94837
35	YPL036W	0.94788
36	YBR218C	0.94772
37	YPL129W	0.94733
38	YML102W	0.94722
39	YKL129C	0.94718
40	YGL070C	0.94709
41	YHR200W	0.94706
42	YJL108C	0.94705
43	YBR143C	0.94659
44	YNL189W	0.94631
45	YKL190W	0.94612
46	YBL071W-A	0.9455
47	YMR300C	0.94534
48	YML012W	0.94514
49	YKR059W	0.94514
50	YCR047C	0.94509
51	YOR270C	0.94498
52	YPR204W	0.94487
53	YOL021C	0.94485
54	YDR023W	0.94484
55	YHR128W	0.94476
56	YKR002W	0.94462
57	YER171W	0.94442
58	YGR211W	0.94434
59	YOL038W	0.94419
60	YMR236W	0.94414
61	YOL143C	0.94394
62	YNL064C	0.94393
63	YOR046C	0.94389
64	YMR290C	0.94373
65	YKL013C	0.94372
66	YJR025C	0.94345
67	YDL014W	0.94325
68	YBR261C	0.94285
69	YMR230W	0.9423
70	YER007C-A	0.94224
71	YBL112C	0.94222
72	YHR218W-A	0.94222
73	YPR110C	0.94222
74	YBL091C	0.94212
75	YOR204W	0.9421
76	YML069W	0.94206
77	YOL097C	0.94196
78	YAR002C-A	0.9416
79	YER025W	0.94155
80	YLR289W	0.94152
81	YBR106W	0.94128
82	YEL034W	0.94116
83	YFL066C	0.94101
84	YDL126C	0.94094
85	YPR016C	0.94082
86	YOR293W	0.94073
87	YLR028C	0.94071
88	YGR218W	0.94062
89	YJL012C	0.94035
90	YJL026W	0.94028
91	YNL209W	0.94025
92	YJR007W	0.94025
93	YDL022W	0.94016
94	YJL034W	0.94009
95	YJL008C	0.94007
96	YPL245W	0.94001
97	YER177W	0.94001
98	YNL244C	0.93995
99	YGL011C	0.93984
100	YNL112W	0.93981
101	YGR267C	0.93976
102	YPR173C	0.93972
103	YIL078W	0.93968
104	YNL113W	0.93956
105	YML124C	0.93943
106	YDR238C	0.93931
107	YDL229W	0.93929
108	YER107C	0.93913
109	YHR018C	0.93904
110	YLR113W	0.93896
111	YLL018C	0.93866
112	YNL290W	0.93863
113	YBL075C	0.93851
114	YHR070W	0.93841
115	YMR260C	0.93836
116	YOL133W	0.93834
117	YML085C	0.93826
118	YHR148W	0.93792
119	YNL332W	0.93781
120	YFL058W	0.93773
121	YDR424C	0.93767
122	YDR190C	0.93742
123	YLR258W	0.9374
124	YJR156C	0.93735
125	YDL244W	0.93729
126	YNL241C	0.93725
127	YKL104C	0.93722
128	YEL077C	0.93722
129	YGR105W	0.93714
130	YDR099W	0.93707
131	YPR041W	0.93707
132	YOR151C	0.93687
133	YDR021W	0.93684
134	YLR229C	0.93674
135	YLR438C-A	0.93663
136	YOR257W	0.93661
137	YLR466W	0.93649
138	YDR341C	0.93636
139	YJL136C	0.93618
140	YDR185C	0.93602
141	YCR010C	0.93537
142	YAL005C	0.93535
143	YPR183W	0.93533
144	YNL014W	0.93525
145	YPL119C	0.93519
146	YNL191W	0.93517
147	YOR006C	0.93506
148	YER012W	0.93505
149	YOL005C	0.93487
150	YCL009C	0.93473
151	YDR158W	0.93469
152	YLR249W	0.93465
153	YHL016C	0.93462
154	YNL132W	0.93459
155	YER055C	0.93458
156	YPL106C	0.93447
157	YLL024C	0.9343
158	YJL111W	0.93416
159	YGL255W	0.93413
160	YML008C	0.93402
161	YER103W	0.93394
162	YGL256W	0.93384
163	YPL218W	0.93383
164	YNL330C	0.93363
165	YBR252W	0.93344
166	YDR510W	0.93334
167	YDR373W	0.93324
