rank	yeast_gene	cosine
1	YOR378W	0.96093
2	YGL225W	0.95928
3	YER039C	0.95557
4	YFL026W	0.95501
5	YEL013W	0.95226
6	YHR096C	0.94879
7	YMR011W	0.94736
8	YJL214W	0.94726
9	YIL170W	0.94608
10	YEL069C	0.94596
11	YDL245C	0.94545
12	YNR072W	0.945
13	YDR342C	0.94496
14	YJR065C	0.94476
15	YJR158W	0.94463
16	YDR343C	0.94449
17	YLR081W	0.94441
18	YFL011W	0.94436
19	YOL156W	0.94434
20	YML018C	0.94423
21	YJL219W	0.94422
22	YHR092C	0.94407
23	YGL255W	0.94287
24	YHL016C	0.94258
25	YHR094C	0.94252
26	YDR345C	0.94154
27	YDR536W	0.94102
28	YCR098C	0.94024
29	YIL074C	0.9401
30	YPR138C	0.93971
31	YOR061W	0.93909
32	YGR121C	0.93838
33	YFL055W	0.93788
34	YER081W	0.93746
35	YKR039W	0.93662
36	YDL006W	0.93595
37	YDL210W	0.93535
38	YNL006W	0.93535
39	YER052C	0.93401
40	YER069W	0.93367
41	YMR243C	0.93332
42	YKL146W	0.93315
43	YLR092W	0.9328
44	YFL066C	0.93269
45	YBR294W	0.9317
46	YEL042W	0.93144
47	YKR059W	0.93139
48	YEL065W	0.93133
49	YLR229C	0.9309
50	YHR128W	0.93067
51	YBR164C	0.92968
52	YEL063C	0.92948
53	YNL142W	0.92935
54	YMR015C	0.92934
55	YFL039C	0.9292
56	YHL040C	0.92909
57	YGL077C	0.92901
58	YCL017C	0.92879
59	YLR130C	0.9286
60	YHL047C	0.92841
61	YMR279C	0.92829
62	YPR165W	0.92788
63	YNL270C	0.92756
64	YNR026C	0.92723
65	YBL016W	0.92671
66	YDL137W	0.9263
67	YER056C	0.92627
68	YNL268W	0.92588
69	YOR153W	0.92553
70	YAL064C-A	0.92526
71	YML123C	0.92494
72	YPR016C	0.92493
73	YLR113W	0.92443
74	YDR021W	0.92441
75	YNR032C-A	0.92435
76	YHR007C	0.92434
77	YML001W	0.92433
78	YGR191W	0.92431
79	YEL031W	0.92425
80	YGL210W	0.92372
81	YPL036W	0.92337
82	YBR241C	0.92313
83	YER094C	0.92302
84	YER060W-A	0.92274
85	YNL090W	0.92259
86	YBR222C	0.9225
87	YNL290W	0.92186
88	YOL162W	0.92152
89	YDL192W	0.92128
90	YJR148W	0.92127
91	YBR085W	0.9211
92	YML116W	0.921
93	YJL213W	0.92078
94	YMR034C	0.92061
95	YDR001C	0.92053
96	YKL218C	0.92053
97	YOL094C	0.92051
98	YGR055W	0.92036
99	YER060W	0.92034
100	YJL001W	0.92011
101	YDR046C	0.91967
102	YER072W	0.91963
103	YOR094W	0.91944
104	YLL063C	0.91941
105	YDR011W	0.91909
106	YJL108C	0.91904
107	YBR298C	0.91892
108	YOR257W	0.91877
109	YNL191W	0.9186
110	YLR034C	0.91855
111	YMR146C	0.9185
112	YDR406W	0.91844
113	YBR132C	0.91827
114	YER031C	0.91796
115	YDR232W	0.91789
116	YBR296C	0.91769
117	YOR108W	0.91744
118	YGR040W	0.91716
119	YOR157C	0.91707
120	YEL064C	0.91686
121	YDR497C	0.91682
122	YNL104C	0.91664
123	YMR246W	0.91651
124	YBL030C	0.91647
125	YER119C	0.91602
126	YPL265W	0.9159
127	YIL048W	0.91589
128	YCL025C	0.91567
129	YMR108W	0.91549
130	YKL033W-A	0.91541
131	YDL168W	0.91522
132	YEL027W	0.91518
133	YGL008C	0.9148
134	YPL246C	0.91465
135	YPL276W	0.91457
136	YOR380W	0.91439
137	YDR099W	0.91436
138	YPL051W	0.91418
139	YOR270C	0.91416
140	YGL115W	0.91416
141	YGR132C	0.91402
142	YPL274W	0.91396
143	YPL086C	0.91395
144	YBL026W	0.91374
145	YBR068C	0.91374
146	YOL151W	0.91362
147	YGR252W	0.91349
148	YFL038C	0.91344
149	YDR129C	0.91335
150	YDL047W	0.91324
151	YOR328W	0.9131
152	YDR341C	0.91284
153	YKR080W	0.91281
154	YIL143C	0.91274
155	YBL041W	0.91273
156	YHL036W	0.91263
157	YPR176C	0.91246
158	YFL017W-A	0.91246
159	YAL026C	0.91234
160	YBR080C	0.91231
161	YIL009W	0.91214
162	YJR095W	0.91209
163	YER171W	0.91176
164	YNL125C	0.91158
165	YNR002C	0.91153
166	YDL001W	0.91148
167	YGL087C	0.91139
168	YBR287W	0.91139
169	YOL158C	0.91138
170	YIL035C	0.91138
171	YJR068W	0.91135
172	YMR303C	0.91131
173	YMR221C	0.9113
174	YDR091C	0.91117
175	YCR010C	0.91116
176	YHR208W	0.91104
177	YBR114W	0.91078
178	YER177W	0.91066
179	YGL011C	0.91053
180	YPL264C	0.91052
181	YIL020C	0.91044
182	YBR145W	0.91033
183	YIL088C	0.91026
184	YOR241W	0.91017
185	YHR050W	0.91015
186	YOL122C	0.90999
187	YGL001C	0.90998
188	YOR348C	0.90994
189	YDR090C	0.90991
190	YEL046C	0.90983
191	YMR056C	0.90981
192	YFL005W	0.90975
193	YAR062W	0.90961
194	YHR213W	0.90961
195	YJL050W	0.90961
196	YNL123W	0.90961
197	YCL073C	0.90954
198	YLR303W	0.90944
199	YKL190W	0.90939
200	YJR160C	0.90933
201	YJR153W	0.9093
202	YER009W	0.90923
203	YBR160W	0.90915
204	YDR075W	0.90903
205	YKR106W	0.90899
206	YBR286W	0.90896
207	YNL277W	0.90891
208	YOR317W	0.90883
209	YAL023C	0.90871
210	YKL129C	0.90866
211	YOR388C	0.90846
212	YLR420W	0.90842
213	YLR152C	0.90837
214	YOR092W	0.90817
215	YBR187W	0.90815
216	YLR237W	0.90801
217	YLL061W	0.90798
218	YBR235W	0.90798
219	YGR289C	0.90783
220	YJR077C	0.90754
221	YPL175W	0.90752
222	YBR001C	0.90741
223	YDR038C	0.90702
224	YOR347C	0.90697
225	YDR039C	0.90696
226	YBR126C	0.90691
227	YMR241W	0.90689
228	YJR156C	0.90672
229	YKL024C	0.90671
230	YPL058C	0.90657
231	YPR194C	0.90654
232	YFR044C	0.90644
233	YNR070W	0.90641
234	YGR060W	0.90639
235	YHR106W	0.90635
236	YFR047C	0.90628
237	YDL131W	0.90623
238	YJL198W	0.90617
239	YDL095W	0.90616
240	YGL091C	0.90612
241	YMR083W	0.90605
242	YIL121W	0.90605
243	YJL045W	0.90593
244	YHR218W	0.90588
245	YNL202W	0.90588
246	YPR173C	0.90575
247	YFL058W	0.90561
248	YBR043C	0.90558
249	YJR001W	0.90558
250	YCR073W-A	0.90555
251	YER055C	0.9055
252	YNL332W	0.9055
253	YIL116W	0.90543
254	YPL244C	0.90541
255	YGR087C	0.90537
256	YPR183W	0.90533
257	YHR057C	0.9053
258	YOL086C	0.90515
259	YOR316C	0.905
260	YDL244W	0.90496
261	YLR155C	0.90496
262	YLR160C	0.90496
263	YLR157C	0.90496
264	YLR158C	0.90496
265	YER178W	0.90484
266	YLR208W	0.90483
267	YJR049C	0.90458
268	YER025W	0.90456
269	YCR017C	0.90454
270	YDR040C	0.90453
271	YGL039W	0.90451
272	YDR508C	0.90438
273	YER012W	0.90431
274	YKR093W	0.90429
275	YMR109W	0.90429
276	YPR035W	0.90428
277	YAL060W	0.90423
278	YIL166C	0.90396
279	YGL167C	0.9038
280	YGR286C	0.90378
281	YER133W	0.9037
282	YLR070C	0.9037
283	YFL056C	0.90367
284	YKL148C	0.90367
285	YJR143C	0.9036
286	YJL055W	0.90351
287	YJL094C	0.9035
288	YML064C	0.90342
289	YPL266W	0.90309
290	YMR266W	0.90307
291	YLR058C	0.90307
292	YOR046C	0.90305
293	YLR359W	0.90295
294	YNL108C	0.9029
295	YLR244C	0.9028
296	YER145C	0.90264
297	YBL042C	0.90262
298	YOL137W	0.90259
299	YMR318C	0.90257
300	YIL162W	0.90256
301	YJR152W	0.9025
302	YOL066C	0.90231
303	YER185W	0.9023
304	YBL111C	0.90214
305	YOL038W	0.90203
306	YNL010W	0.90202
307	YCR011C	0.90192
308	YNR034W	0.90172
309	YNL274C	0.90172
310	YPL111W	0.90166
311	YGR282C	0.90162
312	YNL329C	0.90162
313	YDR294C	0.9014
314	YNL095C	0.90134
315	YBR046C	0.90118
316	YML012W	0.90112
317	YBL022C	0.90079
318	YDL247W	0.90078
319	YLR121C	0.90068
320	YMR205C	0.90062
321	YNR055C	0.90062
322	YBR295W	0.90043
323	YMR058W	0.90032
324	YLR134W	0.90028
325	YLR438W	0.90016
326	YAL012W	0.90011
327	YDR540C	0.90008
328	YMR079W	0.90003
329	YIR027C	0.90001
330	YDL182W	0.90001
331	YDR519W	0.89974
332	YER015W	0.89941
333	YPR033C	0.8994
334	YLR220W	0.89936
335	YJL164C	0.89934
336	YNL189W	0.89932
337	YJL060W	0.89927
338	YPL050C	0.89919
339	YKL166C	0.89916
340	YER026C	0.89913
341	YFL045C	0.89899
342	YKL196C	0.89889
343	YDR111C	0.89877
344	YOR197W	0.89877
345	YDL086W	0.89868
346	YMR071C	0.89864
347	YOR192C	0.89838
348	YDL166C	0.89826
349	YKL104C	0.89826
350	YJL167W	0.89826
351	YOR321W	0.89823
352	YDR059C	0.89812
353	YNR013C	0.89809
354	YOL103W	0.89803
355	YDL246C	0.89801
356	YOR357C	0.89784
357	YBR020W	0.89782
358	YHR110W	0.89769
359	YJL012C	0.89765
360	YGR210C	0.89761
361	YOR071C	0.89754
362	YFR053C	0.89753
363	YGR019W	0.89739
364	YGR213C	0.89736
365	YLR120C	0.89733
366	YJR159W	0.89733
367	YEL077C	0.89728
368	YBR015C	0.89723
369	YEL030W	0.89715
370	YGR175C	0.89714
371	YKL217W	0.89713
372	YLL055W	0.89702
373	YLR466W	0.89701
374	YLL056C	0.89698
375	YGL157W	0.89682
376	YMR290C	0.89672
377	YOL092W	0.89671
378	YDR353W	0.89667
379	YDR481C	0.89663
380	YKL120W	0.89659
381	YPR103W	0.89655
382	YHR112C	0.89653
383	YIL120W	0.89652
384	YCR105W	0.89638
385	YOR095C	0.89629
386	YLR277C	0.89617
387	YGL224C	0.89613
388	YJR007W	0.89613
389	YGL026C	0.89599
390	YNL231C	0.89599
391	YER152C	0.89598
392	YIL142W	0.89597
393	YDR196C	0.89591
394	YOR099W	0.89591
395	YDR373W	0.89585
396	YNL330C	0.89582
397	YIL053W	0.89579
398	YLR044C	0.89571
399	YML008C	0.89563
400	YGL253W	0.89555
401	YPR182W	0.89551
402	YGL202W	0.89541
403	YKR026C	0.89536
404	YHR044C	0.89527
405	YKR002W	0.89526
406	YAL061W	0.89521
407	YDR321W	0.89517
408	YPR003C	0.89515
409	YLR213C	0.89514
410	YIL003W	0.89499
411	YPL221W	0.89497
412	YCR057C	0.89496
413	YOR326W	0.89477
414	YMR202W	0.89476
415	YGR065C	0.89462
416	YCR037C	0.8946
417	YIR028W	0.8946
418	YGR224W	0.89458
419	YLR153C	0.89453
420	YOR306C	0.89447
421	YER086W	0.89447
422	YLR397C	0.89446
423	YOR003W	0.89445
424	YAL038W	0.8944
425	YKL069W	0.89434
426	YBR082C	0.89432
427	YDR062W	0.8943
428	YGL252C	0.89429
429	YHR030C	0.89419
430	YNL331C	0.89418
431	YPL119C	0.89415
432	YNR060W	0.89407
433	YEL060C	0.89397
434	YOR381W	0.89394
435	YOL119C	0.89391
436	YMR080C	0.89374
437	YGR240C	0.89374
438	YBR019C	0.8936
439	YBR153W	0.89359
440	YGR155W	0.89358
441	YPL234C	0.8935
442	YBL075C	0.89342
443	YIL118W	0.8934
444	YAL067C	0.89334
445	YDR541C	0.8932
446	YKL216W	0.89316
447	YJR124C	0.89313
448	YDR304C	0.89301
449	YCR008W	0.89291
450	YGR043C	0.89279
451	YHR039C	0.89277
452	YNL044W	0.89277
453	YBR021W	0.89276
454	YDL174C	0.89259
455	YPR204W	0.89252
456	YER057C	0.89251
457	YGL100W	0.89221
458	YDL134C	0.89214
459	YOR131C	0.89201
460	YPL203W	0.89195
461	YHR043C	0.89189
462	YDL055C	0.89188
463	YEL011W	0.89187
464	YOR161C	0.89184
465	YCR053W	0.89177
466	YOL084W	0.8917
467	YPL154C	0.8917
468	YPR113W	0.89169
469	YER062C	0.89168
470	YLR017W	0.89156
471	YDL125C	0.89149
472	YCR047C	0.89138
473	YOR327C	0.89134
474	YPL208W	0.89132
475	YAL054C	0.89129
476	YDL243C	0.89126
477	YCL018W	0.89126
478	YGR152C	0.89119
479	YMR008C	0.89115
480	YBR008C	0.89111
481	YPL231W	0.89106
482	YIL160C	0.89104
483	YER019W	0.89099
484	YLR433C	0.89097
485	YLR193C	0.89091
486	YER053C	0.89088
487	YMR215W	0.8908
488	YDL138W	0.89068
489	YMR300C	0.89058
490	YEL071W	0.89045
491	YGR100W	0.89043
492	YFL041W	0.89043
493	YGL062W	0.89043
494	YDL108W	0.89035
495	YAL005C	0.8903
496	YPL218W	0.89026
497	YER073W	0.89017
498	YOR204W	0.89009
499	YKL220C	0.89004
500	YER148W	0.89003
501	YJR045C	0.89
502	YKL211C	0.88997
503	YOR087W	0.88995
504	YKL184W	0.88991
505	YBL091C	0.88984
506	YJL128C	0.88966
507	YBL112C	0.8896
508	YHR218W-A	0.8896
509	YBR218C	0.88957
510	YLR268W	0.88944
511	YEL040W	0.8894
512	YGR197C	0.88932
513	YHR064C	0.88929
514	YML080W	0.88927
515	YLR304C	0.88927
516	YHR029C	0.88926
517	YOR323C	0.88925
518	YLR438C-A	0.88918
519	YDR375C	0.88917
520	YKL210W	0.88916
521	YGR229C	0.8891
522	YDL144C	0.88904
523	YPL061W	0.88895
524	YLR354C	0.88894
525	YDR402C	0.88886
526	YKL213C	0.88883
527	YMR084W	0.88873
528	YPR131C	0.8886
529	YLR172C	0.88857
530	YLL050C	0.88828
531	YER020W	0.88827
532	YDR234W	0.88818
533	YEL004W	0.88816
534	YHR042W	0.88813
535	YGR010W	0.88768
536	YLR328W	0.88768
537	YNL112W	0.88767
538	YDL238C	0.88766
539	YJL218W	0.88754
540	YHR032W	0.88751
541	YKR105C	0.88751
542	YCR028C	0.88749
543	YEL041W	0.88746
544	YDR264C	0.88744
545	YNL014W	0.88741
546	YPR062W	0.88737
547	YNL209W	0.88721
548	YDL102W	0.88704
549	YLL018C	0.88704
550	YBR038W	0.88699
551	YDL097C	0.88694
552	YBR291C	0.88693
553	YDR404C	0.88691
554	YJR072C	0.8869
555	YPL183C	0.88686
556	YNL241C	0.88686
557	YDR270W	0.88682
558	YBR034C	0.8868
559	YCR072C	0.8867
560	YGR281W	0.88666
561	YJL034W	0.88663
562	YGL186C	0.88658
563	YNL200C	0.88657
564	YDR456W	0.88656
565	Q0085	0.88651
566	YHR074W	0.88644
567	YBL089W	0.88636
568	YPL028W	0.88635
569	YEL036C	0.88633
570	YDR533C	0.88632
571	YOR283W	0.8863
572	YKL107W	0.8863
573	YOL112W	0.88626
574	YCL009C	0.88616
575	YBR069C	0.88616
576	YBR117C	0.88614
577	YDL128W	0.88611
578	YJL172W	0.88602
579	YOL163W	0.88602
580	YER166W	0.88596
581	YJL121C	0.88595
582	YKR056W	0.88592
583	YHR012W	0.88589
584	YMR138W	0.88584
585	YDL188C	0.88575
586	YPR193C	0.88574
587	YLL024C	0.88573
588	YBR263W	0.88569
589	YIR042C	0.88569
590	YLL067C	0.88568
591	YGL221C	0.88563
592	YJL212C	0.88561
593	YGL114W	0.8854
594	YGR123C	0.88539
595	YOL133W	0.88529
596	YNL098C	0.88522
597	YPL169C	0.88515
598	YER089C	0.88513
599	YEL058W	0.88512
600	YJR105W	0.88509
601	YPL031C	0.88506
602	YER103W	0.88494
603	YNL021W	0.88494
604	YDR135C	0.88493
605	YGL119W	0.8849
606	YDL126C	0.88487
607	YNL264C	0.88483
608	YOL153C	0.88477
609	YJR073C	0.88475
610	YML086C	0.88463
611	YOL002C	0.88437
612	YOR128C	0.88435
613	YLR241W	0.8843
614	YLL028W	0.88415
615	YKL004W	0.88408
616	YDL229W	0.88395
617	YDL178W	0.88394
618	YMR253C	0.88391
619	YBL036C	0.88387
620	YLR175W	0.88383
621	YBR088C	0.88383
622	YGL006W	0.88377
623	YBR248C	0.88369
624	YLR355C	0.88362
625	YNR050C	0.88359
626	YGL139W	0.88346
627	YGL022W	0.88346
628	YBR256C	0.88345
629	YOL030W	0.88343
630	YLR056W	0.88338
631	YGL256W	0.88333
632	YKR038C	0.88332
633	YMR169C	0.8833
634	YJR025C	0.88329
635	YLR330W	0.88327
636	YML075C	0.88324
637	YGL097W	0.88312
638	YMR305C	0.88297
639	YOR384W	0.88273
640	YLR245C	0.88263
641	YJL171C	0.88262
642	YDR033W	0.88257
643	YGL002W	0.88256
644	YPR051W	0.88252
645	YDL222C	0.88249
646	YAR073W	0.88249
647	YLR324W	0.88246
648	YML078W	0.88239
649	YGR094W	0.88234
650	YLR214W	0.88215
651	YMR301C	0.88214
652	YER007C-A	0.88214
653	YLR347C	0.88209
654	YNL099C	0.88206
