rank	yeast_gene	cosine
1	YDR135C	0.97553
2	YOL075C	0.97496
3	YBR043C	0.97344
4	YHL003C	0.9731
5	YHR032W	0.97305
6	YIL120W	0.97303
7	YOR273C	0.97194
8	YKL166C	0.97186
9	YJR001W	0.97186
10	YNL095C	0.9714
11	YER026C	0.97138
12	YIL121W	0.97121
13	YHR030C	0.97101
14	YGR281W	0.9709
15	YOL103W	0.97066
16	YGR152C	0.97047
17	YGR138C	0.96999
18	YIR026C	0.96893
19	YKR053C	0.96826
20	YDR038C	0.96821
21	YPL031C	0.96818
22	YDR039C	0.96809
23	YDR040C	0.96805
24	YGR092W	0.96792
25	YMR080C	0.96756
26	YOR101W	0.96751
27	YHR005C	0.96734
28	YBL105C	0.96714
29	YJR124C	0.96687
30	YOR087W	0.96679
31	YOL122C	0.96675
32	YER119C	0.96639
33	YGL006W	0.96632
34	YCR048W	0.96585
35	YPL204W	0.96581
36	YDL057W	0.96574
37	YER125W	0.96569
38	YNL093W	0.96564
39	YER019W	0.96557
40	YBR235W	0.96549
41	YML018C	0.96536
42	YNL125C	0.96532
43	YLR467W	0.96531
44	YDR545W	0.96531
45	YOR396W	0.96531
46	YHR132C	0.96523
47	YEL064C	0.96521
48	YNR055C	0.96515
49	YBR295W	0.96512
50	YLL028W	0.96474
51	YAL026C	0.96468
52	YER190W	0.96465
53	YNL339C	0.96462
54	YPL283C	0.96451
55	YGR296W	0.96451
56	YKR105C	0.96424
57	YGL163C	0.96413
58	YJL134W	0.96392
59	YHR135C	0.96388
60	YBR241C	0.96377
61	YDR497C	0.96376
62	YPR111W	0.96364
63	YJL225C	0.96363
64	YDR196C	0.9636
65	YPR156C	0.9636
66	YCR011C	0.9635
67	YOR292C	0.96347
68	YIL177C	0.96347
69	YFR028C	0.96294
70	YKR050W	0.96279
71	YGR224W	0.96274
72	YNL154C	0.96272
73	YDR093W	0.96271
74	YAL022C	0.96266
75	YNR019W	0.96264
76	YDR456W	0.96262
77	YER089C	0.96257
78	YDL188C	0.96256
79	YBR073W	0.96251
80	YOR380W	0.96245
81	YLR241W	0.96232
82	YNL288W	0.96219
83	YNL275W	0.96216
84	YEL041W	0.96214
85	YOR092W	0.96211
86	YOR326W	0.96185
87	YCR023C	0.96174
88	YGL047W	0.96174
89	YOL137W	0.96169
90	YNR011C	0.96163
91	YKL008C	0.96145
92	YDL001W	0.9613
93	YNL065W	0.96129
94	YGL201C	0.96118
95	YML133C	0.96115
96	YLR137W	0.96111
97	YMR034C	0.96111
98	YKL078W	0.96103
99	YDR074W	0.96099
100	YPL221W	0.96092
101	YDR508C	0.96086
102	YCL069W	0.96069
103	YLR152C	0.96062
104	YNR032W	0.96057
105	YLL066C	0.96048
106	YOL065C	0.96047
107	YGR040W	0.96047
108	YDR264C	0.96042
109	YPL006W	0.96035
110	YJR049C	0.96032
111	YGR197C	0.96032
112	YKL039W	0.9603
113	YNL307C	0.96017
114	YMR138W	0.96007
115	YER020W	0.96006
116	YBR202W	0.95991
117	YLL067C	0.95983
118	YPL042C	0.95981
119	YDL052C	0.95978
120	YKL126W	0.95978
121	YDL108W	0.95968
122	YKR014C	0.9596
123	YOR246C	0.95958
124	YMR288W	0.95957
125	YCR028C	0.95956
126	YHR050W	0.95952
127	YPR003C	0.95951
128	YLR188W	0.95946
129	YOR079C	0.95943
130	YDL160C	0.95943
131	YKL146W	0.95935
132	YCR027C	0.95925
133	YIL001W	0.95918
134	YDR328C	0.95915
135	YBR080C	0.95909
136	YLR466W	0.95904
137	YGR065C	0.95892
138	YBR220C	0.9589
139	YER166W	0.95889
140	YDL134C	0.95888
141	YGR028W	0.95886
142	YIL088C	0.95861
143	YGL139W	0.95857
144	YPR019W	0.95855
145	YDL128W	0.95845
146	YHR031C	0.95844
147	YPL203W	0.95835
148	YPL153C	0.95817
149	YJR040W	0.95817
150	YDR375C	0.95813
151	YAR018C	0.95811
152	YBR243C	0.95806
153	YDR490C	0.95792
154	YMR101C	0.95784
155	YHL017W	0.95783
156	YHR218W	0.95775
157	YPL175W	0.95771
158	YOR084W	0.9577
159	YCL073C	0.95755
160	YGL140C	0.95751
161	YPL092W	0.95747
162	YPL264C	0.95746
163	YHR190W	0.95744
164	YDL007W	0.95742
165	YNL161W	0.9574
166	YKL135C	0.95737
167	YLR397C	0.95736
168	YKR106W	0.95736
169	YBR180W	0.95736
170	YGR271W	0.95722
171	YOR351C	0.95716
172	YJL093C	0.95711
173	YOR034C	0.95706
174	YOL130W	0.95705
175	YIR028W	0.95701
176	YKR088C	0.95695
177	YJR015W	0.9569
178	YER013W	0.95682
179	YBL111C	0.95677
180	YDL230W	0.95675
181	YOL016C	0.95674
182	YJL198W	0.95672
183	YAL029C	0.95669
184	YGR055W	0.95665
185	YDL155W	0.95658
186	YDR438W	0.95654
187	YDL194W	0.9565
188	YIL047C	0.9564
189	YOL112W	0.95621
190	YLR398C	0.95608
191	YJL164C	0.95605
192	YNL098C	0.956
193	YPL236C	0.95598
194	YER176W	0.95593
195	YML038C	0.95588
196	YDL132W	0.95582
197	YER133W	0.95576
198	YFR031C	0.95576
199	YHR175W	0.9557
200	YGL167C	0.95566
201	YMR210W	0.95557
202	YDL018C	0.95551
203	YER145C	0.95547
204	YOR049C	0.95546
205	YKR001C	0.95542
206	YGR100W	0.95538
207	YPL122C	0.95527
208	YMR089C	0.95515
209	YKR051W	0.95513
210	YLL034C	0.95503
211	YOL132W	0.95501
212	YMR285C	0.955
213	YFL050C	0.95497
214	YNR013C	0.95494
215	YBR023C	0.95494
216	YJL094C	0.95493
217	YOR013W	0.95492
218	YOR304W	0.95478
219	YOR011W	0.95475
220	YNL223W	0.95472
221	YML077W	0.95471
222	YAR035W	0.95463
223	YER017C	0.95462
224	YCR061W	0.95455
225	YMR054W	0.95455
226	YDL138W	0.95454
227	YBR287W	0.95454
228	YNL194C	0.95451
229	YMR224C	0.9544
230	YKL027W	0.95438
231	YPL015C	0.95432
232	YBR038W	0.95429
233	YAL053W	0.95427
234	YLR092W	0.95424
235	YHR013C	0.95418
236	YJL082W	0.95415
237	YMR301C	0.95414
238	YLR034C	0.95413
239	YLR019W	0.95411
240	YJR129C	0.95401
241	YBR264C	0.954
242	YMR001C	0.95398
243	YOL158C	0.95391
244	YKL104C	0.95389
245	YLR410W	0.95385
246	YLR262C	0.95381
247	YPL244C	0.95379
248	YFL028C	0.95379
249	YDR270W	0.95377
250	YLR411W	0.95375
251	YDR477W	0.95366
252	YPR120C	0.95357
253	YLR220W	0.95356
254	YMR221C	0.95352
255	YCR037C	0.95351
256	YLR426W	0.95349
257	YHR205W	0.95343
258	YBR029C	0.95341
259	YCR106W	0.95341
260	YBR021W	0.95338
261	YNL021W	0.95336
262	YIL048W	0.95336
263	YNL229C	0.95334
264	YAL067C	0.95324
265	YAL021C	0.95324
266	YNL024C	0.95324
267	YOL113W	0.95321
268	YEL032W	0.95318
269	YLR108C	0.95317
270	YPR054W	0.95316
271	YDL102W	0.95297
272	YIR002C	0.95295
273	YOL125W	0.95295
274	YOR155C	0.95294
275	YLR005W	0.95294
276	YCL025C	0.95293
277	YIL118W	0.95287
278	YDR090C	0.95287
279	YDR051C	0.95284
280	YEL077C	0.95284
281	YNR048W	0.9528
282	YFR018C	0.95277
283	YDR243C	0.95276
284	YOL062C	0.95275
285	YLR383W	0.95274
286	YJL035C	0.9527
287	YPL051W	0.95263
288	YHL047C	0.95257
289	YHR144C	0.95249
290	YOR384W	0.95242
291	YIL013C	0.95237
292	YBR069C	0.95231
293	YDR291W	0.9523
294	YGL002W	0.95221
295	YPL208W	0.95207
296	YDR436W	0.95206
297	YOR172W	0.95205
298	YHL040C	0.95204
299	YKL161C	0.95204
300	YIR022W	0.95203
301	YML068W	0.952
302	YKR055W	0.95198
303	YBL089W	0.95194
304	YMR162C	0.95193
305	YBR002C	0.95185
306	YMR279C	0.95184
307	YIL068C	0.95184
308	YGL130W	0.95182
309	YDR411C	0.95178
310	YOR131C	0.95174
311	YFR048W	0.95168
312	YBR223C	0.95168
313	YLL015W	0.95167
314	YPL246C	0.95165
315	YOR250C	0.95163
316	YLR113W	0.95156
317	YDR263C	0.95154
318	YDR331W	0.95152
319	YBR236C	0.95149
320	YHL036W	0.95149
321	YOR381W	0.95137
322	YFR014C	0.95132
323	YOR301W	0.95131
324	YHR178W	0.95131
325	YBR245C	0.9513
326	YGR125W	0.95129
327	YPL151C	0.95126
328	YPL206C	0.95123
329	YNL312W	0.95118
330	YAR042W	0.95113
331	YLR168C	0.95112
332	YOL034W	0.9511
333	YNL056W	0.95109
334	YNL099C	0.95107
335	YGL208W	0.95105
336	YPR024W	0.95097
337	YER185W	0.95095
338	YLR268W	0.95088
339	YLR046C	0.95081
340	YDR536W	0.95081
341	YER090W	0.95081
342	YGL120C	0.95073
343	YBL056W	0.95068
344	YJR084W	0.95067
345	YLR210W	0.95067
346	YLR189C	0.95066
347	YGR260W	0.95063
348	YOL092W	0.9506
349	YBR294W	0.95054
350	YDR516C	0.95051
351	YGR031W	0.95044
352	YKR026C	0.95036
353	YGR213C	0.95036
354	YOR358W	0.95036
355	YAL016W	0.95035
356	YJL128C	0.95034
357	YBR160W	0.95031
358	YDL097C	0.95029
359	YNR060W	0.95018
360	YDR292C	0.95016
361	YOR257W	0.95014
362	YNL321W	0.95009
363	YEL031W	0.95007
364	YOL080C	0.95003
365	YLR213C	0.95
366	YDL079C	0.95
367	YDR177W	0.94999
368	YIL109C	0.94991
369	YML021C	0.94989
370	YOR165W	0.94986
371	YMR139W	0.94984
372	YLL012W	0.9498
373	YBR187W	0.94979
374	YFL042C	0.94978
375	YDL017W	0.94976
376	YEL052W	0.94975
377	YGR007W	0.9497
378	YNL102W	0.94968
379	YNR052C	0.94965
380	YDR046C	0.94963
381	YGL186C	0.94961
382	YOR339C	0.94958
383	YAR023C	0.94957
384	YLR130C	0.94953
385	YPR161C	0.94945
386	YKL197C	0.94941
387	YNL326C	0.9494
388	YGR191W	0.94937
389	YJR131W	0.94936
390	YBL082C	0.9493
391	YDR305C	0.94926
392	YLL043W	0.94922
393	YMR272C	0.94917
394	YCR008W	0.94916
395	YMR084W	0.94907
396	YOL002C	0.94905
