rank	yeast_gene	cosine
1	YBR241C	0.95153
2	YBR164C	0.93981
3	YDL137W	0.93892
4	YHR094C	0.93889
5	YJL214W	0.93728
6	YIL170W	0.937
7	YDR345C	0.93645
8	YMR011W	0.93627
9	YLR081W	0.93511
10	YFL011W	0.93478
11	YHR092C	0.93412
12	YDL128W	0.93411
13	YML018C	0.93409
14	YOL156W	0.93384
15	YFL055W	0.93368
16	YMR034C	0.93368
17	YJL108C	0.93357
18	YJL219W	0.93337
19	YNR072W	0.93283
20	YHR096C	0.93278
21	YER119C	0.93274
22	YPR183W	0.93274
23	YFL038C	0.93265
24	YPL264C	0.93233
25	YNL268W	0.93199
26	YDL245C	0.93192
27	YER039C	0.9319
28	YEL069C	0.93186
29	YDL006W	0.93169
30	YDL047W	0.93167
31	YJR158W	0.93162
32	YPL203W	0.93105
33	YNL270C	0.9308
34	YDL192W	0.9307
35	YEL063C	0.93057
36	YDR536W	0.93011
37	YOR094W	0.9301
38	YGL225W	0.92965
39	YDR342C	0.92962
40	YKR039W	0.92935
41	YJL164C	0.92927
42	YLL028W	0.92908
43	YDR343C	0.92905
44	YDL134C	0.9289
45	YDR040C	0.9285
46	YER133W	0.92793
47	YHL047C	0.9279
48	YCL025C	0.9272
49	YDR039C	0.92692
50	YNL090W	0.92691
51	YGR191W	0.92678
52	YPL031C	0.92658
53	YIL121W	0.92648
54	YKL024C	0.92605
55	YHL040C	0.92603
56	YDR038C	0.92599
57	YOR378W	0.92594
58	YOR348C	0.92508
59	YBR187W	0.92449
60	YGL167C	0.92435
61	YJL167W	0.92419
62	YDR075W	0.92406
63	YDR046C	0.92401
64	YGR138C	0.924
65	YOR257W	0.92281
66	YPL218W	0.92273
67	YEL064C	0.92258
68	YDR196C	0.92235
69	YKR059W	0.92234
70	YDR373W	0.92234
71	YKL166C	0.92229
72	YFL039C	0.92227
73	YMR279C	0.92214
74	YBR008C	0.92184
75	YOL075C	0.92162
76	YGR055W	0.92144
77	YNR055C	0.92134
78	YDR497C	0.92086
79	YPR165W	0.92071
80	YDL108W	0.92056
81	YBR160W	0.92047
82	YMR079W	0.92033
83	YLR229C	0.92015
84	YLR034C	0.91998
85	YJR124C	0.91942
86	YER020W	0.9189
87	YER185W	0.91888
88	YGL255W	0.91884
89	YDR508C	0.91857
90	YDL188C	0.91856
91	YLR113W	0.91832
92	YER060W	0.9183
93	YOR089C	0.91826
94	YER125W	0.91824
95	YPR113W	0.91806
96	YNL189W	0.91799
97	YPR192W	0.91795
98	YOL158C	0.91766
99	YER060W-A	0.91764
100	YDR135C	0.91759
101	YPR138C	0.91758
102	YGR224W	0.91755
103	YER031C	0.91748
104	YER056C	0.91736
105	YPL246C	0.91727
106	YCR098C	0.91719
107	YPL051W	0.91689
108	YIL120W	0.91688
109	YKR105C	0.91685
110	YGL210W	0.91682
111	YPL274W	0.91655
112	YGR281W	0.91652
113	YOR317W	0.91639
114	YBL016W	0.91628
115	YMR246W	0.91597
116	YER009W	0.91593
117	YLR130C	0.9158
118	YPL058C	0.9158
119	YAL026C	0.91574
120	YMR015C	0.91571
121	YBR082C	0.9157
122	YKL190W	0.91566
123	YOL103W	0.91564
124	YER026C	0.91562
125	YGL256W	0.91502
126	YKL146W	0.91487
127	YPL234C	0.91485
128	YBR068C	0.9148
129	YDR456W	0.91464
130	YDR021W	0.91435
131	YPR156C	0.91435
132	YFL005W	0.91416
133	YDR406W	0.91392
134	YML001W	0.91374
135	YPL265W	0.91341
136	YDR011W	0.91339
137	YHL016C	0.91336
138	YNR070W	0.91322
139	YDR519W	0.91313
140	YGR123C	0.913
141	YML123C	0.91287
142	YGR060W	0.91284
143	YLR347C	0.91269
144	YGR040W	0.91249
145	YKR093W	0.91248
146	YOR153W	0.91248
147	YLL061W	0.91237
148	YML116W	0.91237
149	YNL142W	0.91236
150	YPL244C	0.91223
151	YGL001C	0.91213
152	YMR109W	0.9121
153	YHR030C	0.91206
154	YNL290W	0.91203
155	YOR161C	0.91188
156	YOR197W	0.91184
157	YOR273C	0.91176
158	YNL093W	0.91172
159	YGR213C	0.91156
160	YNR002C	0.91112
161	YDL210W	0.91089
162	YDR059C	0.9108
163	YOL122C	0.91067
164	YEL065W	0.91063
165	YGR121C	0.91008
166	YHR032W	0.90998
167	YJR152W	0.9099
168	YCL069W	0.90907
169	YHR128W	0.90899
170	YGR260W	0.90895
171	YCL073C	0.90865
172	YDL100C	0.90817
173	YHR050W	0.90814
174	YKR106W	0.90813
175	YDR090C	0.90791
176	YBR298C	0.90788
177	YHR007C	0.90779
178	YBR296C	0.90764
179	YMR292W	0.90752
180	YOL094C	0.9075
181	YNL112W	0.90745
182	YOL162W	0.9074
183	YLR397C	0.90736
184	YGR152C	0.90725
185	YMR243C	0.90707
186	YHR057C	0.90706
187	YOR381W	0.90704
188	YDR092W	0.90652
189	YOR328W	0.90637
190	YNL098C	0.90636
191	YIL009W	0.90635
192	YCR010C	0.90613
193	YIL118W	0.90613
194	YNL010W	0.90576
195	YER089C	0.90573
196	YEL031W	0.90569
197	YHL003C	0.90567
198	YBR126C	0.90564
199	YPL036W	0.90559
200	YBR243C	0.90535
201	YLR237W	0.90501
202	YLR092W	0.90473
203	YEL046C	0.90472
204	YNR032W	0.90466
205	YKL218C	0.90455
206	YGR208W	0.90445
207	YOL002C	0.90435
208	YGR282C	0.9043
209	YJR065C	0.90426
210	YDR384C	0.90421
211	YPL154C	0.90417
212	YJL001W	0.90416
213	YGR218W	0.90415
214	YGL087C	0.90409
215	YPL061W	0.90392
216	YBR109C	0.90392
217	YER019W	0.90387
218	YIL088C	0.9036
219	YDR404C	0.90347
220	YPR051W	0.90345
221	YAL023C	0.90336
222	YDL125C	0.90331
223	YCR028C	0.90327
224	YKR002W	0.9032
225	YER090W	0.90305
226	YBR294W	0.903
227	YDR270W	0.90298
228	YJL196C	0.90296
229	YMR056C	0.90287
230	YIR028W	0.90269
231	YNL274C	0.9026
232	YMR290C	0.90258
233	YMR071C	0.90227
234	YKL033W-A	0.90223
235	YKL129C	0.90221
236	YIL116W	0.90218
237	YHR106W	0.90214
238	YBR043C	0.90207
239	YNL130C	0.90196
