rank	yeast_gene	cosine
1	YPL203W	0.92481
2	YLR229C	0.91951
3	YPL218W	0.91951
4	YGL008C	0.91846
5	YJL108C	0.91608
6	YLR113W	0.91583
7	YER072W	0.91546
8	YPR165W	0.91436
9	YJL164C	0.9138
10	YPL036W	0.91315
11	YKR059W	0.91246
12	YMR109W	0.91246
13	YPR182W	0.91082
14	YMR290C	0.90896
15	YLR234W	0.90833
16	YDR345C	0.90826
17	YBR160W	0.90786
18	YOR257W	0.90777
19	YGL256W	0.90772
20	YOR046C	0.90704
21	YHR092C	0.90658
22	YNL290W	0.90558
23	YDR343C	0.90505
24	YBR241C	0.9049
25	YBL016W	0.90458
26	YDR342C	0.90446
27	YHR030C	0.90338
28	YLR147C	0.9032
29	YHL047C	0.90165
30	YNL112W	0.90145
31	YHR094C	0.90141
32	YGL225W	0.90051
33	YOR378W	0.90039
34	YNL189W	0.90013
35	YPL266W	0.9001
36	YLR081W	0.89928
37	YOR204W	0.89856
38	YPR183W	0.89853
39	YDR021W	0.89849
40	YER039C	0.89835
41	YDL126C	0.89828
42	YDR155C	0.89821
43	YBL075C	0.89765
44	YNL209W	0.89756
45	YGR105W	0.89737
46	YDL229W	0.89734
47	YBR261C	0.89718
48	YHL040C	0.89717
49	YAL005C	0.89672
50	YBR164C	0.89662
51	YLL024C	0.89632
52	YBL112C	0.89612
53	YHR218W-A	0.89612
54	YFL039C	0.89574
55	YDL192W	0.8957
56	YJL014W	0.89553
57	YKL190W	0.89505
58	YJL214W	0.89491
59	YGR231C	0.89463
60	YDL084W	0.89456
61	YMR011W	0.89456
62	YER103W	0.89447
63	YHR096C	0.89442
64	YLR438C-A	0.89432
65	YFL011W	0.89402
66	YGR252W	0.89353
67	YER148W	0.89313
68	YDL245C	0.89309
69	YGR123C	0.8927
70	YKL129C	0.89221
71	YOL021C	0.89218
72	YDL137W	0.89214
73	YJR158W	0.89211
74	YJL167W	0.8919
75	YNR072W	0.89146
76	YOL156W	0.89111
77	YIL170W	0.89099
78	YKL024C	0.89095
79	YJL219W	0.89051
80	YGR218W	0.89046
81	YEL069C	0.8904
82	YDL166C	0.8904
83	YPL031C	0.89039
84	YKL196C	0.89027
85	YBR082C	0.89025
86	YPR113W	0.8899
87	YBL026W	0.88974
88	YMR015C	0.88963
89	YNL090W	0.88963
90	YDR129C	0.88914
91	YMR079W	0.88904
92	YHR018C	0.88878
93	YBL030C	0.88877
94	YBR089C-A	0.88838
95	YER133W	0.88832
96	YDL006W	0.88776
97	YML012W	0.88754
98	YER177W	0.88744
99	YDL128W	0.88732
100	YOR122C	0.88732
101	YPR052C	0.88714
102	YMR034C	0.88699
103	YNR053C	0.88695
104	YJL034W	0.88681
105	YDL244W	0.88648
106	YDL047W	0.88645
107	YPL119C	0.88633
108	YFL058W	0.88626
109	YGL120C	0.88612
110	YPR204W	0.88591
111	YOR185C	0.88587
112	YHR070W	0.88586
113	YNL006W	0.88557
114	YOR089C	0.88555
115	YJR156C	0.88546
116	YNL332W	0.88537
117	YGR040W	0.88536
118	YOL094C	0.88513
119	YJL050W	0.88506
120	YDL108W	0.88504
121	YLR293C	0.88493
122	YDR339C	0.88487
123	YEL027W	0.88448
124	YHL016C	0.88444
125	YER020W	0.88442
126	YHR200W	0.88427
127	YCR047C	0.88397
128	YGL255W	0.88392
129	YHR169W	0.88388
130	YDR091C	0.88383
131	YKR002W	0.88368
132	YEL026W	0.88364
133	YEL051W	0.88336
134	YBR187W	0.8833
135	YER107C	0.88315
136	YPR173C	0.88304
137	YMR222C	0.88265
138	YDL134C	0.88244
139	YDR196C	0.88234
140	YDR536W	0.88222
141	YNL098C	0.88208
142	YCR009C	0.88207
143	YML123C	0.88196
144	YLL050C	0.88195
145	YLL060C	0.88184
146	YJL026W	0.88172
147	YER060W-A	0.88156
148	YER081W	0.88151
149	YOR224C	0.88143
150	YHR128W	0.8813
151	YPL234C	0.8812
152	YKL218C	0.88116
153	YDR099W	0.8811
154	YPR192W	0.88104
155	YDR059C	0.88101
156	YGL058W	0.88095
157	YDR424C	0.88079
158	YAR002C-A	0.88074
159	YBR109C	0.88055
160	YLR466W	0.88054
161	YMR056C	0.88048
162	YPL106C	0.88018
163	YIL143C	0.88016
164	YER009W	0.88009
165	YCR098C	0.87986
166	YFL066C	0.87984
167	YDR373W	0.87974
168	YOL143C	0.8797
169	YER025W	0.87969
170	YPL129W	0.87963
171	YGR152C	0.87922
172	YOL162W	0.87913
173	YHR135C	0.87907
174	YML102W	0.87897
175	YER125W	0.87896
176	YDL097C	0.87895
177	YNL113W	0.87888
178	YOR061W	0.87883
179	YDR185C	0.87866
180	YML069W	0.87864
181	YHR007C	0.87863
182	YDR075W	0.87863
183	YNL244C	0.87862
184	YKR039W	0.87853
185	YER171W	0.87825
186	YBR085W	0.87791
187	YLR347C	0.8777
188	YEL077C	0.87754
189	YNL288W	0.87754
190	YKL146W	0.8774
191	YFL055W	0.87695
192	YDL055C	0.87692
193	YER036C	0.87673
194	YGL167C	0.87662
195	YJR065C	0.8766
196	YBR252W	0.8763
197	YGR210C	0.87622
198	YOR094W	0.87621
199	YML018C	0.87614
200	YIL121W	0.87581
201	YDR092W	0.87578
202	YDL160C	0.87567
203	YHR065C	0.87553
204	YMR246W	0.87535
205	YKL216W	0.87535
206	YBR169C	0.87507
207	YKL166C	0.87502
208	YGL062W	0.87499
209	YNL135C	0.87488
210	YNL010W	0.87479
211	YCR010C	0.87452
212	YKL104C	0.8742
213	YFL038C	0.87404
214	YDR510W	0.87395
215	YNL268W	0.87394
216	YLL026W	0.87394
217	YOR270C	0.87373
218	YAL020C	0.87359
219	YER060W	0.8734
220	YDL222C	0.87324
221	YDR226W	0.87318
222	YOR187W	0.87315
223	YLR193C	0.87297
224	YDL022W	0.87295
225	YAL026C	0.87294
226	YDR404C	0.87286
227	YGR282C	0.87274
228	YER119C	0.87259
229	YOL038W	0.87256
230	YBR218C	0.87251
231	YER031C	0.87248
232	YGR211W	0.87247
233	YJR105W	0.87238
234	YDR040C	0.87234
235	YPL058C	0.87223
236	YDR341C	0.8721
237	YER056C	0.87163
238	YBL024W	0.87143
239	YBR008C	0.87132
240	YGR281W	0.87124
241	YDR406W	0.8712
242	YEL031W	0.87092
243	YMR226C	0.87082
244	YLL028W	0.87069
245	YOL097C	0.87063
246	YML057W	0.87047
247	YBR080C	0.87034
248	YPL259C	0.87025
249	YOR197W	0.87011
250	YDL029W	0.87006
251	YOR153W	0.86974
252	YCL009C	0.86974
253	YPR016C	0.86967
254	YDR039C	0.86963
255	YDR353W	0.86937
256	YFL026W	0.86927
257	YPL244C	0.86911
258	YLR168C	0.86899
259	YDL188C	0.86889
260	YEL065W	0.86872
261	YJR068W	0.86871
262	YDL100C	0.86864
263	YFL045C	0.86862
264	YER178W	0.86859
265	YLL039C	0.86854
266	YER190W	0.86851
267	YGR208W	0.8685
268	YER012W	0.8685
269	YER099C	0.86837
270	YLR058C	0.86832
271	YNR055C	0.8683
272	YHL003C	0.86814
273	YGR138C	0.86813
274	YBR143C	0.86813
275	YNL014W	0.86811
276	YHR189W	0.86802
277	YJR095W	0.86798
278	YDR002W	0.86796
279	YLR249W	0.86795
280	YGL210W	0.86795
281	YBR154C	0.86788
282	YJL213W	0.86787
283	YER089C	0.86786
284	YBR106W	0.86774
285	YGL070C	0.86753
286	YPL017C	0.86752
287	YFL017W-A	0.86742
288	YHR110W	0.8674
289	YBL078C	0.86736
290	YEL034W	0.86734
291	YPL199C	0.86721
292	YPL067C	0.8671
293	YIL078W	0.86708
294	YLL018C	0.86708
295	YJR045C	0.86705
296	YGR185C	0.86704
297	Q0130	0.86703
298	YOL030W	0.86698
299	YPR145W	0.86696
300	YEL063C	0.86695
301	YDR038C	0.86679
302	YCR028C	0.86673
303	YLR397C	0.86672
304	YPR051W	0.86668
305	YDR238C	0.86667
306	YCL025C	0.86659
307	YPL061W	0.86654
308	YLR258W	0.86653
309	YBR159W	0.86648
310	YDL168W	0.86641
311	YEL066W	0.86622
312	YDR375C	0.86619
313	YML133W-A	0.86613
314	YGR296C-A	0.86613
315	YNL339W-A	0.86613
316	YER190C-A	0.86613
317	YPL283W-A	0.86613
318	YNL154C	0.86602
319	YER159C	0.86579
320	YIL074C	0.86579
321	YGL091C	0.86576
322	YEL070W	0.86561
323	YNR073C	0.86561
324	YBR298C	0.8656
325	YGL001C	0.86559
326	YOL158C	0.86549
327	YGL253W	0.86539
328	YJR152W	0.86536
329	YPL264C	0.86536
330	YJR153W	0.86532
331	YDL001W	0.86522
332	YER165W	0.86512
333	YBL071W-A	0.86512
334	YNL270C	0.86501
335	YER004W	0.86494
336	YMR203W	0.86489
337	YOR317W	0.86485
338	YIR037W	0.86473
339	YMR271C	0.86472
340	YBL113C	0.86468
341	YML085C	0.86467
342	YNR002C	0.86449
343	YER166W	0.86436
344	YLR170C	0.86434
345	YBR296C	0.86434
346	YMR260C	0.86431
347	YIR036C	0.86416
348	YDR454C	0.86416
349	YHR106W	0.86415
350	YJL217W	0.86413
351	YLR348C	0.86412
352	YML022W	0.864
353	YJR007W	0.86388
354	YER055C	0.86383
355	YDL052C	0.8638
356	YNR057C	0.8636
357	YPR069C	0.86354
358	YJR069C	0.86354
359	YMR236W	0.86348
360	YJL030W	0.86347
361	YLL053C	0.8634
362	YER095W	0.86339
363	YDR540C	0.86331
364	YFR053C	0.86329
365	YNL064C	0.86323
366	YKL217W	0.86321
367	YFR014C	0.86291
368	YGL078C	0.8629
369	YEL058W	0.86282
370	YLR359W	0.86271
371	YDL164C	0.86271
372	YDR328C	0.8626
373	YOR202W	0.86255
374	YER026C	0.86227
375	YLR303W	0.86222
376	YGR132C	0.86218
377	YMR146C	0.86185
378	YBR126C	0.86176
379	YGL234W	0.86174
380	YAL038W	0.86172
381	YLR216C	0.8615
382	YGR060W	0.86148
383	YBL068W	0.86141
384	YLL067C	0.86136
385	YNL307C	0.86132
386	YKR080W	0.86126
387	YMR300C	0.86124
388	YOR323C	0.86121
389	YIL120W	0.8612
390	YLR200W	0.86119
391	YAR035W	0.86109
392	YBL091C	0.86105
393	YPL245W	0.86088
394	YGR124W	0.86085
395	YGL063W	0.86081
396	YIL116W	0.86053
397	YLR034C	0.86053
398	YML124C	0.86047
399	YFR009W	0.86042
400	YGR234W	0.86042
401	YLR005W	0.86036
402	YDL125C	0.86033
403	YER174C	0.86022
404	YOR084W	0.86014
405	YOR117W	0.86014
406	YOR347C	0.85993
407	YMR183C	0.85984
408	YOR161C	0.85975
409	YER023W	0.85969
410	YJR077C	0.8596
411	YHR057C	0.85948
412	YMR279C	0.85942
413	YDR297W	0.85935
414	YLR011W	0.85909
415	YEL046C	0.85905
416	YOR348C	0.85904
417	YJL121C	0.85904
418	YDL064W	0.85903
419	YCR057C	0.85901
420	YLR289W	0.859
421	YOR027W	0.85896
422	YGL054C	0.85895
423	YBR019C	0.85888
424	YJR058C	0.85883
425	YGR256W	0.85879
426	YGL211W	0.85871
427	YML001W	0.85859
428	YNL093W	0.85858
429	YGR191W	0.85856
430	YOL005C	0.85856
431	YMR108W	0.85847
432	YDR011W	0.85844
433	YGR267C	0.85843
434	YML106W	0.85835
435	YDR388W	0.85813
436	YIL009W	0.85813
437	YHR005C	0.858
438	YFR018C	0.85797
439	YKL145W	0.85795
440	YER007C-A	0.85783
441	YML021C	0.85774
442	YNL241C	0.85771
443	YIL177C	0.85767
444	YJL225C	0.8574
445	YLR438W	0.85739
446	YCL040W	0.85734
447	YPL246C	0.85731
448	YOR362C	0.85731
449	YGL099W	0.85729
450	YEL030W	0.85729
451	YKL033W-A	0.85724
452	YJR073C	0.85718
453	YMR095C	0.85713
454	YMR292W	0.85712
455	YDR158W	0.85699
456	YBR043C	0.85694
457	YKL001C	0.85689
458	YGL011C	0.85687
459	YBR249C	0.8567
460	YIL003W	0.85668
461	YJR047C	0.85665
462	YNR003C	0.85652
463	YCR012W	0.8565
464	YJL196C	0.85648
465	YDL102W	0.85641
466	YOR273C	0.85635
467	YJR124C	0.85635
468	YKR093W	0.85635
469	YIR042C	0.85634
470	YHR218W	0.8562
