acc	gene	source	pdb_id	resolution	method	path	note
B2RXH2	KDM4E	pdb	2W2I	2.10	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/B2RXH2.pdb	
O00444	PLK4	pdb	9Y9N	1.81	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/O00444.pdb	converted_from_mmcif
O15554	KCNN4	pdb	6D42	1.75	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/O15554.pdb	
O43570	CA12	pdb	5MSA	1.20	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/O43570.pdb	
O60218	AKR1B10	pdb	1ZUA	1.25	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/O60218.pdb	
O75116	ROCK2	pdb	8X92	2.20	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/O75116.pdb	
O75469	NR1I2	pdb	1NRL	2.00	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/O75469.pdb	
O75582	RPS6KA5	pdb	1VZO	1.80	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/O75582.pdb	
O75604	USP2	pdb	5XVE	1.24	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/O75604.pdb	
O94806	PRKD3	pdb	2D9Z		SOLUTION NMR	product/chembl_branch/structures/raw/O94806.pdb	
O95069	KCNK2	pdb	4TWK	2.60	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/O95069.pdb	
O95271	TNKS	pdb	4TOR	1.50	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/O95271.pdb	
P00352	ALDH1A1	pdb	7JWS	1.60	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P00352.pdb	
P02545	LMNA	pdb	7WZZ	1.30	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P02545.pdb	
P03372	ESR1	pdb	1XP1	1.80	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P03372.pdb	
P04049	RAF1	pdb	3IQU	1.05	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P04049.pdb	
P04637	TP53	pdb	1YC5	1.40	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P04637.pdb	
P04798	CYP1A1	pdb	4I8V	2.60	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P04798.pdb	
P05093	CYP17A1	pdb	6WR1	1.85	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P05093.pdb	
P05177	CYP1A2	pdb	2HI4	1.95	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P05177.pdb	
P06401	PGR	pdb	1SQN	1.45	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P06401.pdb	
P06730	EIF4E	pdb	4TPW	1.50	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P06730.pdb	
P07711	CTSL	pdb	2XU3	0.90	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P07711.pdb	
P07858	CTSB	pdb	8B4T	1.45	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P07858.pdb	
P08172	CHRM2	pdb	5ZKC	2.30	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P08172.pdb	
P08173	CHRM4	pdb	7TRP	2.40	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P08173.pdb	
P08183	ABCB1	pdb	8Y6H	2.49	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P08183.pdb	
P08684	CYP3A4	pdb	4D6Z	1.93	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P08684.pdb	
P08913	ADRA2A	pdb	6KUX	2.70	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P08913.pdb	
P0DMS8	ADORA3	pdb	8X17	3.19	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P0DMS8.pdb	
P10632	CYP2C8	pdb	2NNJ	2.28	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P10632.pdb	
P10635	CYP2D6	pdb	3TBG	2.10	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P10635.pdb	
P10636	MAPT	pdb	4Y5I	1.40	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P10636.pdb	
P10721	KIT	pdb	2VIF	1.45	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P10721.pdb	
P10828	THRB	pdb	6KKB	1.70	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P10828.pdb	
P11229	CHRM1	pdb	6ZFZ	2.17	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P11229.pdb	
P11388	TOP2A	pdb	5NNE	1.15	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P11388.pdb	
P11474	ESRRA	pdb	3K6P	2.00	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P11474.pdb	
P11511	CYP19A1	pdb	3S79	2.75	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P11511.pdb	
P11712	CYP2C9	pdb	1R9O	2.00	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P11712.pdb	
P12268	IMPDH2	pdb	9DMU	1.82	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P12268.pdb	converted_from_mmcif
P13726	F3	pdb	2C4F	1.72	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P13726.pdb	
P14174	MIF	pdb	3DJH	1.25	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P14174.pdb	
P14416	DRD2	pdb	5AER	2.19	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P14416.pdb	
P14902	IDO1	pdb	4U72	2.00	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P14902.pdb	
P15121	AKR1B1	pdb	1US0	0.66	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P15121.pdb	
P15428	HPGD	pdb	2GDZ	1.65	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P15428.pdb	
P16050	ALOX15	af2			predicted	product/chembl_branch/structures/raw/P16050.pdb	alphafold_db;AF-P16050-F1-model_v6.pdb
P16152	CBR1	pdb	1WMA	1.24	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P16152.pdb	
P16473	TSHR	pdb	2XWT	1.90	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P16473.pdb	
P17655	CAPN2	pdb	2NQA	2.20	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P17655.pdb	
P18054	ALOX12	pdb	8GHE	2.05	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P18054.pdb	
P18089	ADRA2B	pdb	6K41	2.90	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P18089.pdb	
P18825	ADRA2C	pdb	6KUW	2.80	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P18825.pdb	
P19838	NFKB1	pdb	8TQD	2.02	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P19838.pdb	
P20309	CHRM3	pdb	8EA0	2.56	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P20309.pdb	
P20618	PSMB1	pdb	5L5F	2.50	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P20618.pdb	
P20648	ATP4A	af2			predicted	product/chembl_branch/structures/raw/P20648.pdb	alphafold_db;AF-P20648-F1-model_v6.pdb
P20813	CYP2B6	pdb	5UFG	1.76	X-RAY DIFFRACTION	product/chembl_branch/structures/raw/P20813.pdb	
P20839	IMPDH1	pdb	8U8Y	2.10	ELECTRON MICROSCOPY	product/chembl_branch/structures/raw/P20839.pdb	
